ID,watershed,subcomp,plot,subplot,depth,horizon,fine_root_gm2,soil_C_gm2,soil_N_gm2,soil_CN,LF_C_gcm3,LF_N_gcm3,hPOM_C_gcm3,hPOM_N_gcm3,MAOM_C_gcm3,MAOM_N_gcm3,LF_C_gm2,LF_N_gm2,hPOM_C_gm2,hPOM_N_gm2,MAOM_C_gm2,MAOM_N_gm2,total_POC_gm2,MAOC.hPOC,MAOC.tot_POC
37,WS2,WS2a,7,7A,0 to 20,Mineral,565.6799549,9611.877144,467.8347282,20.54545455,0.013843685,0.000268762,0.002012216,0.000490155,0.018410536,0.001096798,2768.737064,53.75239623,402.4432533,98.03104889,3682.10711,219.3595725,3171.180317,9.14938213,1.161115655
38,WS2,WS2a,7,7A,20 to 40,Mineral,478.1337244,2182.393894,215.8411543,10.11111111,0.00477456,8.08E-05,0.000790319,9.88E-05,0.005342527,0.000417385,954.911983,16.16583278,158.0637646,19.75797057,1068.505357,83.47698099,1112.975748,6.759963991,0.960043702
39,WS2,WS2a,7,7B,0 to 20,Mineral,233.6693352,4848.469002,233.9173641,20.72727273,,,,,,,,,,,,,,,
40,WS2,WS2a,7,7B,20 to 40,Mineral,108.2374548,1103.188122,143.8941029,7.666666667,,,,,,,,,,,,,,,
41,WS2,WS2a,7,7C,0 to 20,Mineral,106.8808761,6953.725279,361.5086536,19.23529412,,,,,,,,,,,,,,,
42,WS2,WS2a,7,7C,20 to 40,Mineral,86.87974184,2158.411543,191.8588038,11.25,,,,,,,,,,,,,,,
43,WS2,WS2a,8,8A,0 to 20,Mineral,349.2361702,3619.091287,222.4851201,16.26666667,0.009412082,0.000209757,0.004392327,0.000210591,0.014582048,0.000865403,1882.4165,41.95133874,878.4653344,42.11820096,2916.409602,173.0806885,2760.881834,3.319891506,1.056332642
44,WS2,WS2a,8,8A,20 to 40,Mineral,301.3805333,3407.068726,240.2420255,14.18181818,0.008142602,0.000172635,0.001408634,9.19E-05,0.010855539,0.000697856,1628.520484,34.52693606,281.7268198,18.37348824,2171.107701,139.5712093,1910.247304,7.706428883,1.136558443
45,WS2,WS2a,8,8B,0 to 20,Mineral,172.2032683,4820.510936,252.1498028,19.11764706,,,,,,,,,,,,,,,
46,WS2,WS2a,8,8B,20 to 40,Mineral,187.973727,1834.575468,152.881289,12,,,,,,,,,,,,,,,
47,WS2,WS2a,8,8C,0 to 20,Mineral,357.7685228,2669.821441,177.9880961,15,,,,,,,,,,,,,,,
48,WS2,WS2a,8,8C,20 to 40,Mineral,73.081242,1179.369944,109.2009207,10.8,,,,,,,,,,,,,,,
49,WS2,WS2b,9,9A,0 to 20,Mineral,760.345313,12404.16042,634.7158111,19.54285714,0.011735369,0.000341971,0.002697346,0.000145802,0.00864249,0.000632377,2347.073739,68.39424341,539.4692452,29.16049974,1728.498042,126.4754665,2886.542984,3.204071515,0.598812507
50,WS2,WS2b,9,9A,20 to 40,Mineral,277.3278513,4234.544173,220.5491757,19.2,0.00653024,0.000130692,0.010570832,0.000441473,0.010085447,0.000678828,1306.04792,26.13838398,2114.166373,88.2946513,2017.089444,135.7656357,3420.214293,0.954082645,0.589755282
51,WS2,WS2b,9,9B,0 to 20,Mineral,36.38323962,4515.549628,235.751587,19.15384615,,,,,,,,,,,,,,,
52,WS2,WS2b,9,9B,20 to 40,Mineral,183.1344271,1088.0426,117.626227,9.25,,,,,,,,,,,,,,,
