CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,RESERVCD,OWNCD,OWNGRPCD,ADFORCD,FORTYPCD,FLDTYPCD,MAPDEN,STDAGE,STDSZCD,FLDSZCD,SITECLCD,SICOND,SIBASE,SISP,STDORGCD,STDORGSP,PROP_BASIS,CONDPROP_UNADJ,MICRPROP_UNADJ,SUBPPROP_UNADJ,MACRPROP_UNADJ,SLOPE,ASPECT,PHYSCLCD,GSSTKCD,ALSTKCD,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,TRTCD1,TRTYR1,TRTCD2,TRTYR2,TRTCD3,TRTYR3,PRESNFCD,BALIVE,FLDAGE,ALSTK,GSSTK,FORTYPCDCALC,HABTYPCD1,HABTYPCD1_PUB_CD,HABTYPCD1_DESCR_PUB_CD,HABTYPCD2,HABTYPCD2_PUB_CD,HABTYPCD2_DESCR_PUB_CD,MIXEDCONFCD,VOL_LOC_GRP,SITECLCDEST,SITETREE_TREE,SITECL_METHOD,CARBON_DOWN_DEAD,CARBON_LITTER,CARBON_SOIL_ORG,CARBON_UNDERSTORY_AG,CARBON_UNDERSTORY_BG,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,SOIL_ROOTING_DEPTH_PNW,GROUND_LAND_CLASS_PNW,PLANT_STOCKABILITY_FACTOR_PNW,STND_COND_CD_PNWRS,STND_STRUC_CD_PNWRS,STUMP_CD_PNWRS,FIRE_SRS,GRAZING_SRS,HARVEST_TYPE1_SRS,HARVEST_TYPE2_SRS,HARVEST_TYPE3_SRS,LAND_USE_SRS,OPERABILITY_SRS,STAND_STRUCTURE_SRS,NF_COND_STATUS_CD,NF_COND_NONSAMPLE_REASN_CD,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,OWNSUBCD,INDUSTRIALCD_FIADB,RESERVCD_5,ADMIN_WITHDRAWN_CD,CHAINING_CD,LAND_COVER_CLASS_CD_RET,AFFORESTATION_CD,PREV_AFFORESTATION_CD,DWM_FUELBED_TYPCD,NVCS_PRIMARY_CLASS,NVCS_LEVEL_1_CD,NVCS_LEVEL_2_CD,NVCS_LEVEL_3_CD,NVCS_LEVEL_4_CD,NVCS_LEVEL_5_CD,NVCS_LEVEL_6_CD,NVCS_LEVEL_7_CD,NVCS_LEVEL_8_CD,AGE_BASIS_CD_PNWRS,COND_STATUS_CHNG_CD_RMRS,CRCOVPCT_RMRS,DOMINANT_SPECIES1_PNWRS,DOMINANT_SPECIES2_PNWRS,DOMINANT_SPECIES3_PNWRS,DSTRBCD1_P2A,DSTRBCD2_P2A,DSTRBCD3_P2A,DSTRBYR1_P2A,DSTRBYR2_P2A,DSTRBYR3_P2A,FLDTYPCD_30,FOREST_COMMUNITY_PNWRS,LAND_USECD_RMRS,MAICF,PCTBARE_RMRS,QMD_RMRS,RANGETYPCD_RMRS,SDIMAX_RMRS,SDIPCT_RMRS,SDI_RMRS,STAND_STRUCTURE_ME_NERS,TREES_PRESENT_NCRS,TREES_PRESENT_NERS,TRTCD1_P2A,TRTCD2_P2A,TRTCD3_P2A,TRTOPCD,TRTYR1_P2A,TRTYR2_P2A,TRTYR3_P2A,LAND_COVER_CLASS_CD,SIEQN_REF_CD,SICOND_FVS,SIBASE_FVS,SISP_FVS,SIEQN_REF_CD_FVS,MQUADPROP_UNADJ,SOILPROP_UNADJ,FOREST_COND_STATUS_CHANGE_CD
1227689633290487,618642696126144,2020,54,2,75,596,1,1,,0,11,10,921,999,519,1,0,5,1,5,69,50,316,0,,SUBP,0.518165,0.5,0.518165,,13,350,22,5,5,10,9999,0,,0,,10,2019,40,2020,0,,,8.0883,1,6.7661,6.7661,999,,,,,,,,S24,6,1,1,0.490871,3.96237,60.126851,0.810948,0.090105,2022-07-28 15:59:58,2026-07-06 08:31:10,8,7,,,,,,,,,,,,,,,,,1,2,85,,,,,,0,,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,69,50,316,ACRU02,,,0
1227689635290487,618642696126144,2020,54,2,75,596,3,2,,,,,,,,,,,,,,,,,,SUBP,0.068003,0.119447,0.068003,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,S24,,,,,,,,,2022-07-28 15:59:58,2026-06-25 10:33:48,8,7,,,,,,,,,,,,,,,,,1,2,2,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,0
1227689634290487,618642696126144,2020,54,2,75,596,2,1,,0,11,10,921,505,519,1,79,1,3,5,69,50,316,0,,SUBP,0.413832,0.380553,0.413832,,17,290,22,2,2,10,9999,0,,0,,0,,0,,0,,,160.3885,79,75.5375,71.3048,505,,,,,,,,S24,6,1,1,10.609663,6.934284,61.562436,0.697299,0.077478,2022-07-28 15:59:58,2026-07-06 08:31:10,8,7,,,,,,,,,,,,,,,,,1,85,85,,,,,,0,,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,69,50,316,ACRU02,,,0
1227690209290487,618642707126144,2020,54,2,75,1110,1,1,,0,31,30,,503,503,1,83,1,3,4,80,50,833,0,,SUBP,1.0,1.0,1.0,,43,120,22,3,3,60,9999,10,9999,0,,0,,0,,0,,,128.7183,83,54.9776,49.573,503,,,,,,,,S24,6,2,2,8.987569,6.709518,62.287715,0.690626,0.076736,2022-07-28 15:59:58,2026-07-06 08:31:10,8,7,,,,,,,,,,,,,,,,,1,85,85,,,,,,0,,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0
1227690445290487,618642711126144,2020,54,3,25,868,1,1,,0,31,30,,502,502,1,79,1,3,5,66,50,832,0,,SUBP,1.0,1.0,1.0,,18,346,22,2,2,0,,0,,0,,0,,0,,0,,,143.7899,79,74.0533,73.0974,502,,,,,,,,S24,6,1,1,8.549015,4.898054,58.207873,0.692462,0.07694,2022-07-28 15:59:58,2026-07-06 08:31:10,8,7,,,,,,,,,,,,,,,,,1,90,90,,,,,,0,,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,64,50,832,QUPR01,,,0
1227691188290487,618642728126144,2020,54,2,75,2250,1,1,,0,11,10,921,123,801,1,89,1,3,4,55,50,97,0,,SUBP,0.781709,0.690202,0.781709,,2,0,21,4,3,0,,0,,0,,0,,0,,0,,,144.785,89,48.8148,29.1427,123,,,,,,,,S24,6,1,1,11.295461,6.671877,60.615349,0.549459,0.061051,2022-07-28 15:59:58,2026-07-06 08:31:10,8,7,,,,,,,,,,,,,,,,,1,80,80,,,,,,0,,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,118,50,97,PIRU03,,,0
1227691189290487,618642728126144,2020,54,2,75,2250,2,2,,,,,,,,,,,,,,,,,,SUBP,0.218291,0.309798,0.218291,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,S24,,,,,,,,,2022-07-28 15:59:58,2026-06-25 10:33:48,8,7,,,,,,,,,,,,,,,,,1,0,0,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,0
1227691325290487,618642734126144,2020,54,3,25,625,1,5,2,,,,,,,,,,,,,,,,,SUBP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2022-07-28 15:59:58,2026-06-25 10:33:48,8,7,,,,,,,,,,,,,,,,,1,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1227691445290487,618642738126144,2020,54,2,77,1128,1,5,2,,,,,,,,,,,,,,,,,SUBP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2022-07-28 15:59:58,2026-06-25 10:33:48,8,7,,,,,,,,,,,,,,,,,1,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1227691874290487,618642752126144,2020,54,2,97,1757,1,2,,,,,,,,,,,,,,,,,,SUBP,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,S24,,,,,,,,,2022-07-28 15:59:58,2026-06-25 10:33:48,8,7,,,,,,,,,,,,,,,,,1,0,0,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,0
