STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
54,2,1,Barbour,1320628010538,2002-12-11 13:46:56,
54,2,3,Berkeley,1320629010538,2002-12-11 13:46:56,
54,2,7,Braxton,1320630010538,2002-12-11 13:46:56,
54,2,23,Grant,1320631010538,2002-12-11 13:46:56,
54,2,27,Hampshire,1320632010538,2002-12-11 13:46:56,
54,2,31,Hardy,1320633010538,2002-12-11 13:46:56,
54,2,33,Harrison,1320634010538,2002-12-11 13:46:56,
54,2,37,Jefferson,1320635010538,2002-12-11 13:46:56,
54,2,41,Lewis,1320636010538,2002-12-11 13:46:56,
54,2,57,Mineral,1320637010538,2002-12-11 13:46:56,
54,2,65,Morgan,1320638010538,2002-12-11 13:46:56,
54,2,71,Pendleton,1320639010538,2002-12-11 13:46:56,
54,2,75,Pocahontas,1320640010538,2002-12-11 13:46:56,
54,2,77,Preston,1320641010538,2002-12-11 13:46:56,
54,2,83,Randolph,1320642010538,2002-12-11 13:46:56,
54,2,91,Taylor,1320643010538,2002-12-11 13:46:56,
54,2,93,Tucker,1320644010538,2002-12-11 13:46:56,
54,2,97,Upshur,1320645010538,2002-12-11 13:46:56,
54,2,101,Webster,1320646010538,2002-12-11 13:46:56,
54,3,5,Boone,1320647010538,2002-12-11 13:46:56,
54,3,15,Clay,1320648010538,2002-12-11 13:46:56,
54,3,19,Fayette,1320649010538,2002-12-11 13:46:56,
54,3,25,Greenbrier,1320650010538,2002-12-11 13:46:56,
54,3,39,Kanawha,1320651010538,2002-12-11 13:46:56,
54,3,45,Logan,1320652010538,2002-12-11 13:46:56,
54,3,47,McDowell,1320653010538,2002-12-11 13:46:56,
54,3,55,Mercer,1320654010538,2002-12-11 13:46:56,
54,3,59,Mingo,1320655010538,2002-12-11 13:46:56,
54,3,63,Monroe,1320656010538,2002-12-11 13:46:56,
54,3,67,Nicholas,1320657010538,2002-12-11 13:46:56,
54,3,81,Raleigh,1320658010538,2002-12-11 13:46:56,
54,3,89,Summers,1320659010538,2002-12-11 13:46:56,
54,3,109,Wyoming,1320660010538,2002-12-11 13:46:56,
54,4,9,Brooke,1320661010538,2002-12-11 13:46:56,
54,4,11,Cabell,1320662010538,2002-12-11 13:46:56,
54,4,13,Calhoun,1320663010538,2002-12-11 13:46:56,
54,4,17,Doddridge,1320664010538,2002-12-11 13:46:56,
54,4,21,Gilmer,1320665010538,2002-12-11 13:46:56,
54,4,29,Hancock,1320666010538,2002-12-11 13:46:56,
54,4,35,Jackson,1320667010538,2002-12-11 13:46:56,
54,4,43,Lincoln,1320668010538,2002-12-11 13:46:56,
54,4,49,Marion,1320669010538,2002-12-11 13:46:56,
54,4,51,Marshall,1320670010538,2002-12-11 13:46:56,
54,4,53,Mason,1320671010538,2002-12-11 13:46:56,
54,4,61,Monongalia,1320672010538,2002-12-11 13:46:56,
54,4,69,Ohio,1320673010538,2002-12-11 13:46:56,
54,4,73,Pleasants,1320674010538,2002-12-11 13:46:56,2012-01-05 13:08:19
54,4,79,Putnam,1320675010538,2002-12-11 13:46:56,
54,4,85,Ritchie,1320676010538,2002-12-11 13:46:56,
54,4,87,Roane,1320677010538,2002-12-11 13:46:56,
54,4,95,Tyler,1320678010538,2002-12-11 13:46:56,
54,4,99,Wayne,1320679010538,2002-12-11 13:46:56,
54,4,103,Wetzel,1320680010538,2002-12-11 13:46:56,
54,4,105,Wirt,1320681010538,2002-12-11 13:46:56,
54,4,107,Wood,1320682010538,2002-12-11 13:46:56,
