CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,CWDID,MEASYEAR,CONDID,SLOPDIST,HORIZ_DIST,SPCD,DECAYCD,TRANSDIA,SMALLDIA,LARGEDIA,LENGTH,HOLLOWCD,CWDHSTCD,VOLCF,DRYBIO,CARBON,COVER_PCT,LPA_UNADJ,LPA_PLOT,LPA_COND,LPA_UNADJ_RGN,LPA_PLOT_RGN,LPA_COND_RGN,COVER_PCT_RGN,CHARRED_CD,ORNTCD_PNWRS,CREATED_DATE,MODIFIED_DATE,CWD_SAMPLE_METHOD,HOLLOW_DIA,HORIZ_DIST_CD,INCLINATION,LARGE_END_DIA_CLASS,LENGTH_CD,VOLCF_AC_UNADJ,VOLCF_AC_PLOT,VOLCF_AC_COND,DRYBIO_AC_UNADJ,DRYBIO_AC_PLOT,DRYBIO_AC_COND,CARBON_AC_UNADJ,CARBON_AC_PLOT,CARBON_AC_COND
56707052010538,60265847010538,2004,54,5,1861,1,30,1.0,2004,1,13.9,12.432537954899,998.0,4,8,8,9,6,N,1,2.3725625,32.33366136,15.87582772776,0.5151157407407407,39.59725,52.79633333333334,52.79633333333334,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,93.946950453125,125.26260060416666,125.26260060416666,1280.32407228726,1707.09876304968,1707.09876304968,628.6391194930446,838.1854926573928,838.1854926573928
56707053010538,60265847010538,2004,54,5,1861,1,30,2.0,2004,1,18.0,16.099689437998,998.0,4,4,3,6,24,N,1,2.94525,40.13833824,19.70792407584,0.27270833333333333,9.8993125,13.199083333333334,13.199083333333334,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,29.155950140625,38.8746001875,38.8746001875,397.34195346846,529.78927129128,529.78927129128,195.09489915301387,260.1265322040185,260.1265322040185
56707081010538,60265847010538,2004,54,5,1861,4,30,1.0,2004,1,3.6,3.397890082918,471.0,4,4,3,4,5,N,1,0.34088541666666666,4.645641,2.281009731,0.21210648148148148,47.5167,63.3556,63.3556,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,16.197750078125,21.597000104166668,21.597000104166668,220.7455297047,294.3273729396,294.3273729396,108.3860550850077,144.5147401133436,144.5147401133436
56707064010538,60265847010538,2004,54,5,1861,2,150,1.0,2004,1,2.8,2.642803397825,998.0,3,3,3,3,5,N,1,0.2454375,3.5837802,1.7596360782,0.18180555555555555,47.5167,63.3556,63.3556,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,11.66238005625,15.549840075,15.549840075,170.28940862934,227.05254483912,227.05254483912,83.61209963700594,111.48279951600792,111.48279951600792
56707065010538,60265847010538,2004,54,5,1861,2,150,2.0,2004,1,11.2,10.571213591299,931.0,3,5,4,8,46,N,1,10.035666666666666,118.3566384,58.1131094544,0.3636111111111111,5.164858695652174,6.886478260869565,6.886478260869565,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,51.83280025,69.11040033333333,69.11040033333333,611.2953130284,815.0604173712,815.0604173712,300.1459986969444,400.1946649292592,400.1946649292592
56707066010538,60265847010538,2004,54,5,1861,2,150,3.0,2004,1,11.9,11.231914440756,931.0,3,5,4,5,30,N,1,3.3543125,39.5594199,19.4236751709,0.27270833333333333,7.91945,10.559266666666666,10.559266666666666,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,26.564310128125,35.41908017083333,35.41908017083333,313.288847927055,417.71846390274,417.71846390274,153.824824332184,205.09976577624533,205.09976577624533
56707067010538,60265847010538,2004,54,5,1861,2,150,4.0,2004,1,18.6,17.555765428408,931.0,3,5,4,7,39,N,1,6.91315625,81.53099955,40.03172077905,0.3333101851851852,6.091884615384616,8.12251282051282,8.12251282051282,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,42.114150203125,56.15220027083333,56.15220027083333,496.677441835575,662.2365891141,662.2365891141,243.86862394126732,325.1581652550231,325.1581652550231
56707068010538,60265847010538,2004,54,5,1861,2,150,5.0,2004,1,20.2,19.065938798594,998.0,3,3,3,4,9,N,1,0.61359375,8.9594505,4.3990901955,0.21210648148148148,26.39816666666667,35.19755555555555,35.19755555555555,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,16.197750078125,21.597000104166668,21.597000104166668,236.51306754075,315.350756721,315.350756721,116.12791616250826,154.837221550011,154.837221550011
56707069010538,60265847010538,2004,54,5,1861,2,150,6.0,2004,1,21.2,20.00979715496,931.0,3,5,5,6,15,N,1,2.49528125,29.42834895,14.44931933445,0.3333101851851852,15.8389,21.118533333333332,21.118533333333332,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,39.522510190625,52.696680254166665,52.696680254166665,466.112676184155,621.48356824554,621.48356824554,228.8613240064201,305.1484320085601,305.1484320085601
56707073010538,60265847010538,2004,54,5,1861,2,270,1.0,2004,1,13.6,13.6,998.0,3,3,3,3,9,N,1,0.4417875,6.45080436,3.16734494076,0.18180555555555555,26.39816666666667,35.19755555555555,35.19755555555555,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,11.66238005625,15.549840075,15.549840075,170.28940862934,227.05254483912,227.05254483912,83.61209963700594,111.48279951600792,111.48279951600792
56707074010538,60265847010538,2004,54,5,1861,2,270,2.0,2004,1,10.4,10.4,931.0,3,5,4,5,30,N,1,3.3543125,39.5594199,19.4236751709,0.27270833333333333,7.91945,10.559266666666666,10.559266666666666,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,26.564310128125,35.41908017083333,35.41908017083333,313.288847927055,417.71846390274,417.71846390274,153.824824332184,205.09976577624533,205.09976577624533
56706873010538,60266563010538,2004,54,7,1499,2,30,1.0,2004,1,20.0,19.9007438042,931.0,1,5,3,5,12,N,1,1.11265,29.1603312,14.3177226192,0.18180555555555555,19.798625,19.798625,19.798625,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,22.02894010625,22.02894010625,22.02894010625,577.3344623046,577.3344623046,577.3344623046,283.4712209915586,283.4712209915586,283.4712209915586
56706975010538,60266401010538,2004,54,7,1744,3,30,1.0,2004,1,13.2,13.2,541.0,1,6,4,6,33,N,1,4.679675,160.606446,78.857764986,0.22725694444444444,7.1995,7.1995,7.1995,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,33.6913201625,33.6913201625,33.6913201625,1156.286107977,1156.286107977,1156.286107977,567.736479016707,567.736479016707,567.736479016707
56706985010538,60266401010538,2004,54,7,1744,4,30,1.0,2004,1,23.3,22.317352445653,998.0,3,6,4,9,31,N,1,8.200339583333333,119.73807846,58.79139652386,0.2954340277777778,7.663983870967742,7.663983870967742,7.663983870967742,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,62.847270303125,62.847270303125,62.847270303125,917.67070205811,917.67070205811,917.67070205811,450.576314710532,450.576314710532,450.576314710532
56706988010538,60266401010538,2004,54,7,1744,4,150,1.0,2004,1,17.8,17.049307876936,998.0,4,6,5,8,17,N,1,4.126077083333334,56.230838664,27.609341784024,0.2954340277777778,13.9755,13.9755,13.9755,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,57.663990278125,57.663990278125,57.663990278125,785.854085748732,785.854085748732,785.854085748732,385.85435610262743,385.85435610262743,385.85435610262743
56706961010538,60266401010538,2004,54,7,1744,1,270,1.0,2004,1,17.6,17.405279810482,998.0,4,3,3,4,4,N,1,0.27270833333333333,3.7165128,1.8248077848,0.1590798611111111,59.395875,59.395875,59.395875,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,16.197750078125,16.197750078125,16.197750078125,220.7455297047,220.7455297047,220.7455297047,108.3860550850077,108.3860550850077,108.3860550850077
56706962010538,60266401010538,2004,54,7,1744,1,270,2.0,2004,1,21.6,21.361025221955,998.0,4,6,5,6,5,N,1,0.8317604166666667,11.33536404,5.56566374364,0.2499826388888889,47.5167,47.5167,47.5167,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,39.522510190625,39.522510190625,39.522510190625,538.619092479468,538.619092479468,538.619092479468,264.4619744074188,264.4619744074188,264.4619744074188
56706963010538,60266401010538,2004,54,7,1744,1,270,3.0,2004,1,23.2,22.943323386545,998.0,4,5,5,8,11,Y,1,2.6698145833333333,36.384660312,17.864868213192,0.2954340277777778,21.5985,21.5985,21.5985,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,57.663990278125,57.663990278125,57.663990278125,785.854085748732,785.854085748732,785.854085748732,385.85435610262743,385.85435610262743,385.85435610262743
56706981010538,60266401010538,2004,54,7,1744,3,270,1.0,2004,1,6.8,5.830951894845,998.0,3,7,4,7,29,N,1,5.140552083333334,75.0602853,36.8546000823,0.2499826388888889,8.19253448275862,8.19253448275862,8.19253448275862,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,42.114150203125,42.114150203125,42.114150203125,614.93397560595,614.93397560595,614.93397560595,301.93258202252144,301.93258202252144,301.93258202252144
56706992010538,60266401010538,2004,54,7,1744,4,270,1.0,2004,1,25.2,23.397612610309,975.0,3,5,3,6,15,N,1,1.84078125,32.14375164,15.78258205524,0.20453125,15.8389,15.8389,15.8389,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,29.155950140625,29.155950140625,29.155950140625,509.121667850796,509.121667850796,509.121667850796,249.97873891474083,249.97873891474083,249.97873891474083
56708067010538,60267985010538,2004,54,17,1054,1,30,1.0,2004,1,3.2,3.065044112708,316.0,2,4,3,4,10,N,1,0.6817708333333333,14.9256107,7.3284748537,0.1590798611111111,23.75835,23.75835,23.75835,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,16.197750078125,16.197750078125,16.197750078125,354.607882974345,354.607882974345,354.607882974345,174.1124705404034,174.1124705404034,174.1124705404034
56708076010538,60267985010538,2004,54,17,1054,2,30,1.0,2004,1,8.2,8.040761540666,998.0,3,4,3,4,8,N,1,0.5454166666666667,7.963956,3.910302396,0.1590798611111111,29.6979375,29.6979375,29.6979375,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,16.197750078125,16.197750078125,16.197750078125,236.51306754075,236.51306754075,236.51306754075,116.12791616250826,116.12791616250826,116.12791616250826
56708093010538,60267985010538,2004,54,17,1054,4,30,1.0,2004,1,22.5,22.471927624752,541.0,2,3,3,3,4,N,1,0.19635,5.25621096,2.58079958136,0.13635416666666667,59.395875,59.395875,59.395875,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,11.66238005625,11.66238005625,11.66238005625,312.19724915379,312.19724915379,312.19724915379,153.2888493345109,153.2888493345109,153.2888493345109
56708094010538,60267985010538,2004,54,17,1054,4,30,2.0,2004,1,17.4,17.378290696474,621.0,2,3,3,4,12,N,1,0.818125,16.0504344,7.8807632904,0.1590798611111111,19.798625,19.798625,19.798625,,,,,,,2005-10-31 11:59:18,2026-06-25 13:31:36,1,,,,,,16.197750078125,16.197750078125,16.197750078125,317.7765317727,317.7765317727,317.7765317727,156.0282771003957,156.0282771003957,156.0282771003957
