CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
56708024010538,60264822010538,2004,54,1,1932,30,1,2,2004,1,0.6,1.1,0.6,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56708032010538,60264822010538,2004,54,1,1932,30,2,2,2004,1,0.5,0.6,0.9,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56708040010538,60264822010538,2004,54,1,1932,30,3,2,2004,2,0.8,1.1,0.1,2005-10-31 11:59:18,2014-05-14 15:56:43,2,1,,1,,1,,
56708048010538,60264822010538,2004,54,1,1932,30,4,2,2004,1,1.1,1.5,2.2,2005-10-31 11:59:18,2014-05-14 15:56:43,2,1,,1,,1,,
56708027010538,60264822010538,2004,54,1,1932,150,1,2,2004,1,0.7,1.5,4.6,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56708035010538,60264822010538,2004,54,1,1932,150,2,2,2004,1,0.7,1.5,1.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56708043010538,60264822010538,2004,54,1,1932,150,3,2,2004,2,0.4,1.2,0.1,2005-10-31 11:59:18,2014-05-14 15:56:43,2,1,,1,,1,,
56708051010538,60264822010538,2004,54,1,1932,150,4,2,2004,1,0.4,0.9,2.1,2005-10-31 11:59:18,2014-05-14 15:56:43,2,1,,1,,1,,
56708029010538,60264822010538,2004,54,1,1932,270,1,2,2004,1,0.2,1.6,6.0,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56708037010538,60264822010538,2004,54,1,1932,270,2,2,2004,1,0.4,1.0,0.1,2005-10-31 11:59:18,2014-05-14 15:56:43,2,1,,1,,1,,
56708045010538,60264822010538,2004,54,1,1932,270,3,2,2004,2,0.1,0.2,0.7,2005-10-31 11:59:18,2014-05-14 15:56:43,2,1,,1,,1,,
56708053010538,60264822010538,2004,54,1,1932,270,4,2,2004,1,0.7,0.5,0.1,2005-10-31 11:59:18,2014-05-14 15:56:43,2,1,,1,,1,,
42802496020004,60265152010538,2004,54,3,610,30,1,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802491020004,60265152010538,2004,54,3,610,30,2,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802490020004,60265152010538,2004,54,3,610,30,3,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802497020004,60265152010538,2004,54,3,610,30,4,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802498020004,60265152010538,2004,54,3,610,150,1,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802500020004,60265152010538,2004,54,3,610,150,2,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802492020004,60265152010538,2004,54,3,610,150,3,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802494020004,60265152010538,2004,54,3,610,150,4,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802489020004,60265152010538,2004,54,3,610,270,1,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802499020004,60265152010538,2004,54,3,610,270,2,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802493020004,60265152010538,2004,54,3,610,270,3,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
42802495020004,60265152010538,2004,54,3,610,270,4,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:41,2,0,,0,,0,,
56707054010538,60265847010538,2004,54,5,1861,30,1,2,2004,1,0.2,1.1,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707062010538,60265847010538,2004,54,5,1861,30,2,2,2004,1,1.1,1.7,0.3,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
42802239020004,60265847010538,2004,54,5,1861,30,3,2,2004,2,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
56707082010538,60265847010538,2004,54,5,1861,30,4,2,2004,1,0.3,1.3,1.9,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707057010538,60265847010538,2004,54,5,1861,150,1,2,2004,1,0.0,0.2,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707071010538,60265847010538,2004,54,5,1861,150,2,2,2004,1,0.4,2.9,0.8,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
42802240020004,60265847010538,2004,54,5,1861,150,3,2,2004,2,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
56707085010538,60265847010538,2004,54,5,1861,150,4,2,2004,1,0.8,1.6,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707059010538,60265847010538,2004,54,5,1861,270,1,2,2004,1,0.2,4.0,0.4,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707075010538,60265847010538,2004,54,5,1861,270,2,2,2004,1,0.6,1.1,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
42802241020004,60265847010538,2004,54,5,1861,270,3,2,2004,2,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
56707087010538,60265847010538,2004,54,5,1861,270,4,2,2004,1,0.6,1.4,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706865010538,60266563010538,2004,54,7,1499,30,1,2,2004,1,0.6,1.1,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706874010538,60266563010538,2004,54,7,1499,30,2,2,2004,1,0.6,1.1,0.6,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706882010538,60266563010538,2004,54,7,1499,30,3,2,2004,1,0.1,0.6,12.0,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706890010538,60266563010538,2004,54,7,1499,30,4,2,2004,1,0.8,1.1,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706868010538,60266563010538,2004,54,7,1499,150,1,2,2004,1,0.2,0.8,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706877010538,60266563010538,2004,54,7,1499,150,2,2,2004,1,1.0,2.1,0.7,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706885010538,60266563010538,2004,54,7,1499,150,3,2,2004,1,0.5,1.4,4.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706893010538,60266563010538,2004,54,7,1499,150,4,2,2004,1,0.4,1.3,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706870010538,60266563010538,2004,54,7,1499,270,1,2,2004,1,0.4,0.5,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706879010538,60266563010538,2004,54,7,1499,270,2,2,2004,1,0.2,0.9,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706887010538,60266563010538,2004,54,7,1499,270,3,2,2004,1,0.2,0.9,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706895010538,60266563010538,2004,54,7,1499,270,4,2,2004,1,0.3,0.9,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706956010538,60266401010538,2004,54,7,1744,30,1,2,2004,1,0.0,0.0,0.7,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706967010538,60266401010538,2004,54,7,1744,30,2,2,2004,1,0.8,2.1,3.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706976010538,60266401010538,2004,54,7,1744,30,3,2,2004,1,0.6,2.3,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706986010538,60266401010538,2004,54,7,1744,30,4,2,2004,1,0.5,1.5,1.5,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706959010538,60266401010538,2004,54,7,1744,150,1,2,2004,1,0.0,0.3,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706970010538,60266401010538,2004,54,7,1744,150,2,2,2004,1,0.2,0.9,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706979010538,60266401010538,2004,54,7,1744,150,3,2,2004,1,0.8,1.4,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706990010538,60266401010538,2004,54,7,1744,150,4,2,2004,1,0.3,1.2,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706964010538,60266401010538,2004,54,7,1744,270,1,2,2004,1,1.6,1.8,5.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
