CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,CONDID,MEASYEAR,SMALLCT,MEDIUMCT,LARGECT,RSNCTCD,PILESCD,SMALL_TL_COND,SMALL_TL_PLOT,SMALL_TL_UNADJ,MEDIUM_TL_COND,MEDIUM_TL_PLOT,MEDIUM_TL_UNADJ,LARGE_TL_COND,LARGE_TL_PLOT,LARGE_TL_UNADJ,CREATED_DATE,MODIFIED_DATE,FWD_STATUS_CD,FWD_NONSAMPLE_REASN_CD,FWD_SAMPLE_METHOD,SLOPE
56708026010538,60264822010538,2004,54,1,1932,150,1,1,2004,7,0,0,0,0,17.238497139341682,22.901647277537784,22.901647277537784,17.238497139341682,22.901647277537784,22.901647277537784,28.730828565569468,38.16941212922964,38.16941212922964,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56708034010538,60264822010538,2004,54,1,1932,150,2,1,2004,9,4,0,0,0,17.238497139341682,22.901647277537784,22.901647277537784,17.238497139341682,22.901647277537784,22.901647277537784,28.730828565569468,38.16941212922964,38.16941212922964,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56708042010538,60264822010538,2004,54,1,1932,150,3,2,2004,4,0,0,0,0,5.663150138196104,22.901647277537784,22.901647277537784,5.663150138196104,22.901647277537784,22.901647277537784,9.438583563660174,38.16941212922964,38.16941212922964,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56708050010538,60264822010538,2004,54,1,1932,150,4,1,2004,11,4,2,0,0,17.238497139341682,22.901647277537784,22.901647277537784,17.238497139341682,22.901647277537784,22.901647277537784,28.730828565569468,38.16941212922964,38.16941212922964,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56707056010538,60265847010538,2004,54,5,1861,150,1,1,2004,19,5,1,0,0,16.692863422391703,16.692863422391703,22.692863422391703,16.692863422391703,16.692863422391703,22.692863422391703,27.821439037319507,27.821439037319507,37.82143903731951,2005-10-31 11:59:18,2026-06-25 13:31:37,,,2,
56707070010538,60265847010538,2004,54,5,1861,150,2,1,2004,16,1,1,0,0,16.692863422391703,16.692863422391703,22.692863422391703,16.692863422391703,16.692863422391703,22.692863422391703,27.821439037319507,27.821439037319507,37.82143903731951,2005-10-31 11:59:18,2026-06-25 13:31:37,,,2,
56707084010538,60265847010538,2004,54,5,1861,150,4,1,2004,12,1,1,0,0,16.692863422391703,16.692863422391703,22.692863422391703,16.692863422391703,16.692863422391703,22.692863422391703,27.821439037319507,27.821439037319507,37.82143903731951,2005-10-31 11:59:18,2026-06-25 13:31:37,,,2,
56706867010538,60266563010538,2004,54,7,1499,150,1,1,2004,20,2,0,0,0,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,39.93789529087834,39.93789529087834,39.93789529087834,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56706876010538,60266563010538,2004,54,7,1499,150,2,1,2004,6,2,1,0,0,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,39.93789529087834,39.93789529087834,39.93789529087834,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56706884010538,60266563010538,2004,54,7,1499,150,3,1,2004,0,0,0,0,0,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,39.93789529087834,39.93789529087834,39.93789529087834,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56706892010538,60266563010538,2004,54,7,1499,150,4,1,2004,6,0,0,0,0,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,23.962737174527003,39.93789529087834,39.93789529087834,39.93789529087834,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56706958010538,60266401010538,2004,54,7,1744,150,1,1,2004,13,5,0,0,0,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,37.97716575762741,37.97716575762741,37.97716575762741,2005-10-31 11:59:18,2026-06-25 13:31:37,,,2,
56706969010538,60266401010538,2004,54,7,1744,150,2,1,2004,9,7,2,0,0,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,37.97716575762741,37.97716575762741,37.97716575762741,2005-10-31 11:59:18,2026-06-25 13:31:37,,,2,
56706978010538,60266401010538,2004,54,7,1744,150,3,1,2004,11,2,0,0,0,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,37.97716575762741,37.97716575762741,37.97716575762741,2005-10-31 11:59:18,2026-06-25 13:31:37,,,2,
56706989010538,60266401010538,2004,54,7,1744,150,4,1,2004,10,3,0,0,0,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,22.786299454576447,37.97716575762741,37.97716575762741,37.97716575762741,2005-10-31 11:59:18,2026-06-25 13:31:37,,,2,
56707267010538,60267085010538,2004,54,11,797,150,1,1,2004,0,2,0,0,0,17.970223141259936,23.970223141259936,23.970223141259936,17.970223141259936,23.970223141259936,23.970223141259936,29.950371902099892,39.95037190209989,39.95037190209989,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56707275010538,60267085010538,2004,54,11,797,150,2,1,2004,14,3,0,0,0,17.970223141259936,23.970223141259936,23.970223141259936,17.970223141259936,23.970223141259936,23.970223141259936,29.950371902099892,39.95037190209989,39.95037190209989,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56707283010538,60267085010538,2004,54,11,797,150,3,1,2004,5,3,0,0,0,17.970223141259936,23.970223141259936,23.970223141259936,17.970223141259936,23.970223141259936,23.970223141259936,29.950371902099892,39.95037190209989,39.95037190209989,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56708070010538,60267985010538,2004,54,17,1054,150,1,1,2004,10,5,0,0,0,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,38.41395599031968,38.41395599031968,38.41395599031968,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56708079010538,60267985010538,2004,54,17,1054,150,2,1,2004,9,1,0,0,0,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,38.41395599031968,38.41395599031968,38.41395599031968,2005-10-31 11:59:18,2026-06-25 13:31:38,,,2,
56708087010538,60267985010538,2004,54,17,1054,150,3,1,2004,25,8,3,0,0,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,38.41395599031968,38.41395599031968,38.41395599031968,2005-10-31 11:59:19,2026-06-25 13:31:38,,,2,
56708103010538,60267985010538,2004,54,17,1054,150,4,1,2004,12,4,0,0,0,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,23.04837359419181,38.41395599031968,38.41395599031968,38.41395599031968,2005-10-31 11:59:19,2026-06-25 13:31:38,,,2,
