CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,LVSHRBCD,DSHRBCD,LVHRBCD,DHRBCD,LITTERCD,LVSHRBHT,DSHRBHT,LVHRBHT,DHRBHT,CREATED_DATE,MODIFIED_DATE,MICR_SAMPLE_METHOD
56708030010538,60264822010538,2004,54,1,1932,1,2004,60,1,70,1,30.0,9.0,3.1,2.9,0.5,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56708038010538,60264822010538,2004,54,1,1932,2,2004,50,10,60,1,20.0,25.0,15.0,1.3,0.5,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56708046010538,60264822010538,2004,54,1,1932,3,2004,40,0,99,1,90.0,2.7,0.0,3.8,1.1,2005-10-31 11:59:18,2014-08-04 12:01:19,1
56708054010538,60264822010538,2004,54,1,1932,4,2004,20,1,99,1,50.0,5.0,4.1,3.7,0.6,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56707060010538,60265847010538,2004,54,5,1861,1,2004,1,0,50,1,90.0,1.0,0.0,1.8,1.6,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56707076010538,60265847010538,2004,54,5,1861,2,2004,0,0,50,0,70.0,0.0,0.0,1.7,0.0,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56707088010538,60265847010538,2004,54,5,1861,4,2004,1,0,10,0,90.0,0.7,0.0,1.9,0.0,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56706871010538,60266563010538,2004,54,7,1499,1,2004,1,0,99,30,30.0,3.1,0.0,3.2,0.5,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56706880010538,60266563010538,2004,54,7,1499,2,2004,90,50,70,1,90.0,17.0,3.8,1.3,0.3,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56706888010538,60266563010538,2004,54,7,1499,3,2004,1,0,99,10,99.0,6.0,0.0,3.1,0.5,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56706896010538,60266563010538,2004,54,7,1499,4,2004,1,0,99,50,90.0,3.7,0.0,3.3,1.5,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56706965010538,60266401010538,2004,54,7,1744,1,2004,0,0,90,1,1.0,0.0,0.0,1.2,1.7,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56706973010538,60266401010538,2004,54,7,1744,2,2004,10,1,80,1,90.0,4.0,3.1,2.2,0.2,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56706983010538,60266401010538,2004,54,7,1744,3,2004,0,0,1,1,90.0,0.0,0.0,0.6,0.3,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56706994010538,60266401010538,2004,54,7,1744,4,2004,1,0,20,0,60.0,0.7,0.0,1.3,0.0,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56707271010538,60267085010538,2004,54,11,797,1,2004,70,1,60,0,99.0,4.9,4.7,3.2,0.0,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56707279010538,60267085010538,2004,54,11,797,2,2004,1,0,70,0,70.0,0.5,0.0,1.2,0.0,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56707287010538,60267085010538,2004,54,11,797,3,2004,1,0,60,0,50.0,0.5,0.0,0.9,0.0,2005-10-31 11:59:18,2014-08-04 12:01:13,1
56708074010538,60267985010538,2004,54,17,1054,1,2004,1,0,60,0,99.0,0.1,0.0,2.4,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56708083010538,60267985010538,2004,54,17,1054,2,2004,0,0,50,0,90.0,0.0,0.0,1.8,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56708091010538,60267985010538,2004,54,17,1054,3,2004,0,0,1,0,99.0,0.0,0.0,1.1,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56708109010538,60267985010538,2004,54,17,1054,4,2004,0,0,80,0,90.0,0.0,0.0,2.6,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56706220010538,60271004010538,2004,54,25,2197,2,2004,60,0,50,1,80.0,24.0,0.0,1.5,0.4,2005-10-31 11:59:19,2014-08-04 12:01:14,1
56706228010538,60271004010538,2004,54,25,2197,3,2004,30,1,99,20,30.0,4.3,3.8,6.0,5.1,2005-10-31 11:59:19,2014-08-04 12:01:14,1
56706236010538,60271004010538,2004,54,25,2197,4,2004,10,0,1,0,60.0,6.0,0.0,0.4,0.0,2005-10-31 11:59:19,2014-08-04 12:01:14,1
56706770010538,60270544010538,2004,54,25,2331,1,2004,1,0,1,0,30.0,15.0,0.0,0.6,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56706781010538,60270544010538,2004,54,25,2331,2,2004,30,1,90,0,30.0,6.0,2.7,3.1,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56706791010538,60270544010538,2004,54,25,2331,3,2004,20,20,99,0,20.0,7.0,7.0,2.3,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56706800010538,60270544010538,2004,54,25,2331,4,2004,0,0,20,0,80.0,0.0,0.0,1.2,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56707608010538,60272420010538,2004,54,31,598,1,2004,0,0,70,0,99.0,0.0,0.0,1.9,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56707616010538,60272420010538,2004,54,31,598,2,2004,20,1,1,0,99.0,2.4,1.9,0.4,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56707624010538,60272420010538,2004,54,31,598,3,2004,90,0,10,0,50.0,16.0,0.0,0.6,0.0,2005-10-31 11:59:19,2014-08-04 12:01:19,1
56707635010538,60272420010538,2004,54,31,598,4,2004,1,0,1,0,99.0,0.6,0.0,0.4,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56706717010538,60271920010538,2004,54,31,2183,1,2004,0,0,1,0,60.0,0.0,0.0,0.3,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56706727010538,60271920010538,2004,54,31,2183,2,2004,1,0,1,0,70.0,0.3,0.0,0.5,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56706738010538,60271920010538,2004,54,31,2183,3,2004,0,0,1,0,99.0,0.0,0.0,0.3,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56706749010538,60271920010538,2004,54,31,2183,4,2004,0,0,99,0,40.0,0.0,0.0,1.6,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56707166010538,60274986010538,2004,54,39,649,1,2004,1,0,10,1,90.0,1.0,0.0,1.8,1.6,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56707180010538,60274986010538,2004,54,39,649,2,2004,1,0,30,0,70.0,2.1,0.0,1.3,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56707191010538,60274986010538,2004,54,39,649,3,2004,20,0,20,0,40.0,7.0,0.0,1.6,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56707203010538,60274986010538,2004,54,39,649,4,2004,1,0,50,1,50.0,2.2,0.0,4.1,0.5,2005-10-31 11:59:19,2014-08-04 12:01:13,1
56707118010538,60274807010538,2004,54,39,1369,1,2004,1,0,10,0,99.0,1.0,0.0,1.3,0.0,2005-10-31 11:59:19,2014-08-04 12:01:13,1
