CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,PILE,MEASYEAR,CONDID,SHAPECD,DENSITY,HEIGHT1,WIDTH1,LENGTH1,HEIGHT2,WIDTH2,LENGTH2,VOLCF,DRYBIO,CARBON,PPA_UNADJ,PPA_PLOT,PPA_COND,CREATED_DATE,MODIFIED_DATE,COMP_HT,DECAYCD,HORIZ_BEGNDIST,HORIZ_ENDDIST,PILE_SAMPLE_METHOD,SPCD,TRANSECT
71355026010538,75135141010538,2006,54,35,759,2,1.0,2006,1,2,20,5,5,35,,,,137.445,3664.095810775147,1854.0324802522246,6.0180462857,6.0180462857,6.0180462857,2007-10-02 09:58:12,2026-06-25 13:31:39,,,,,2,,
216495632010661,171000473010661,2008,54,67,1365,2,1.0,2008,1,3,20,2,6,17,5,9,0,71.42135961675687,1525.4424531896643,771.8738813139701,6.0180462857,6.0180462857,6.0180462857,2009-10-06 13:34:46,2026-06-25 13:31:39,,,,,2,,
225075612010661,145007927010661,2009,54,45,534,2,1.0,2009,1,3,30,2,3,28,4,7,,103.27393296936539,2424.917776369721,1227.008394843079,6.0180462857,6.0180462857,6.0180462857,2010-08-17 07:49:41,2026-06-25 13:31:39,,,,,2,,
329737428489998,171920438020004,2014,54,45,534,2,1.0,,1,,,,,,,,,,,,,,,2015-05-22 07:01:38,2026-06-25 13:32:58,3,4,13.0,21.0,3,998,360
384458880489998,249981897489998,2015,54,35,1145,3,1.0,,1,,,,,,,,,,,,,,,2016-04-11 09:35:20,2026-06-25 13:32:58,2,2,0.6,12.2,3,800,135
384449539489998,171920237020004,2015,54,67,2152,2,1.0,,1,,,,,,,,,,,,,,,2016-04-11 09:35:19,2026-06-25 13:32:58,5,1,6.8,24.0,3,531,360
468147354489998,306336218489998,2016,54,25,1598,4,1.0,,3,,,,,,,,,,,,,,,2017-05-01 11:20:49,2026-06-25 13:32:58,2,3,23.3,24.0,3,998,225
468142238489998,306336083489998,2016,54,47,1853,4,1.0,,1,,,,,,,,,,,,,,,2017-05-01 11:20:49,2026-06-25 13:32:58,3,3,9.0,24.0,3,402,45
468145122489998,306336162489998,2016,54,107,1124,4,1.0,,1,,,,,,,,,,,,,,,2017-05-01 11:20:49,2026-06-25 13:32:57,2,4,14.9,19.8,3,802,225
468145308489998,306336165489998,2016,54,107,2443,4,1.0,,1,,,,,,,,,,,,,,,2017-05-01 11:20:49,2026-06-25 13:32:58,1,2,14.0,20.0,3,999,225
