CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_DATE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
56708023010538,60264822010538,2004,54,1,1932,1,30,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708025010538,60264822010538,2004,54,1,1932,1,150,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708028010538,60264822010538,2004,54,1,1932,1,270,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708031010538,60264822010538,2004,54,1,1932,2,30,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708033010538,60264822010538,2004,54,1,1932,2,150,1,2004,1,0.0,26.318054639354,45,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708036010538,60264822010538,2004,54,1,1932,2,270,1,2004,1,0.0,25.848791074246,40,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708039010538,60264822010538,2004,54,1,1932,3,30,1,2004,2,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708041010538,60264822010538,2004,54,1,1932,3,150,1,2004,2,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708044010538,60264822010538,2004,54,1,1932,3,270,1,2004,2,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708047010538,60264822010538,2004,54,1,1932,4,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708049010538,60264822010538,2004,54,1,1932,4,150,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708052010538,60264822010538,2004,54,1,1932,4,270,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
42801911020004,60265152010538,2004,54,3,610,1,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801912020004,60265152010538,2004,54,3,610,1,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801913020004,60265152010538,2004,54,3,610,1,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801914020004,60265152010538,2004,54,3,610,2,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801915020004,60265152010538,2004,54,3,610,2,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801916020004,60265152010538,2004,54,3,610,2,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801917020004,60265152010538,2004,54,3,610,3,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801918020004,60265152010538,2004,54,3,610,3,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801919020004,60265152010538,2004,54,3,610,3,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801920020004,60265152010538,2004,54,3,610,4,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
