CN,SRV_CN,CTY_CN,INVYR,STATECD,UNITCD,COUNTYCD,O3PLOT,FIELD_ID,SPLIT_PLOTID,MEASYEAR,MEASMON,MEASDAY,LAT,LON,ELEVATION,MANUAL,QA_STATUS,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
159626941010661,159473496010661,1320662010538,1995,54,4,11,6901.0,690,1,1995,8,11,38.305127,-82.245625,900.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626943010661,159473496010661,1320634010538,1995,54,2,33,10361.0,1036,1,1995,8,16,39.149462,-80.415679,1150.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626945010661,159473496010661,1320667010538,1995,54,4,35,7261.0,726,1,1995,8,11,38.729198,-81.690339,800.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626949010661,159473496010661,1320651010538,1995,54,3,39,3131.0,313,1,1995,8,9,38.501487,-81.238288,1220.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626947010661,159473496010661,1320651010538,1995,54,3,39,4271.0,427,1,1995,8,9,38.251391,-81.434354,1400.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626951010661,159473496010661,1320651010538,1995,54,3,39,6961.0,696,1,1995,8,15,38.517351,-81.458721,1021.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626955010661,159473496010661,1320636010538,1995,54,2,41,4471.0,447,1,1995,8,10,38.989437,-80.371804,1600.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626953010661,159473496010661,1320636010538,1995,54,2,41,13521.0,1352,1,1995,8,22,39.046049,-80.352708,1100.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626957010661,159473496010661,1320670010538,1995,54,4,51,15441.0,1544,1,1995,8,11,39.936202,-80.605656,1200.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626959010661,159473496010661,1320654010538,1995,54,3,55,51.0,5,1,1995,8,15,37.473048,-81.147227,2520.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
159626961010661,159473496010661,1320654010538,1995,54,3,55,13611.0,1361,1,1995,8,15,37.541042,-81.079986,3000.0,0.0,1,2008-06-20 09:50:55,2010-06-09 06:47:57,2,1
