CN,INVYR,STATECD,COUNTYCD,O3PLOT,FIELD_ID,SPLIT_PLOTID,MEASYEAR,SPECIES_EVAL_CNT,BIOSITE_INDEX,ELEV,PLTSIZE,ASPECT,TERRPOS,SOILDPTH,SOILDRN,PLOTWET,PLTDSTRB,BIOSITE_INDEX_MULTIPLIER,LAT,LON,CREATED_DATE,MODIFIED_DATE
234061325010661,2009,54,45,1741.0,174,1,2009,3.0,0.0,949,1.0,0,4.0,1.0,1.0,,0.0,0.0,37.837203,-81.951028,2010-09-20 12:33:49,2010-10-06 08:23:40
234061468010661,2009,54,101,13731.0,1373,1,2009,4.0,5.688e-05,2268,1.0,0,5.0,1.0,2.0,,0.0,0.056875,38.385363,-80.620878,2010-09-20 12:34:31,2010-10-06 08:23:40
234061526010661,2009,54,11,12261.0,1226,1,2009,4.0,0.0,592,1.0,0,4.0,1.0,1.0,,0.0,0.0,38.506757,-82.222109,2010-09-20 12:34:48,2010-10-06 08:23:40
234061880010661,2009,54,33,14241.0,1424,1,2009,5.0,2.45e-05,1162,1.0,290,3.0,1.0,1.0,,0.0,0.0245,39.237529,-80.535102,2010-09-20 12:36:30,2010-10-06 08:23:40
226078026010661,1999,54,31,5511.0,551,1,1999,2.0,0.0,1180,2.0,0,5.0,1.0,1.0,,0.0,0.0,38.999806,-78.949864,2010-06-07 09:42:52,2010-09-24 11:02:18
226078108010661,1999,54,31,6211.0,621,1,1999,3.0,0.0,1600,2.0,270,1.0,1.0,1.0,,0.0,0.0,39.112953,-78.933934,2010-06-07 09:43:18,2010-09-24 11:02:18
226078110010661,1999,54,31,5341.0,534,1,1999,1.0,0.0,1180,2.0,0,4.0,1.0,1.0,,0.0,0.0,39.09243,-78.64886,2010-06-07 09:43:18,2010-09-24 11:02:18
226078112010661,1999,54,37,3091.0,309,1,1999,1.0,0.0,460,2.0,0,4.0,1.0,1.0,,0.0,0.0,39.341752,-77.819402,2010-06-07 09:43:19,2010-09-24 11:02:18
226503194010661,1995,54,39,3131.0,313,1,1995,3.0,0.0,1220,2.0,0,1.0,1.0,1.0,,0.0,0.0,38.501487,-81.238288,2010-06-09 09:37:05,2010-09-24 11:00:50
226503167010661,1995,54,55,51.0,5,1,1995,1.0,0.0,2520,2.0,0,4.0,1.0,1.0,,0.0,0.0,37.473048,-81.147227,2010-06-09 09:37:00,2010-09-24 11:00:50
226504300010661,1996,54,19,4361.0,436,1,1996,3.0,0.039561,2400,2.0,0,1.0,1.0,1.0,,0.0,39.56100233100233,38.039615,-80.823294,2010-06-09 10:25:23,2010-09-24 11:02:21
226504306010661,1996,54,41,4471.0,447,1,1996,1.0,0.04663077,1600,2.0,112,1.0,1.0,1.0,,0.0,46.63076923076923,38.989437,-80.371804,2010-06-09 10:25:24,2010-09-24 11:02:21
226504343010661,1996,54,77,13351.0,1335,1,1996,3.0,0.0,2520,2.0,0,1.0,1.0,1.0,,0.0,0.0,39.410221,-79.546689,2010-06-09 10:25:36,2010-09-24 11:02:21
226504286010661,1996,54,81,14151.0,1415,1,1996,1.0,0.01955526,950,2.0,0,2.0,1.0,1.0,,0.0,19.555263157894736,37.921285,-81.522283,2010-06-09 10:25:20,2010-09-24 11:02:21
226160697010661,2006,54,5,251.0,25,1,2006,5.0,0.0,666,1.0,0,3.0,1.0,1.0,,0.0,0.0,38.158948,-81.771863,2010-06-07 13:11:56,2010-09-24 11:01:18
226160681010661,2006,54,7,8631.0,863,1,2006,3.0,0.0,1189,1.0,345,3.0,1.0,1.0,,0.0,0.0,38.558165,-80.649701,2010-06-07 13:11:50,2010-09-24 11:01:18
226160713010661,2006,54,11,8451.0,845,1,2006,4.0,0.0,884,1.0,241,1.0,1.0,1.0,,0.0,0.0,38.275174,-82.257407,2010-06-07 13:12:02,2010-09-24 11:01:18
226160717010661,2006,54,11,12261.0,1226,1,2006,3.0,0.0,443,1.0,0,5.0,1.0,2.0,,0.0,0.0,38.506757,-82.222109,2010-06-07 13:12:03,2010-09-24 11:01:18
226160542010661,2006,54,25,8201.0,820,1,2006,4.0,0.003838,2952,1.0,217,1.0,1.0,1.0,,0.0,3.838,37.958515,-80.696971,2010-06-07 13:11:02,2010-09-24 11:01:18
226160662010661,2006,54,31,13651.0,1365,1,2006,3.0,0.0,779,1.0,0,4.0,1.0,1.0,,0.0,0.0,39.100581,-78.93153,2010-06-07 13:11:42,2010-09-24 11:01:18
226160965010661,2006,54,31,5341.0,534,1,2006,4.0,0.01283158,868,1.0,0,4.0,1.0,1.0,,0.0,12.83157894736842,39.052849,-78.582191,2010-06-07 13:13:26,2010-09-24 11:01:18
226160495010661,2006,54,41,13521.0,1352,1,2006,4.0,0.0,1120,1.0,180,3.0,1.0,3.0,,0.0,0.0,39.046049,-80.352708,2010-06-07 13:10:45,2010-09-24 11:01:18
226160551010661,2006,54,45,1741.0,174,1,2006,4.0,0.0,785,1.0,0,4.0,1.0,1.0,,0.0,0.0,37.837203,-81.951028,2010-06-07 13:11:06,2010-09-24 11:01:18
226160537010661,2006,54,55,51.0,5,1,2006,4.0,0.0,2671,1.0,0,1.0,1.0,1.0,,0.0,0.0,37.562819,-81.165687,2010-06-07 13:11:00,2010-09-24 11:01:18
226160992010661,2006,54,61,8351.0,835,1,2006,3.0,0.01935167,2479,1.0,322,1.0,1.0,1.0,,0.0,19.351666666666667,39.63146,-79.862029,2010-06-07 13:13:38,2010-09-24 11:01:18
226074765010661,1997,54,77,13351.0,1335,1,1997,1.0,0.0,2520,2.0,260,1.0,1.0,2.0,,2.0,0.0,39.410221,-79.546689,2010-06-07 08:49:23,2010-09-24 11:02:06
226074770010661,1997,54,77,6871.0,687,1,1997,2.0,0.0,2340,2.0,0,4.0,1.0,1.0,,2.0,0.0,39.702235,-79.536704,2010-06-07 08:49:25,2010-09-24 11:02:06
