CN,INVYR,STATECD,COUNTYCD,O3PLOT,FIELD_ID,SPLIT_PLOTID,GROUND_LOC_CD,MEASYEAR,BIOSPCD,AMNT_MAX,AMNT_MIN,AMNT_MEAN,SVRTY_MAX,SVRTY_MIN,SVRTY_MEAN,PLANT_INJ_CNT,PLANT_EVAL_CNT,PLANT_RATIO,BIOSPCD_SUM,BIOSPCD_INDEX,ELEV,PLTSIZE,ASPECT,TERRPOS,SOILDPTH,SOILDRN,PLOTWET,PLTDSTRB,CREATED_DATE,MODIFIED_DATE
226503200010661,1995,54,11,6901.0,690,1,1,1995,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,900,1.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:06,
226503201010661,1995,54,11,6901.0,690,1,1,1995,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,900,1.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:07,
226503202010661,1995,54,11,6901.0,690,1,1,1995,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,900,1.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:07,
226503224010661,1995,54,33,10361.0,1036,1,1,1995,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1150,2.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:11,
226503197010661,1995,54,35,7261.0,726,1,1,1995,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,800,3.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:06,
226503198010661,1995,54,35,7261.0,726,1,1,1995,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,800,3.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:06,
226503191010661,1995,54,39,3131.0,313,1,1,1995,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1220,2.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:04,
226503192010661,1995,54,39,3131.0,313,1,1,1995,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1220,2.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:05,
226503193010661,1995,54,39,3131.0,313,1,1,1995,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1220,2.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:05,
226503187010661,1995,54,39,4271.0,427,1,1,1995,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1400,2.0,0,2.0,1.0,1.0,,2.0,2010-06-09 09:37:04,
226503195010661,1995,54,39,6961.0,696,1,1,1995,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1021,3.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:05,
226503185010661,1995,54,41,4471.0,447,1,1,1995,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1600,2.0,0,4.0,1.0,1.0,,0.0,2010-06-09 09:37:03,
226503140010661,1995,54,41,13521.0,1352,1,1,1995,365.0,0.88,0.035,0.4705,0.38,0.035,0.1445,10.0,30.0,0.33333333,0.0705775,0.02352583,1100,1.0,180,3.0,1.0,1.0,,2.0,2010-06-09 09:36:54,
226503242010661,1995,54,51,15441.0,1544,1,1,1995,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1200,3.0,0,4.0,1.0,1.0,,0.0,2010-06-09 09:37:15,
226503243010661,1995,54,51,15441.0,1544,1,1,1995,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1200,3.0,0,4.0,1.0,1.0,,0.0,2010-06-09 09:37:15,
226503166010661,1995,54,55,51.0,5,1,1,1995,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2520,2.0,0,4.0,1.0,1.0,,0.0,2010-06-09 09:37:00,
226503168010661,1995,54,55,13611.0,1361,1,1,1995,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3000,2.0,0,2.0,1.0,1.0,,0.0,2010-06-09 09:37:00,
226503169010661,1995,54,55,13611.0,1361,1,1,1995,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3000,2.0,0,2.0,1.0,1.0,,0.0,2010-06-09 09:37:00,
226503170010661,1995,54,55,13611.0,1361,1,1,1995,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3000,2.0,0,2.0,1.0,1.0,,0.0,2010-06-09 09:37:01,
226503222010661,1995,54,61,8351.0,835,1,1,1995,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2506,2.0,0,1.0,1.0,1.0,,0.0,2010-06-09 09:37:11,
