CN,PLT_CN,STATECD,UNITCD,COUNTYCD,PLOT,INVYR,SUBP,CONDID,GROWTH_HABIT_CD,LAYER,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
212745994020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FB,1,30,2013-07-22 09:23:30,,7,4
212745995020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FB,2,1,2013-07-22 09:23:30,,7,4
212745996020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FB,3,0,2013-07-22 09:23:30,,7,4
212745997020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FB,4,0,2013-07-22 09:23:30,,7,4
212745998020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FB,5,30,2013-07-22 09:23:30,,7,4
212746004020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FN,1,3,2013-07-22 09:23:30,,7,4
212746005020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FN,2,0,2013-07-22 09:23:30,,7,4
212746006020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FN,3,0,2013-07-22 09:23:30,,7,4
212746007020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FN,4,0,2013-07-22 09:23:30,,7,4
212746008020004,247065440010661,54,2,7,1681.0,2012,1.0,1,FN,5,3,2013-07-22 09:23:30,,7,4
212745999020004,247065440010661,54,2,7,1681.0,2012,1.0,1,GR,1,25,2013-07-22 09:23:30,,7,4
212746000020004,247065440010661,54,2,7,1681.0,2012,1.0,1,GR,2,0,2013-07-22 09:23:30,,7,4
212746001020004,247065440010661,54,2,7,1681.0,2012,1.0,1,GR,3,0,2013-07-22 09:23:30,,7,4
212746002020004,247065440010661,54,2,7,1681.0,2012,1.0,1,GR,4,0,2013-07-22 09:23:30,,7,4
212746003020004,247065440010661,54,2,7,1681.0,2012,1.0,1,GR,5,25,2013-07-22 09:23:30,,7,4
212745984020004,247065440010661,54,2,7,1681.0,2012,1.0,1,NT,1,0,2013-07-22 09:23:30,,7,4
212745985020004,247065440010661,54,2,7,1681.0,2012,1.0,1,NT,2,0,2013-07-22 09:23:30,,7,4
212745986020004,247065440010661,54,2,7,1681.0,2012,1.0,1,NT,3,0,2013-07-22 09:23:30,,7,4
212745987020004,247065440010661,54,2,7,1681.0,2012,1.0,1,NT,4,0,2013-07-22 09:23:30,,7,4
212745988020004,247065440010661,54,2,7,1681.0,2012,1.0,1,NT,5,0,2013-07-22 09:23:30,,7,4
212745989020004,247065440010661,54,2,7,1681.0,2012,1.0,1,SH,1,11,2013-07-22 09:23:30,,7,4
212745990020004,247065440010661,54,2,7,1681.0,2012,1.0,1,SH,2,19,2013-07-22 09:23:30,,7,4
212745991020004,247065440010661,54,2,7,1681.0,2012,1.0,1,SH,3,5,2013-07-22 09:23:30,,7,4
212745992020004,247065440010661,54,2,7,1681.0,2012,1.0,1,SH,4,0,2013-07-22 09:23:30,,7,4
212745993020004,247065440010661,54,2,7,1681.0,2012,1.0,1,SH,5,20,2013-07-22 09:23:30,,7,4
212745979020004,247065440010661,54,2,7,1681.0,2012,1.0,1,TT,1,3,2013-07-22 09:23:30,,7,4
212745980020004,247065440010661,54,2,7,1681.0,2012,1.0,1,TT,2,3,2013-07-22 09:23:30,,7,4
212745981020004,247065440010661,54,2,7,1681.0,2012,1.0,1,TT,3,55,2013-07-22 09:23:30,,7,4
212745982020004,247065440010661,54,2,7,1681.0,2012,1.0,1,TT,4,75,2013-07-22 09:23:30,,7,4
212745983020004,247065440010661,54,2,7,1681.0,2012,1.0,1,TT,5,85,2013-07-22 09:23:30,,7,4
212746024020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FB,1,30,2013-07-22 09:23:30,,7,4
212746025020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FB,2,1,2013-07-22 09:23:30,,7,4
212746026020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FB,3,0,2013-07-22 09:23:30,,7,4
212746027020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FB,4,0,2013-07-22 09:23:30,,7,4
212746028020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FB,5,30,2013-07-22 09:23:30,,7,4
212746034020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FN,1,5,2013-07-22 09:23:30,,7,4
212746035020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FN,2,1,2013-07-22 09:23:30,,7,4
212746036020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FN,3,0,2013-07-22 09:23:30,,7,4
212746037020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FN,4,0,2013-07-22 09:23:30,,7,4
212746038020004,247065440010661,54,2,7,1681.0,2012,2.0,1,FN,5,5,2013-07-22 09:23:30,,7,4
212746029020004,247065440010661,54,2,7,1681.0,2012,2.0,1,GR,1,23,2013-07-22 09:23:30,,7,4
212746030020004,247065440010661,54,2,7,1681.0,2012,2.0,1,GR,2,0,2013-07-22 09:23:30,,7,4
212746031020004,247065440010661,54,2,7,1681.0,2012,2.0,1,GR,3,0,2013-07-22 09:23:30,,7,4
212746032020004,247065440010661,54,2,7,1681.0,2012,2.0,1,GR,4,0,2013-07-22 09:23:30,,7,4
212746033020004,247065440010661,54,2,7,1681.0,2012,2.0,1,GR,5,23,2013-07-22 09:23:30,,7,4
212746014020004,247065440010661,54,2,7,1681.0,2012,2.0,1,NT,1,0,2013-07-22 09:23:30,,7,4
212746015020004,247065440010661,54,2,7,1681.0,2012,2.0,1,NT,2,0,2013-07-22 09:23:30,,7,4
212746016020004,247065440010661,54,2,7,1681.0,2012,2.0,1,NT,3,0,2013-07-22 09:23:30,,7,4
212746017020004,247065440010661,54,2,7,1681.0,2012,2.0,1,NT,4,0,2013-07-22 09:23:30,,7,4
212746018020004,247065440010661,54,2,7,1681.0,2012,2.0,1,NT,5,0,2013-07-22 09:23:30,,7,4
212746019020004,247065440010661,54,2,7,1681.0,2012,2.0,1,SH,1,12,2013-07-22 09:23:30,,7,4
212746020020004,247065440010661,54,2,7,1681.0,2012,2.0,1,SH,2,11,2013-07-22 09:23:30,,7,4
212746021020004,247065440010661,54,2,7,1681.0,2012,2.0,1,SH,3,0,2013-07-22 09:23:30,,7,4
212746022020004,247065440010661,54,2,7,1681.0,2012,2.0,1,SH,4,0,2013-07-22 09:23:30,,7,4
212746023020004,247065440010661,54,2,7,1681.0,2012,2.0,1,SH,5,14,2013-07-22 09:23:30,,7,4
212746009020004,247065440010661,54,2,7,1681.0,2012,2.0,1,TT,1,7,2013-07-22 09:23:30,,7,4
212746010020004,247065440010661,54,2,7,1681.0,2012,2.0,1,TT,2,5,2013-07-22 09:23:30,,7,4
212746011020004,247065440010661,54,2,7,1681.0,2012,2.0,1,TT,3,26,2013-07-22 09:23:30,,7,4
212746012020004,247065440010661,54,2,7,1681.0,2012,2.0,1,TT,4,96,2013-07-22 09:23:30,,7,4
212746013020004,247065440010661,54,2,7,1681.0,2012,2.0,1,TT,5,99,2013-07-22 09:23:30,,7,4
212746054020004,247065440010661,54,2,7,1681.0,2012,3.0,1,FB,1,20,2013-07-22 09:23:30,,7,4
212746055020004,247065440010661,54,2,7,1681.0,2012,3.0,1,FB,2,0,2013-07-22 09:23:30,,7,4
212746056020004,247065440010661,54,2,7,1681.0,2012,3.0,1,FB,3,0,2013-07-22 09:23:30,,7,4
212746057020004,247065440010661,54,2,7,1681.0,2012,3.0,1,FB,4,0,2013-07-22 09:23:30,,7,4
212746058020004,247065440010661,54,2,7,1681.0,2012,3.0,1,FB,5,20,2013-07-22 09:23:30,,7,4
