CN,STATECD,INVYR,UNITCD,COUNTYCD,PLOT,LAT,LON,CONGCD,ECOSUBCD,HUC,EMAP_HEX,FIPSCOUNTY,ROADLESSCD,CREATED_DATE,MODIFIED_DATE,ALP_ADFORCD,FVS_VARIANT,FVS_LOC_CD,FVS_REGION,FVS_FOREST,FVS_DISTRICT,ECO_UNIT_PNW,PRECIPITATION
306336094489998,54.0,2016.0,3.0,5.0,546.0,37.972284,-81.59458,5401.0,M221Ca,5050009.0,4058.0,54005.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336095489998,54.0,2016.0,4.0,69.0,2245.0,40.04029,-80.576594,5402.0,221Ea,5030106.0,4049.0,54069.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336105489998,54.0,2016.0,3.0,39.0,1092.0,38.405952,-81.680535,5401.0,221Ea,5050008.0,4189.0,54039.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336110489998,54.0,2016.0,4.0,43.0,566.0,38.144801,-82.017643,5401.0,221Eb,5070102.0,4324.0,54043.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336113489998,54.0,2016.0,3.0,45.0,2264.0,38.001342,-82.068581,5401.0,M221Ca,5070102.0,4325.0,54045.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336116489998,54.0,2016.0,3.0,59.0,1269.0,37.912194,-82.25491,5401.0,M221Ca,5090102.0,4460.0,54059.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336119489998,54.0,2016.0,3.0,59.0,1359.0,37.669576,-82.180773,5401.0,M221Ca,5070201.0,4326.0,54059.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336134489998,54.0,2016.0,4.0,99.0,1937.0,38.161954,-82.470107,5401.0,221Eb,5090102.0,4595.0,54099.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336137489998,54.0,2016.0,3.0,5.0,1958.0,38.200395,-81.795195,5401.0,221Eb,5050009.0,4190.0,54005.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336143489998,54.0,2016.0,4.0,95.0,1258.0,39.330414,-80.86422,5402.0,221Ea,5030201.0,4052.0,54095.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336150489998,54.0,2016.0,3.0,45.0,1554.0,37.902561,-81.943435,5401.0,M221Ca,5070102.0,4192.0,54045.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336168489998,54.0,2016.0,4.0,35.0,1440.0,38.986378,-81.760105,5401.0,221Ec,5030202.0,4321.0,54035.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336179489998,54.0,2016.0,4.0,21.0,205.0,38.972368,-80.80694,5401.0,221Ea,5030203.0,3922.0,54021.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336184489998,54.0,2016.0,3.0,89.0,2029.0,37.828207,-80.822201,5401.0,M221Cb,5050004.0,3667.0,54089.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
