CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,BROWSE_IMPACT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
384454519489998,171920667020004,2015,54,2,3,610,,2016-04-07 14:29:00,2020-11-17 15:09:36,8,2
384455886489998,249981828489998,2015,54,2,77,1886,2,2016-04-07 14:29:01,,8,2
384458911489998,249981898489998,2015,54,4,35,949,4,2016-04-07 14:29:02,,8,2
384461160489998,249981948489998,2015,54,3,47,2474,3,2016-04-07 14:29:03,,8,2
384461219489998,249981950489998,2015,54,4,107,762,3,2016-04-07 14:29:03,,8,2
384462310489998,249981979489998,2015,54,2,101,1529,3,2016-04-07 14:29:04,,8,2
384463737489998,249982012489998,2015,54,3,55,737,3,2016-04-07 14:29:05,,8,2
384453374489998,171920548020004,2015,54,4,13,1500,3,2016-04-07 14:29:08,,8,2
384454665489998,171920677020004,2015,54,3,25,2331,3,2016-04-07 14:29:08,,8,2
384456251489998,249981835489998,2015,54,4,9,576,3,2016-04-07 14:29:10,,8,2
384456753489998,249981845489998,2015,54,2,31,1695,2,2016-04-07 14:29:10,,8,2
468138916489998,306336016489998,2016,54,2,83,237,4,2017-05-01 11:19:22,,8,3
468145269489998,306336165489998,2016,54,4,107,2443,3,2017-05-01 11:19:24,,8,3
468148218489998,306336239489998,2016,54,3,19,913,,2017-05-01 11:19:25,,8,3
468136353489998,306335952489998,2016,54,3,81,1604,,2017-05-01 11:19:26,,8,3
468150871489998,306336297489998,2016,54,2,27,602,4,2017-05-01 11:19:29,,8,3
468141451489998,306336063489998,2016,54,4,99,1003,,2017-05-01 11:19:32,,8,3
468143951489998,306336130489998,2016,54,4,87,1586,3,2017-05-01 11:19:33,,8,3
468144555489998,306336149489998,2016,54,3,5,2402,3,2017-05-01 11:19:34,,8,3
468142198489998,306336083489998,2016,54,3,47,1853,2,2017-05-01 11:19:37,,8,3
468146816489998,306336209489998,2016,54,3,25,225,3,2017-05-01 11:19:39,,8,3
468139366489998,306336023489998,2016,54,3,63,1793,3,2017-05-01 11:19:02,,8,3
468142324489998,306336087489998,2016,54,3,39,2374,,2017-05-01 11:19:04,,8,3
468142790489998,306336099489998,2016,54,4,51,1731,3,2017-05-01 11:19:04,,8,3
468143808489998,306336126489998,2016,54,4,13,454,4,2017-05-01 11:19:05,,8,3
468145080489998,306336162489998,2016,54,4,107,1124,2,2017-05-01 11:19:06,,8,3
468149935489998,306336278489998,2016,54,2,93,1099,3,2017-05-01 11:19:40,,8,3
468150298489998,306336284489998,2016,54,2,83,2127,3,2017-05-01 11:19:41,,8,3
468137212489998,306335970489998,2016,54,2,101,516,3,2017-05-01 11:19:43,,8,3
468140669489998,306336039489998,2016,54,2,31,2075,4,2017-05-01 11:19:44,,8,3
468147302489998,306336218489998,2016,54,3,25,1598,2,2017-05-01 11:19:07,,8,3
468136601489998,306335956489998,2016,54,2,65,1431,3,2017-05-01 11:19:09,,8,3
468137804489998,306335986489998,2016,54,3,15,1378,3,2017-05-01 11:19:10,,8,3
468144397489998,306336143489998,2016,54,4,95,1258,,2017-05-01 11:19:45,,8,3
468147772489998,306336227489998,2016,54,2,77,2255,3,2017-05-01 11:19:46,,8,3
468151056489998,306336306489998,2016,54,2,3,1892,3,2017-05-01 11:19:47,,8,3
468657053489998,306336017489998,2016,54,2,75,3599,4,2017-05-02 14:30:34,,8,3
468142458489998,306336090489998,2016,54,3,39,2412,,2017-05-01 11:19:11,,8,3
468144362489998,306336142489998,2016,54,4,73,1771,,2017-05-01 11:19:11,,8,3
468148595489998,306336247489998,2016,54,2,1,2429,3,2017-05-01 11:19:12,,8,3
468150136489998,306336282489998,2016,54,2,83,1083,3,2017-05-01 11:19:13,,8,3
468146430489998,306336200489998,2016,54,2,97,1210,3,2017-05-01 11:19:16,,8,3
468147683489998,306336226489998,2016,54,3,63,559,,2017-05-01 11:19:17,,8,3
468149053489998,306336260489998,2016,54,2,83,1282,3,2017-05-01 11:19:18,,8,3
468149546489998,306336270489998,2016,54,2,7,1364,3,2017-05-01 11:19:19,,8,3
468150534489998,306336288489998,2016,54,2,27,1971,3,2017-05-01 11:19:19,,8,3
468136808489998,306335959489998,2016,54,2,77,1835,3,2017-05-01 11:19:21,,8,3
