CN,INVYR,P3_OZONE_IND,STATECD,STATEAB,STATENM,RSCD,ANN_INVENTORY,NOTES,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,PRJ_CN
159475469010661,2001,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:15:07,2021-05-03 15:12:33,8,1,270781653732862
65376493010538,2006,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2007-01-26 12:44:01,2021-05-03 15:12:33,13,1,270781653732862
172086070010661,2009,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-12-05 06:34:27,2021-05-03 15:12:33,16,1,270781653732862
159473017010661,1998,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:14:59,2021-05-03 15:12:33,5,1,270781653732862
167774214010661,2000,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-10-09 07:18:57,2021-05-03 15:12:33,7,1,270781653732862
159469832010661,2002,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:14:48,2021-05-03 15:12:33,9,1,270781653732862
54191670010538,2003,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2005-03-04 14:19:48,2021-05-03 15:12:33,10,1,270781653732862
63139660010538,2004,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2005-03-04 14:19:48,2021-05-03 15:12:33,11,1,270781653732862
7340053010661,1989,N,54,WV,West Virginia,24,N,Periodic inventory FOR CYCLE=4 AND SUBCYCLE=0.,2003-09-25 00:00:00,2021-05-03 15:12:33,4,0,270781651732862
7512618010661,2000,N,54,WV,West Virginia,24,N,Periodic inventory FOR CYCLE=5 AND SUBCYCLE=0.,2003-09-25 00:00:00,2021-05-03 15:12:33,5,0,270781651732862
172086046010661,2008,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-12-05 06:34:27,2021-05-03 15:12:33,15,1,270781653732862
159475242010661,1997,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:15:06,2021-05-03 15:12:33,4,1,270781653732862
