CN,PLT_CN,VVT_CN,INVYR,STATECD,COUNTYCD,PLOT,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,SPECIMEN_COLLECTED,SPECIMEN_LABEL_NBR,SPECIMEN_NOT_COLLECTED_REASON,SPECIMEN_RESOLVED,CREATED_DATE,MODIFIED_DATE,UPDATED_UNKNOWN_SPECIES_DATE
218415014010661,122560886010661,218415120010661,2007,54,11,1711,2FD,1,SYMPH4,1,30394.0,,Y,2009-10-30 10:22:37,,
218415015010661,122560886010661,218415120010661,2007,54,11,1711,2FD,2,2FD,1,30378.0,,Y,2009-10-30 10:22:37,,
218415016010661,122560886010661,218415120010661,2007,54,11,1711,2FD,3,2FD,1,30387.0,,Y,2009-10-30 10:22:37,,
218415017010661,122560886010661,218415120010661,2007,54,11,1711,2FD,12,2FD,0,,10,,2009-10-30 10:22:37,,
218415018010661,122560886010661,218415120010661,2007,54,11,1711,2FORB,1,2FORB,0,,2,,2009-10-30 10:22:37,,
218415019010661,122560886010661,218415120010661,2007,54,11,1711,2GP,3,2GP,0,,2,,2009-10-30 10:22:37,,
218415020010661,122560886010661,218415120010661,2007,54,11,1711,2GRAM,1,2GRAM,0,,2,,2009-10-30 10:22:37,,
218415021010661,122560886010661,218415120010661,2007,54,11,1711,2GRAM,2,2GRAM,0,,2,,2009-10-30 10:22:37,,
218415022010661,122560886010661,218415120010661,2007,54,11,1711,2GRAM,3,2GRAM,0,,2,,2009-10-30 10:22:37,,
218415023010661,122560886010661,218415120010661,2007,54,11,1711,2GRAM,4,2GRAM,0,,10,,2009-10-30 10:22:37,,
218415024010661,122560886010661,218415120010661,2007,54,11,1711,2GRAM,5,2GRAM,0,,10,,2009-10-30 10:22:37,,
218415025010661,122560886010661,218415120010661,2007,54,11,1711,2GRAM,99,2GRAM,0,,10,,2009-10-30 10:22:37,,
218415026010661,122560886010661,218415120010661,2007,54,11,1711,2PLANT,99,2PLANT,0,,10,,2009-10-30 10:22:37,,
218415027010661,122560886010661,218415120010661,2007,54,11,1711,ACNE2,1,ACNE2,0,,,,2009-10-30 10:22:37,,
218415028010661,122560886010661,218415120010661,2007,54,11,1711,ACRU,1,ACRU,0,,,,2009-10-30 10:22:37,,
218415029010661,122560886010661,218415120010661,2007,54,11,1711,ACSA3,1,ACSA3,0,,,,2009-10-30 10:22:37,,
218415030010661,122560886010661,218415120010661,2007,54,11,1711,AGALA,1,AGALA,1,30380.0,,Y,2009-10-30 10:22:37,,
218415031010661,122560886010661,218415120010661,2007,54,11,1711,AGRIM,1,AGRIM,0,,2,,2009-10-30 10:22:37,,
218415032010661,122560886010661,218415120010661,2007,54,11,1711,AIAL,1,AIAL,0,,,,2009-10-30 10:22:37,,
218415033010661,122560886010661,218415120010661,2007,54,11,1711,ALVI,1,ALVI,1,30381.0,,Y,2009-10-30 10:22:37,,
218415034010661,122560886010661,218415120010661,2007,54,11,1711,AMAR2,1,AMAR2,0,,,,2009-10-30 10:22:37,,
218415035010661,122560886010661,218415120010661,2007,54,11,1711,ASCLE,1,ASCLE,0,,2,,2009-10-30 10:22:37,,
218415036010661,122560886010661,218415120010661,2007,54,11,1711,ASPL,1,ASPL,0,,,,2009-10-30 10:22:37,,
218415037010661,122560886010661,218415120010661,2007,54,11,1711,BOTRY,1,BOTRY,0,,1,,2009-10-30 10:22:37,,
218415038010661,122560886010661,218415120010661,2007,54,11,1711,BRJA,1,BRAR5,1,30391.0,,Y,2009-10-30 10:22:37,2012-01-24 13:21:55,
218415039010661,122560886010661,218415120010661,2007,54,11,1711,BRPU6,1,BRPU6,1,30372.0,,Y,2009-10-30 10:22:37,,
218415040010661,122560886010661,218415120010661,2007,54,11,1711,CACO15,1,CACO15,0,,,,2009-10-30 10:22:37,,
