CN,PLT_CN,VVT_CN,VSB_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,QUADRAT,CONDID,QUADRAT_STATUS,QUADRAT_STATUS_PRE2004,TRAMPLING,CREATED_DATE,MODIFIED_DATE
218415104010661,122560886010661,218415120010661,218415116010661,2007,54,11,1711,1,1,1,1,,1,2009-10-30 10:22:37,
218415108010661,122560886010661,218415120010661,218415116010661,2007,54,11,1711,1,2,1,1,,1,2009-10-30 10:22:37,
218415112010661,122560886010661,218415120010661,218415116010661,2007,54,11,1711,1,3,1,1,,2,2009-10-30 10:22:37,
218415105010661,122560886010661,218415120010661,218415117010661,2007,54,11,1711,2,1,1,1,,1,2009-10-30 10:22:37,
218415109010661,122560886010661,218415120010661,218415117010661,2007,54,11,1711,2,2,1,1,,1,2009-10-30 10:22:37,
218415113010661,122560886010661,218415120010661,218415117010661,2007,54,11,1711,2,3,1,1,,1,2009-10-30 10:22:37,
218415106010661,122560886010661,218415120010661,218415118010661,2007,54,11,1711,3,1,2,2,,,2009-10-30 10:22:37,
218415110010661,122560886010661,218415120010661,218415118010661,2007,54,11,1711,3,2,2,2,,,2009-10-30 10:22:37,
218415114010661,122560886010661,218415120010661,218415118010661,2007,54,11,1711,3,3,2,2,,,2009-10-30 10:22:37,
218415107010661,122560886010661,218415120010661,218415119010661,2007,54,11,1711,4,1,3,1,,1,2009-10-30 10:22:37,
218415111010661,122560886010661,218415120010661,218415119010661,2007,54,11,1711,4,2,3,1,,1,2009-10-30 10:22:37,
218415115010661,122560886010661,218415120010661,218415119010661,2007,54,11,1711,4,3,3,1,,1,2009-10-30 10:22:37,
218416134010661,122560562010661,218416150010661,218416146010661,2007,54,13,1984,1,1,1,1,,1,2009-10-30 10:22:37,
218416138010661,122560562010661,218416150010661,218416146010661,2007,54,13,1984,1,2,1,1,,1,2009-10-30 10:22:37,
218416142010661,122560562010661,218416150010661,218416146010661,2007,54,13,1984,1,3,1,1,,1,2009-10-30 10:22:37,
218416135010661,122560562010661,218416150010661,218416147010661,2007,54,13,1984,2,1,1,1,,1,2009-10-30 10:22:37,
218416139010661,122560562010661,218416150010661,218416147010661,2007,54,13,1984,2,2,1,1,,1,2009-10-30 10:22:37,
218416143010661,122560562010661,218416150010661,218416147010661,2007,54,13,1984,2,3,1,1,,1,2009-10-30 10:22:37,
218416136010661,122560562010661,218416150010661,218416148010661,2007,54,13,1984,3,1,1,1,,1,2009-10-30 10:22:37,
