CN,PLT_CN,VVT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,VEG_SUBP_STATUS_CD,VEG_SUBP_NONSAMPLE_REASN_CD,SUBP_ACCESSIBLE_FOREST_PCT,DETAILED_NONFOREST_LAND_USE,TOTAL_CANOPY_COVER_LAYER_1,TOTAL_CANOPY_COVER_LAYER_2,TOTAL_CANOPY_COVER_LAYER_3,TOTAL_CANOPY_COVER_LAYER_4,CRYPTO_CRUST_COVER_PCT,LICHEN_COVER_PCT,LITTER_DUFF_COVER_PCT,MINERAL_SOIL_COVER_PCT,MOSS_COVER_PCT,ROAD_TRAIL_COVER_PCT,ROCK_COVER_PCT,STANDING_WATER_COVER_PCT,STREAM_LAKE_COVER_PCT,TRASH_JUNK_COVER_PCT,WOOD_COVER_PCT,VEG_SUBP_STATUS_CD_PRE2004,VEG_SUBP_NONSMP_RSN_CD_PRE2004,CREATED_DATE,MODIFIED_DATE
236065063010661,145008043010661,236065067010661,2009,54,77,1290,1,1,,100,,95,95,24,25,0,1,83,0,1,0,0,0,0,0,15,1,,2010-11-05 10:21:22,
236064269010661,145007229010661,236064270010661,2009,54,31,2183,4,1,,100,,90,13,4,85,0,1,85,2,1,0,2,0,4,0,5,1,,2010-11-05 10:21:17,
236065243010661,145007315010661,236065247010661,2009,54,83,1402,1,1,,100,,65,80,85,85,0,1,71,1,11,0,1,0,0,0,15,1,,2010-11-05 10:21:23,
236065244010661,145007315010661,236065247010661,2009,54,83,1402,2,1,,100,,60,80,95,85,0,1,90,0,2,0,0,0,0,0,7,1,,2010-11-05 10:21:23,
236065245010661,145007315010661,236065247010661,2009,54,83,1402,3,1,,100,,15,13,100,80,0,1,90,2,1,0,1,0,0,0,5,1,,2010-11-05 10:21:23,
236065246010661,145007315010661,236065247010661,2009,54,83,1402,4,1,,100,,75,70,75,90,0,1,70,11,1,0,1,0,0,0,16,1,,2010-11-05 10:21:23,
236064852010661,145007335010661,236064856010661,2009,54,75,1492,1,1,,100,,70,35,28,90,0,1,85,0,6,0,0,0,0,0,8,1,,2010-11-05 10:21:22,
236064853010661,145007335010661,236064856010661,2009,54,75,1492,2,1,,100,,75,40,30,90,0,1,86,0,4,0,1,0,0,0,8,1,,2010-11-05 10:21:22,
236064854010661,145007335010661,236064856010661,2009,54,75,1492,3,1,,100,,85,7,35,90,0,1,90,0,2,0,1,0,0,0,6,1,,2010-11-05 10:21:22,
236064855010661,145007335010661,236064856010661,2009,54,75,1492,4,1,,100,,73,6,15,100,0,1,87,0,8,0,0,0,0,0,4,1,,2010-11-05 10:21:22,
218446164010661,171000537010661,218446199010661,2008,54,87,744,4,1,,50,32,1,50,1,0,0,0,49,0,0,0,0,0,0,0,1,1,,2009-10-30 10:22:52,
249350329010661,169112995010661,249350331010661,2010,54,39,2374,3,1,,100,,24,72,95,75,0,0,79,1,1,0,0,0,0,0,19,1,,2011-06-06 07:01:40,
249350330010661,169112995010661,249350331010661,2010,54,39,2374,4,1,,100,,71,24,39,94,0,0,93,1,1,0,0,0,0,0,5,1,,2011-06-06 07:01:40,
249350878010661,169113039010661,249350882010661,2010,54,47,1853,1,1,,100,,68,42,95,88,0,0,73,6,2,0,1,0,0,0,18,1,,2011-06-06 07:01:42,
249350879010661,169113039010661,249350882010661,2010,54,47,1853,2,1,,100,,76,55,92,88,0,0,79,8,1,0,4,0,0,0,8,1,,2011-06-06 07:01:42,
249350880010661,169113039010661,249350882010661,2010,54,47,1853,3,1,,100,,68,34,92,86,0,0,79,10,1,0,1,0,0,0,9,1,,2011-06-06 07:01:42,
249350881010661,169113039010661,249350882010661,2010,54,47,1853,4,1,,100,,68,42,90,95,0,0,72,9,1,0,5,0,0,0,13,1,,2011-06-06 07:01:42,
249349284010661,169113105010661,249349288010661,2010,54,5,2402,1,1,,100,,72,33,34,94,0,1,77,10,3,0,2,0,0,0,7,1,,2011-06-06 07:01:37,
249349285010661,169113105010661,249349288010661,2010,54,5,2402,2,1,,100,,69,38,30,95,0,0,59,4,2,18,2,0,0,6,9,1,,2011-06-06 07:01:37,
249349286010661,169113105010661,249349288010661,2010,54,5,2402,3,1,,100,,19,38,53,90,0,0,71,9,1,0,0,0,0,0,19,1,,2011-06-06 07:01:37,
249349287010661,169113105010661,249349288010661,2010,54,5,2402,4,1,,100,,19,14,48,98,0,1,74,9,1,0,7,0,0,0,8,1,,2011-06-06 07:01:37,
249353188010661,169113125010661,249353192010661,2010,54,107,762,1,2,,,,,,,,,,,,,,,,,,,2,,2011-06-06 07:01:50,
249353189010661,169113125010661,249353192010661,2010,54,107,762,2,1,,100,,95,95,60,18,0,0,91,1,0,0,0,0,0,0,8,1,,2011-06-06 07:01:50,
249353190010661,169113125010661,249353192010661,2010,54,107,762,3,2,,,,,,,,,,,,,,,,,,,2,,2011-06-06 07:01:50,
