CN,PLT_CN,VVT_CN,VSB_CN,VPS_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,SP_CANOPY_COVER_TOTAL,SP_CANOPY_COVER_LAYER_1_2,SP_CANOPY_COVER_LAYER_3,SP_CANOPY_COVER_LAYER_4,QUAD_1_PRESENCE,QUAD_2_PRESENCE,QUAD_3_PRESENCE,DUMMY_SUBP_COVER_PRE2004,MAX_COVER_LAYER_NBR_PRE2004,CREATED_DATE,MODIFIED_DATE
236180877010661,145008167010661,236065953010661,236065952010661,236065829010661,2009,54,25,2331,4,ROMU,1,ROMU,0.01,0.01,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180881010661,145008167010661,236065953010661,236065952010661,236065830010661,2009,54,25,2331,4,ROPS,1,ROPS,15.0,0.01,0.0,15.0,0,0,0,,,2010-11-05 10:21:16,
236180888010661,145008167010661,236065953010661,236065952010661,236065835010661,2009,54,25,2331,4,SAAL5,1,SAAL5,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180892010661,145008167010661,236065953010661,236065952010661,236065836010661,2009,54,25,2331,4,SACA15,1,SACA15,2.0,2.0,0.0,0.0,0,0,1,,,2010-11-05 10:21:16,
236180905010661,145008167010661,236065953010661,236065952010661,236065845010661,2009,54,25,2331,4,SYPR6,1,SYPR6,0.01,0.01,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180914010661,145008167010661,236065953010661,236065952010661,236065850010661,2009,54,25,2331,4,ULRU,1,ULRU,13.0,0.01,0.01,13.0,0,0,0,,,2010-11-05 10:21:16,
236180920010661,145008167010661,236065953010661,236065952010661,236065854010661,2009,54,25,2331,4,VIBL,1,VIBL,3.0,3.0,0.0,0.0,0,0,1,,,2010-11-05 10:21:16,
236180925010661,145008167010661,236065953010661,236065952010661,236065856010661,2009,54,25,2331,4,VISO,1,VISO,1.0,1.0,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180928010661,145008167010661,236065953010661,236065952010661,236065857010661,2009,54,25,2331,4,VIST3,1,VIST3,0.01,0.01,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180931010661,145008167010661,236065953010661,236065952010661,236065858010661,2009,54,25,2331,4,VITIS,1,VITIS,30.0,0.01,0.0,30.0,1,1,1,,,2010-11-05 10:21:16,
236180804010661,145008167010661,236065953010661,236065952010661,236065859010661,2009,54,25,2331,4,FESU3,1,FESU3,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180788010661,145008167010661,236065953010661,236065952010661,236065860010661,2009,54,25,2331,4,CENU2,1,CENU2,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180784010661,145008167010661,236065953010661,236065952010661,236065861010661,2009,54,25,2331,4,CAREX,4,CAREX,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180772010661,145008167010661,236065953010661,236065952010661,236065862010661,2009,54,25,2331,4,CACE,1,CACE,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180899010661,145008167010661,236065953010661,236065952010661,236065863010661,2009,54,25,2331,4,SMTA2,1,SMTA2,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180849010661,145008167010661,236065953010661,236065952010661,236065873010661,2009,54,25,2331,4,PAPE5,1,PAPE5,0.01,0.01,0.0,0.0,0,0,1,,,2010-11-05 10:21:16,
236180739010661,145008167010661,236065953010661,236065952010661,236065874010661,2009,54,25,2331,4,2GRAM,1,2GRAM,1.0,1.0,0.0,0.0,0,1,1,,,2010-11-05 10:21:16,
236180741010661,145008167010661,236065953010661,236065952010661,236065875010661,2009,54,25,2331,4,2GRAM,2,2GRAM,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180748010661,145008167010661,236065953010661,236065952010661,236065878010661,2009,54,25,2331,4,ACRU,1,ACRU,1.0,1.0,0.0,0.0,1,0,1,,,2010-11-05 10:21:16,
236180751010661,145008167010661,236065953010661,236065952010661,236065879010661,2009,54,25,2331,4,ACSA3,1,ACSA3,75.0,1.0,12.0,75.0,0,0,0,,,2010-11-05 10:21:16,
236180755010661,145008167010661,236065953010661,236065952010661,236065880010661,2009,54,25,2331,4,AGAL5,1,AGAL5,11.0,11.0,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180757010661,145008167010661,236065953010661,236065952010661,236065881010661,2009,54,25,2331,4,AGPE,1,AGPE,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180770010661,145008167010661,236065953010661,236065952010661,236065889010661,2009,54,25,2331,4,BOVI,1,BOVI,1.0,1.0,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180780010661,145008167010661,236065953010661,236065952010661,236065892010661,2009,54,25,2331,4,CAOV2,1,CAOV2,25.0,0.01,0.0,25.0,0,0,0,,,2010-11-05 10:21:16,
236180776010661,145008167010661,236065953010661,236065952010661,236065893010661,2009,54,25,2331,4,CALE11,1,CALE11,3.0,3.0,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180787010661,145008167010661,236065953010661,236065952010661,236065896010661,2009,54,25,2331,4,CARYA,1,CARYA,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180791010661,145008167010661,236065953010661,236065952010661,236065897010661,2009,54,25,2331,4,CIAL,1,CIAL,6.0,6.0,0.0,0.0,1,1,1,,,2010-11-05 10:21:16,
236180795010661,145008167010661,236065953010661,236065952010661,236065899010661,2009,54,25,2331,4,CLEMA,1,CLEMA,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180798010661,145008167010661,236065953010661,236065952010661,236065901010661,2009,54,25,2331,4,CONVO,1,CONVO,0.01,0.01,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180808010661,145008167010661,236065953010661,236065952010661,236065907010661,2009,54,25,2331,4,FRAM2,1,FRAM2,8.0,1.0,1.0,8.0,1,1,1,,,2010-11-05 10:21:16,
236180812010661,145008167010661,236065953010661,236065952010661,236065909010661,2009,54,25,2331,4,GACI2,1,GACI2,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180822010661,145008167010661,236065953010661,236065952010661,236065913010661,2009,54,25,2331,4,IMPAT,1,IMPAT,0.01,0.01,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180833010661,145008167010661,236065953010661,236065952010661,236065919010661,2009,54,25,2331,4,LITU,1,LITU,0.01,0.01,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180842010661,145008167010661,236065953010661,236065952010661,236065924010661,2009,54,25,2331,4,OSLO,1,OSLO,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180848010661,145008167010661,236065953010661,236065952010661,236065927010661,2009,54,25,2331,4,PAAU3,1,PAAU3,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
236180853010661,145008167010661,236065953010661,236065952010661,236065928010661,2009,54,25,2331,4,PAQU2,1,PAQU2,10.0,10.0,0.01,0.0,0,1,1,,,2010-11-05 10:21:16,
236180856010661,145008167010661,236065953010661,236065952010661,236065929010661,2009,54,25,2331,4,PIPU2,1,PIPU2,15.0,15.0,0.0,0.0,0,1,1,,,2010-11-05 10:21:16,
236180860010661,145008167010661,236065953010661,236065952010661,236065932010661,2009,54,25,2331,4,POAC4,1,POAC4,1.0,1.0,0.0,0.0,0,1,0,,,2010-11-05 10:21:16,
236180862010661,145008167010661,236065953010661,236065952010661,236065933010661,2009,54,25,2331,4,POCA49,1,POCE4,6.0,6.0,0.0,0.0,0,1,1,,,2010-11-05 10:21:16,
236184565010661,174547884010661,236069352010661,236069348010661,236069226010661,2009,54,103,3601,1,CAREX,3,CARA8,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184563010661,174547884010661,236069352010661,236069348010661,236069229010661,2009,54,103,3601,1,CAREX,2,CAREX,4.0,4.0,0.0,0.0,0,0,1,,,2010-11-05 10:21:25,
236184507010661,174547884010661,236069352010661,236069348010661,236069231010661,2009,54,103,3601,1,2GRAM,2,MUTE,7.0,7.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184506010661,174547884010661,236069352010661,236069348010661,236069234010661,2009,54,103,3601,1,2GRAM,1,2GRAM,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184512010661,174547884010661,236069352010661,236069348010661,236069236010661,2009,54,103,3601,1,ACGR2,1,ACGR2,0.01,0.01,0.0,0.0,0,1,1,,,2010-11-05 10:21:25,
236184516010661,174547884010661,236069352010661,236069348010661,236069237010661,2009,54,103,3601,1,ACRU,1,ACRU,1.0,1.0,1.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184520010661,174547884010661,236069352010661,236069348010661,236069238010661,2009,54,103,3601,1,ACSA3,1,ACSA3,20.0,2.0,13.0,20.0,0,0,0,,,2010-11-05 10:21:25,
236184524010661,174547884010661,236069352010661,236069348010661,236069240010661,2009,54,103,3601,1,AGAL5,1,AGAL5,10.0,10.0,0.0,0.0,1,1,1,,,2010-11-05 10:21:25,
236184533010661,174547884010661,236069352010661,236069348010661,236069244010661,2009,54,103,3601,1,ARLA,1,ARLA,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184536010661,174547884010661,236069352010661,236069348010661,236069246010661,2009,54,103,3601,1,ARTR,1,ARTR,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184539010661,174547884010661,236069352010661,236069348010661,236069247010661,2009,54,103,3601,1,ASPL,1,ASPL,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184541010661,174547884010661,236069352010661,236069348010661,236069248010661,2009,54,103,3601,1,ASTER,1,ASTER,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184545010661,174547884010661,236069352010661,236069348010661,236069250010661,2009,54,103,3601,1,BOVI,1,BOVI,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184548010661,174547884010661,236069352010661,236069348010661,236069251010661,2009,54,103,3601,1,BRER2,1,BRER2,2.0,2.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
