CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,VEG_QA_STATUS,VEG_KINDCD,VEG_MANUAL,TRACE_COVER_ALLOWED,VEG_MEASYEAR,VEG_MEASMON,VEG_MEASDAY,VEG_SAMPLE_BASIS,CREATED_DATE,MODIFIED_DATE,QA_STATUS
218415592010661,122560424010661,2007,54,21,1777,1,1,3.0,1,2007,8,6,2,2009-10-30 10:22:39,2023-01-24 06:21:57,
218415213010661,122560452010661,2007,54,15,1739,1,1,3.0,1,2007,8,17,2,2009-10-30 10:22:38,2023-01-24 06:18:34,
218415343010661,122560472010661,2007,54,19,361,1,1,3.0,1,2007,8,22,2,2009-10-30 10:22:39,2023-01-24 06:22:00,
218416436010661,122560500010661,2007,54,109,379,1,1,3.0,1,2007,7,23,2,2009-10-30 10:22:46,2023-01-24 06:25:48,
218416150010661,122560562010661,2007,54,13,1984,1,1,3.0,1,2007,8,15,2,2009-10-30 10:22:37,2023-01-24 06:18:37,
218416643010661,122560652010661,2007,54,85,240,1,1,3.0,1,2007,7,25,2,2009-10-30 10:22:43,2023-01-24 06:25:52,
218416304010661,122560682010661,2007,54,87,275,1,1,3.0,1,2007,7,26,2,2009-10-30 10:22:44,2023-01-24 06:20:23,
218415159010661,122560712010661,2007,54,39,2504,1,1,3.0,1,2007,7,23,2,2009-10-30 10:22:40,2023-01-24 06:29:32,
218417070010661,122560808010661,2007,54,79,879,1,1,3.0,1,2007,7,31,2,2009-10-30 10:22:43,2023-01-24 06:27:39,
218416528010661,122560862010661,2007,54,53,1601,1,1,3.0,1,2007,7,24,2,2009-10-30 10:22:42,2023-01-24 06:29:36,
218415120010661,122560886010661,2007,54,11,1711,1,1,3.0,1,2007,7,30,2,2009-10-30 10:22:37,2023-01-24 06:25:55,
218415013010661,122560978010661,2007,54,109,250,1,1,3.0,1,2007,7,24,2,2009-10-30 10:22:46,2023-01-24 06:27:42,
218416862010661,122561056010661,2007,54,45,284,1,1,3.0,1,2007,8,14,2,2009-10-30 10:22:40,2023-01-24 06:24:17,
249349288010661,169113105010661,2010,54,5,2402,1,1,4.0,1,2010,9,1,2,2011-06-06 07:01:37,2023-01-24 07:08:59,
249353192010661,169113125010661,2010,54,107,762,1,1,4.0,1,2010,6,30,2,2011-06-06 07:01:50,2023-01-24 07:08:59,
249350176010661,169113149010661,2010,54,35,1145,1,1,4.0,1,2010,6,30,2,2011-06-06 07:01:40,2023-01-24 07:10:54,
249351396010661,169113193010661,2010,54,59,1096,1,1,4.0,1,2010,9,2,2,2011-06-06 07:01:44,2023-01-24 07:08:59,
249353080010661,169113235010661,2010,54,99,1003,1,1,4.0,1,2010,8,25,2,2011-06-06 07:01:49,2023-01-24 07:22:13,
249349433010661,169113285010661,2010,54,15,1378,1,1,4.0,1,2010,7,7,2,2011-06-06 07:01:37,2023-01-24 07:22:14,
249351719010661,169113311010661,2010,54,65,1431,1,1,4.0,1,2010,6,24,2,2011-06-06 07:01:45,2023-01-24 07:13:32,
249352408010661,169113319010661,2010,54,77,1835,1,1,4.0,1,2010,7,28,2,2011-06-06 07:01:47,2023-01-24 07:20:14,
249352690010661,169113349010661,2010,54,81,1604,1,1,4.0,1,2010,8,31,2,2011-06-06 07:01:48,2023-01-24 07:22:15,
249352567010661,169113379010661,2010,54,79,1640,1,1,4.0,1,2010,8,26,2,2011-06-06 07:01:47,2023-01-24 07:09:03,
218445293010661,171000487010661,2008,54,75,1110,1,1,4.0,1,2008,7,16,2,2009-10-30 10:22:52,2023-01-24 06:18:56,
218446199010661,171000537010661,2008,54,87,744,1,1,4.0,1,2008,6,12,2,2009-10-30 10:22:52,2023-01-24 06:27:54,
218446638010661,171000585010661,2008,54,107,934,7,1,4.0,1,2008,6,11,2,2009-10-30 10:22:53,2023-01-24 06:19:03,
218445986010661,171000596010661,2008,54,109,1029,1,1,4.0,1,2008,7,23,2,2009-10-30 10:22:53,2023-01-24 06:19:03,
218445178010661,171000614010661,2008,54,83,214,1,1,4.0,1,2008,6,19,2,2009-10-30 10:22:52,2023-01-24 06:29:54,
218445145010661,171000619010661,2008,54,93,218,1,1,4.0,1,2008,6,18,2,2009-10-30 10:22:53,2023-01-24 06:29:54,
218445468010661,171000624010661,2008,54,101,1753,1,1,4.0,1,2008,7,17,2,2009-10-30 10:22:53,2023-01-24 06:22:28,
218445918010661,171001051010661,2008,54,15,1484,1,1,4.0,1,2008,7,23,2,2009-10-30 10:22:48,2023-01-24 06:22:28,
218446490010661,171001056010661,2008,54,29,2007,1,1,4.0,1,2008,7,9,2,2009-10-30 10:22:49,2023-01-24 06:19:06,
218446878010661,171001062010661,2008,54,43,794,1,1,4.0,1,2008,6,25,2,2009-10-30 10:22:51,2023-01-24 06:29:54,
218446301010661,171001139010661,2008,54,47,1914,1,1,4.0,1,2008,6,24,2,2009-10-30 10:22:51,2023-01-24 06:20:51,
218446980010661,171001223010661,2008,54,19,442,1,1,4.0,1,2008,7,23,2,2009-10-30 10:22:48,2023-01-24 06:20:52,
236063680010661,145007169010661,2009,54,3,610,1,1,4.0,1,2009,6,23,2,2010-11-05 10:21:13,2023-01-24 07:17:48,
218415462010661,122560400010661,2007,54,17,1836,1,1,3.0,1,2007,8,8,2,2009-10-30 10:22:38,2023-01-24 06:18:31,
236064649010661,145007171010661,2009,54,65,623,1,1,4.0,1,2009,6,24,2,2010-11-05 10:21:21,2023-01-24 07:12:50,
236064270010661,145007229010661,2009,54,31,2183,1,1,4.0,1,2009,6,26,2,2010-11-05 10:21:17,2023-01-24 07:08:16,
236065247010661,145007315010661,2009,54,83,1402,1,1,4.0,1,2009,8,6,2,2010-11-05 10:21:23,2023-01-24 07:15:56,
236064856010661,145007335010661,2009,54,75,1492,1,1,4.0,1,2009,8,5,2,2010-11-05 10:21:22,2023-01-24 07:19:31,
236068682010661,145007449010661,2009,54,61,2189,1,1,4.0,1,2009,7,23,2,2010-11-05 10:21:21,2023-01-24 07:10:15,
236063635010661,145007461010661,2009,54,1,1932,1,1,4.0,1,2009,6,18,2,2010-11-05 10:21:12,2023-01-24 07:14:51,
236065404010661,145007475010661,2009,54,97,2114,1,1,4.0,1,2009,6,17,2,2010-11-05 10:21:23,2023-01-24 07:17:52,
236066177010661,145007489010661,2009,54,25,2197,1,1,4.0,1,2009,7,28,2,2010-11-05 10:21:16,2023-01-24 07:17:53,
236067434010661,145007503010661,2009,54,55,2278,1,1,4.0,1,2009,8,19,2,2010-11-05 10:21:20,2023-01-24 07:19:36,
236063913010661,145007553010661,2009,54,7,1744,1,1,4.0,1,2009,6,16,2,2010-11-05 10:21:13,2023-01-24 07:08:23,
236067223010661,145007619010661,2009,54,55,961,1,1,4.0,1,2009,6,10,2,2010-11-05 10:21:19,2023-01-24 07:12:59,
236068519010661,145007655010661,2009,54,17,1054,1,1,4.0,1,2009,7,1,2,2010-11-05 10:21:15,2023-01-24 07:14:57,
236064107010661,145007681010661,2009,54,7,1499,1,1,4.0,1,2009,7,15,2,2010-11-05 10:21:14,2023-01-24 07:19:39,
236067854010661,145007703010661,2009,54,67,2152,1,1,4.0,1,2009,8,21,2,2010-11-05 10:21:21,2023-01-24 07:19:40,
236068091010661,145007725010661,2009,54,81,1027,1,1,4.0,1,2009,8,20,2,2010-11-05 10:21:23,2023-01-24 07:16:09,
236066997010661,145007747010661,2009,54,47,437,1,1,4.0,1,2009,6,11,2,2010-11-05 10:21:19,2023-01-24 07:10:19,
236069122010661,145007763010661,2009,54,103,380,1,1,4.0,1,2009,7,21,2,2010-11-05 10:21:25,2023-01-24 07:08:31,
236066372010661,145007811010661,2009,54,39,1369,1,1,4.0,1,2009,7,30,2,2010-11-05 10:21:17,2023-01-24 07:16:11,
236069490010661,145007857010661,2009,54,105,1773,1,1,4.0,1,2009,6,30,2,2010-11-05 10:21:26,2023-01-24 07:16:12,
236066591010661,145007883010661,2009,54,39,649,1,1,4.0,1,2009,6,9,2,2010-11-05 10:21:18,2023-01-24 07:19:44,
236066823010661,145007927010661,2009,54,45,534,1,1,4.0,1,2009,8,12,2,2010-11-05 10:21:18,2023-01-24 07:16:13,
236069719010661,145007939010661,2009,54,107,1633,1,1,4.0,1,2009,7,14,2,2010-11-05 10:21:26,2023-01-24 07:08:34,
218446079010661,171000476010661,2008,54,69,354,1,1,4.0,1,2008,7,10,2,2009-10-30 10:22:52,2023-01-24 06:18:55,
236068897010661,145008011010661,2009,54,99,1933,1,1,4.0,1,2009,8,13,2,2010-11-05 10:21:24,2023-01-24 07:15:06,
236065067010661,145008043010661,2009,54,77,1290,1,1,4.0,1,2009,7,22,2,2010-11-05 10:21:22,2023-01-24 07:15:07,
236065753010661,145008085010661,2009,54,5,1861,1,1,4.0,1,2009,7,9,2,2010-11-05 10:21:13,2023-01-24 07:15:09,
236067640010661,145008093010661,2009,54,59,257,1,1,4.0,1,2009,7,8,2,2010-11-05 10:21:20,2023-01-24 07:08:39,
236065558010661,145008105010661,2009,54,101,2463,1,1,4.0,1,2009,7,16,2,2010-11-05 10:21:24,2023-01-24 07:19:47,
236065953010661,145008167010661,2009,54,25,2331,1,1,4.0,1,2009,7,29,2,2010-11-05 10:21:16,2023-01-24 07:08:40,
