plot_id,n_points,n_ground,n_first_returns,ground_elev_m,chm_mean_m,chm_max_m,chm_p50_m,chm_p90_m,chm_p95_m,chm_p99_m,chm_sd_m,frac_ge5m_leafoff,frac_ge20m_leafoff
WS2A-1,2815,1306,1274,791.81,13.2,25.4,16.73,22.14,22.82,24.18,8.36,0.705,0.265
WS2A-3,2718,1077,1153,764.71,14.4,29.38,15.47,25.55,26.78,28.23,8.65,0.784,0.327
WS2A-5,2219,1038,957,745.28,13.78,32.67,14.78,24.97,27.48,30.38,9.04,0.702,0.322
WS2B-1,4778,1113,2029,733.14,11.15,29.07,10.6,22.14,23.84,26.11,7.88,0.691,0.185
WS2B-2,2743,1238,1169,745.26,14.0,32.1,15.67,25.44,28.78,30.95,9.41,0.684,0.342
WS2B-4,2340,1150,967,775.69,8.88,27.84,5.71,20.73,23.42,25.52,7.71,0.514,0.12
WS4A-10,2769,1198,1201,858.02,19.07,32.98,23.85,30.58,31.67,32.68,11.36,0.76,0.609
WS4A-11,2987,1161,1299,830.95,20.1,33.48,26.76,31.81,32.16,32.98,12.58,0.755,0.627
WS4A-13,2685,1346,1174,765.73,23.6,40.4,31.3,37.6,38.23,39.44,14.86,0.743,0.673
WS4A-9,2849,1319,1252,842.94,21.06,38.55,26.48,34.53,35.74,37.12,12.99,0.754,0.65
WS4B-1,3045,1187,1307,856.25,21.36,34.86,26.58,31.8,32.25,33.47,11.7,0.783,0.684
WS4C-1,2732,1326,1192,825.53,16.29,31.32,20.69,27.52,28.53,29.66,10.76,0.719,0.529
WS5-1,2614,1284,1157,779.5,15.48,34.92,18.82,28.15,30.11,32.51,10.83,0.697,0.441
WS5-2,2108,1160,959,780.64,9.72,32.13,5.34,24.12,25.35,27.92,9.26,0.506,0.203
WS5-3,2442,1176,996,782.88,8.28,29.0,6.77,20.79,24.01,27.66,7.51,0.555,0.115
WS5-4,2443,1237,1071,767.87,18.0,39.3,19.32,36.18,37.4,38.71,14.79,0.623,0.492
WS5-5,2302,1088,1057,747.92,11.42,30.92,9.0,26.19,27.88,29.91,9.7,0.597,0.254
WS5-6,4185,1315,1836,814.9,11.16,26.16,11.96,21.25,23.06,24.99,7.91,0.663,0.137
