plot_id,dist_skid_trail_m,dist_truck_road_m,dist_log_deck_m,skid_m_per_ha_footprint,skid_m_per_ha_25m,skid_m_per_ha_50m,skid_m_per_ha_100m
WS2A-1,28.3,227.5,578.7,0.0,0.0,128.6,156.3
WS2A-3,7.8,370.6,352.7,409.7,240.5,154.0,114.9
WS2A-5,21.4,177.2,171.8,0.0,133.8,121.3,115.1
WS2B-1,19.2,154.3,128.3,0.0,144.5,111.7,107.4
WS2B-2,12.5,250.6,225.9,0.0,220.8,167.4,147.4
WS2B-4,20.5,366.6,441.2,0.0,157.0,118.8,170.1
WS4A-10,152.4,55.1,429.3,0.0,0.0,0.0,0.0
WS4A-11,76.6,67.3,150.7,0.0,0.0,0.0,21.0
WS4A-13,172.6,273.3,404.7,0.0,0.0,0.0,0.0
WS4A-9,303.9,51.7,525.7,0.0,0.0,0.0,0.0
WS4B-1,146.1,41.0,880.7,0.0,0.0,0.0,0.0
WS4C-1,80.9,174.4,679.5,0.0,0.0,0.0,34.9
WS5-1,30.8,155.8,138.7,0.0,0.0,122.9,74.3
WS5-2,73.4,52.8,89.1,0.0,0.0,0.0,72.5
WS5-3,27.2,139.6,175.1,0.0,0.0,139.4,130.7
WS5-4,1.2,268.9,271.8,547.4,255.3,160.0,128.3
WS5-5,24.8,174.1,201.8,0.0,29.4,210.7,104.4
WS5-6,34.1,356.5,339.8,0.0,0.0,110.0,92.7
