plot_id,cover1932_COVER_TYPE,geo_SURF_GEO_T,geo_A1,geo_A2,geo_A3,geo_A4,geo_A5,geo_SURF_GEO_G,pnv_PLASS1,pnv_CLASS_LEVE,pnv_CLASS_CODE,pnv_CLASS_REFE,pnv_CLASS_SHOR,pnv_CLASS_LONG,pnv_CLASS_LO_1,pnv_CLASS_SET_,pnv_CLASS_STAT,pnv_CLASS_GEOG,pnv_PARENT_CLA,nrcs1971_SUBCLASS_,nrcs1971_GROUP_NAME,nrcs1971_Acres,nrcs1971mu_SOILMAPUNI,nrcs1971mu_SOILMAPU_1,nrcs1971mu_SYMBOL,nrcs1971mu_NAME,nrcs1971mu_GENERAL_SO,nrcs1971mu_LABEL
WS2A-1,northern hardwoods,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,239.0, ,0.0, , , , , , , ,0.0,8,Calvin,2103.93615641,96.0,188.0,23.0,Calvin channery silt loam - 20 to 30% slopes,Calvin channery silt loam,CaD
WS2A-3,chestnut oak - red oak - black locust,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,239.0, ,0.0, , , , , , , ,0.0,8,Calvin,2103.93615641,96.0,188.0,23.0,Calvin channery silt loam - 20 to 30% slopes,Calvin channery silt loam,CaD
WS2A-5,northern hardwoods,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,239.0, ,0.0, , , , , , , ,0.0,8,Calvin,2103.93615641,2.0,282.0,23.0,Calvin channery silt loam - 40 to 65% slopes,Calvin channery silt loam,CaF
WS2B-1,chestnut oak - white oak - black locust,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,239.0, ,0.0, , , , , , , ,0.0,8,Calvin,2103.93615641,2.0,282.0,23.0,Calvin channery silt loam - 40 to 65% slopes,Calvin channery silt loam,CaF
WS2B-2,chestnut oak - white oak - black locust,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,239.0, ,0.0, , , , , , , ,0.0,8,Calvin,2103.93615641,2.0,282.0,23.0,Calvin channery silt loam - 40 to 65% slopes,Calvin channery silt loam,CaF
WS2B-4,chestnut oak - red oak - black locust,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,239.0, ,0.0, , , , , , , ,0.0,8,Calvin,2103.93615641,2.0,282.0,23.0,Calvin channery silt loam - 40 to 65% slopes,Calvin channery silt loam,CaF
WS4A-10,northern hardwoods,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,8,Calvin,2103.93615641,122.0,162.0,23.0,Calvin channery silt loam - 10 to 20% slopes,Calvin channery silt loam,CaC
WS4A-11,black cherry - red oak - black locust,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,8,Calvin,2103.93615641,139.0,145.0,23.0, Calvin channery silt loam - 3 to 10% slopes,Calvin channery silt loam,CaB
WS4A-13,chestnut oak - red oak - black locust,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,239.0, ,0.0, , , , , , , ,0.0,8,Calvin,2103.93615641,97.0,187.0,23.0,Calvin channery silt loam - 30 to 40% slopes,Calvin channery silt loam,CaE
WS4A-9,chestnut oak - red oak - black locust,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,10,Dekalb,506.677063405,85.0,199.0,59.0,Dekalb channery loam - 10 to 20% slopes,Dekalb channery loam,DaC
WS4B-1,northern hardwoods,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,470.0,PVPA,470.0,DeMeo et al 093002,QUPR-QURU,Chestnut oak-northern red oak plant association,Quercus prinus-Quercus rubra,Mon ECS,Draft,Monongahela NF,47.0,10,Dekalb,506.677063405,76.0,208.0,60.0,Dekalb extremely stony loam - 3 to 20% slopes,Dekalb extremely stony loam,DmC
WS4C-1,chestnut oak - red oak - black locust,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,239.0, ,0.0, , , , , , , ,0.0,8,Calvin,2103.93615641,97.0,187.0,23.0,Calvin channery silt loam - 30 to 40% slopes,Calvin channery silt loam,CaE
