plot_id,ws4bio_dist_m,ws4bio_Biomass,ws4bio_n_within_50m,ws4bio_Biomass_mean_50m,ws4soil97_dist_m,ws4soil97_Plot,ws4soil97_NNP_Sum,ws4soil97_ffdep,ws4soil97_phw0,ws4soil97_phc0,ws4soil97_c0,ws4soil97_n0,ws4soil97_cton0,ws4soil97_bs0,ws4soil97_cec0,ws4soil97_cl0,ws4soil97_si0,ws4soil97_sa0,ws4soil97_phw1,ws4soil97_phc1,ws4soil97_c1,ws4soil97_n1,ws4soil97_cton1,ws4soil97_bs1,ws4soil97_cec1,ws4leaf_dist_m,ws4leaf_Leaf_trap,ws4leaf_Meanmass,ws4leaf_n_within_50m,ws4leaf_Leaf_trap_mean_50m,ws4leaf_Meanmass_mean_50m,gilliam_dist_m,gilliam_ID,gilliam_Plot,ltreb_dist_m,ltreb_Name,dendro_dist_m,dendro_Name
WS2A-1,620.5,351,0,,645.3,426,-0.037427998,4.67,3.8,3.39,70.06477393,3.286970755,21.31591035,0.086902632,97.30995386,0.40605686,0.165018541,0.428924598,4.46,4.0,23.97787126,1.29293303,18.54533119,0.064177246,61.04207835,621.8,8,4.43430616,0,,,665.8," ""4-7""",7,159.2,GP10-5,175.9,D16
WS2A-3,476.6,310,0,,521.0,412,1.232766586,2.0,3.92,3.74,45.31257699,2.905762803,15.59403849,0.35555565,74.77796627,0.272776573,0.118763557,0.60845987,4.47,4.07,23.34993133,1.28634999,18.15208265,0.214305571,55.55708228,477.5,2,5.02632962,0,,,532.1," ""4-7""",7,220.6,3_CW_16,230.3,D15
WS2A-5,407.8,291,0,,431.7,412,1.232766586,2.0,3.92,3.74,45.31257699,2.905762803,15.59403849,0.35555565,74.77796627,0.272776573,0.118763557,0.60845987,4.47,4.07,23.34993133,1.28634999,18.15208265,0.214305571,55.55708228,419.5,2,5.02632962,0,,,496.2," ""4-10""",10,201.2,3_CW_14,214.1,D15
WS2B-1,492.3,291,0,,513.8,412,1.232766586,2.0,3.92,3.74,45.31257699,2.905762803,15.59403849,0.35555565,74.77796627,0.272776573,0.118763557,0.60845987,4.47,4.07,23.34993133,1.28634999,18.15208265,0.214305571,55.55708228,507.5,2,5.02632962,0,,,574.4," ""4-10""",10,220.8,GP10-2,304.5,D15
WS2B-2,493.3,291,0,,520.4,412,1.232766586,2.0,3.92,3.74,45.31257699,2.905762803,15.59403849,0.35555565,74.77796627,0.272776573,0.118763557,0.60845987,4.47,4.07,23.34993133,1.28634999,18.15208265,0.214305571,55.55708228,497.7,2,5.02632962,0,,,588.5," ""4-10""",10,217.0,GP10-2,265.6,D15
WS2B-4,608.6,310,0,,648.2,425,-0.02216802,4.33,3.48,3.18,70.31813415,3.260981348,21.56348861,0.089918284,102.6889427,0.311282932,0.276838488,0.41187858,4.45,3.98,29.79111749,1.452892184,20.5046994,0.081603261,54.64017797,608.8,2,5.02632962,0,,,644.0," ""4-7""",7,154.9,GP10-5,251.8,D16
WS4A-10,31.3,417,2,380.0,79.9,463,0.938283858,1.0,4.01,3.89,44.40378338,3.231702638,13.74005852,0.139879466,68.08587395,0.390340909,0.109659091,0.5,4.2,3.95,27.82333333,2.12,13.12421384,0.142293744,56.92182554,40.3,17,3.82640487,1,17.0,3.82640487,156.0," ""4-15""",15,153.9,GP4A-1,563.4,D20
WS4A-11,39.9,444,1,444.0,17.7,451,0.993068967,2.67,3.96,3.77,73.80636936,4.679971838,15.77068664,0.126811322,106.8611941,0.476763718,0.289193729,0.234042553,4.51,4.04,28.79024428,1.995547021,14.42724425,0.09640641,62.66440768,58.9,19,4.01655308,0,,,109.6," ""4-13""",13,160.7,GP4A-4,562.8,D20
WS4A-13,27.8,280,3,305.6666666666667,18.3,423,0.741252499,2.0,3.86,3.55,52.92410256,3.299570169,16.03969603,0.110793798,102.2371265,0.353282828,0.28510101,0.361616162,4.17,3.81,22.03402567,1.496730405,14.72143921,0.089197286,67.03359656,47.2,4,5.46671297,1,4.0,5.46671297,153.8," ""4-7""",7,74.6,GP4C-4,216.3,D20
WS4A-9,29.5,279,3,386.3333333333333,99.7,454,0.476448036,1.0,4.21,3.86,54.13361717,3.89153611,13.91060384,0.238394879,65.3942951,0.353294979,0.204236402,0.442468619,4.56,4.06,20.72307737,1.47605217,14.03952908,0.186242783,37.61706222,64.1,14,4.23540874,0,,,231.2," ""4-3""",3,82.2,GP4B-3,469.9,D20
WS4B-1,8.7,457,2,429.5,131.7,448,2.043310235,2.67,4.25,4.1,87.39721823,6.883035879,12.69748114,0.456028625,79.09638855,0.719435737,0.054858934,0.225705329,4.27,3.93,23.32336983,1.887266795,12.35827913,0.091429076,60.8401706,71.3,9,4.59213922,0,,,93.5," ""4-4""",4,0.3,GP4B-1,215.5,D11
WS4C-1,27.0,164,1,164.0,51.1,426,-0.037427998,4.67,3.8,3.39,70.06477393,3.286970755,21.31591035,0.086902632,97.30995386,0.40605686,0.165018541,0.428924598,4.46,4.0,23.97787126,1.29293303,18.54533119,0.064177246,61.04207835,62.1,23,4.110296,0,,,134.8," ""4-4""",4,0.3,GP4C-1,218.7,D12
WS5-1,585.0,452,0,,589.1,421,0.683584034,3.0,3.71,3.56,45.04864045,2.672403267,16.85697702,0.126986458,87.72717989,0.427637948,0.380687318,0.191674734,4.08,3.73,12.15281,1.341466,9.059349995,0.11601973,62.02702774,584.6,1,3.76478901,0,,,617.9," ""4-11""",11,695.1,GP4A-4,883.6,D15
WS5-2,524.2,484,0,,520.6,421,0.683584034,3.0,3.71,3.56,45.04864045,2.672403267,16.85697702,0.126986458,87.72717989,0.427637948,0.380687318,0.191674734,4.08,3.73,12.15281,1.341466,9.059349995,0.11601973,62.02702774,535.4,1,3.76478901,0,,,536.9," ""4-11""",11,595.1,GP4A-4,878.6,D15
WS5-3,315.4,484,0,,312.9,421,0.683584034,3.0,3.71,3.56,45.04864045,2.672403267,16.85697702,0.126986458,87.72717989,0.427637948,0.380687318,0.191674734,4.08,3.73,12.15281,1.341466,9.059349995,0.11601973,62.02702774,336.6,1,3.76478901,0,,,326.1," ""4-11""",11,386.5,GP4A-4,699.9,D15
WS5-4,185.5,452,0,,173.6,421,0.683584034,3.0,3.71,3.56,45.04864045,2.672403267,16.85697702,0.126986458,87.72717989,0.427637948,0.380687318,0.191674734,4.08,3.73,12.15281,1.341466,9.059349995,0.11601973,62.02702774,183.4,1,3.76478901,0,,,203.4," ""4-11""",11,292.9,GP4A-4,544.8,D15
WS5-5,174.4,452,0,,230.0,421,0.683584034,3.0,3.71,3.56,45.04864045,2.672403267,16.85697702,0.126986458,87.72717989,0.427637948,0.380687318,0.191674734,4.08,3.73,12.15281,1.341466,9.059349995,0.11601973,62.02702774,177.4,1,3.76478901,0,,,240.6," ""4-10""",10,370.7,3_CW_14,421.0,D15
WS5-6,527.9,452,0,,557.7,421,0.683584034,3.0,3.71,3.56,45.04864045,2.672403267,16.85697702,0.126986458,87.72717989,0.427637948,0.380687318,0.191674734,4.08,3.73,12.15281,1.341466,9.059349995,0.11601973,62.02702774,529.3,1,3.76478901,0,,,591.6," ""4-10""",10,696.8,GP4A-4,757.9,D15
