plot_id,ws_poly_Ws_name,elt_ELT,elt_ELT_NAME,elt_ELTP,elt_SOIL,elt_SLOPE,elt_LNDFM,elt_ASPECT,elt_PLASS1,elt_PLASS2,elt_LTACODE,nrcs_SoilSeries,nrcs_mu_MUSYM,nrcs_mu_MUKEY,nrcs_mu_descriptio,stream_dist_any_m,stream_dist_perennial_m
WS2A-1,WS2,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Calvin,CaD,513981,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",31.1,572.5
WS2A-3,WS2,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Calvin,CaF,513985,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",33.5,354.2
WS2A-5,WS2,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Calvin,CaF,513985,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",46.9,186.5
WS2B-1,WS2,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Calvin,CaF,513985,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",35.7,163.4
WS2B-2,WS2,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Calvin,CaF,513985,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",26.1,259.0
WS2B-4,WS2,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Calvin,CaF,513985,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",34.6,475.7
WS4A-10,WS4,Ba10-22,Allegheny Front sugar maple/basswood,210051.0,Ca,CE,42.0,NE,220.0,238,Ba10,Dekalb,DaC,513997,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",169.8,662.2
WS4A-11,WS4,Ba10-22,Allegheny Front sugar maple/basswood,210051.0,Ca,CE,42.0,NE,220.0,238,Ba10,Calvin,CaC,513979,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",28.1,532.0
WS4A-13,WS4,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Calvin,CaE,513983,"CALVIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",11.3,253.2
WS4A-9,WS4,Ba10-22,Allegheny Front sugar maple/basswood,210051.0,Ca,CE,42.0,NE,220.0,238,Ba10,Calvin,CaC,513979,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",170.4,608.4
WS4B-1,WS4,Ba10-47,Allegheny Front chestnut oak/red oak,210059.0,Dm,F,11.0,Z,470.0,888,Ba10,Dekalb,DmC,514003,"DEKALB VERY COBBLY LOAM, 3 TO 15 PERCENT SLOPES, RUBBLY",82.4,667.0
WS4C-1,WS4,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Calvin,CaE,513983,"CALVIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",72.6,456.5
WS5-1,WS5,Ba10-23,Allegheny Front sugar maple/red oak,210050.0,Ca,CD,42.0,SW,239.0,888,Ba10,Ernest,EnD,514008,"ERNEST SILT LOAM, 15 TO 25 PERCENT SLOPES",46.2,345.3
WS5-2,WS5,Ba10-22,Allegheny Front sugar maple/basswood,210051.0,Ca,CE,42.0,NE,220.0,238,Ba10,Calvin,CaF,513985,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",54.4,345.0
WS5-3,WS5,Ba10-22,Allegheny Front sugar maple/basswood,210051.0,Ca,CE,42.0,NE,220.0,238,Ba10,Calvin,CaC,513979,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",93.4,221.9
WS5-4,WS5,Ba10-22,Allegheny Front sugar maple/basswood,210051.0,Ca,CE,42.0,NE,220.0,238,Ba10,Calvin,CaD,513981,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",6.9,148.8
WS5-5,WS5,Ba10-22,Allegheny Front sugar maple/basswood,210051.0,Ca,CE,42.0,NE,220.0,238,Ba10,Calvin,CaD,513981,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",71.1,71.1
WS5-6,WS5,Ba10-23,Allegheny Front sugar maple/red oak,210053.0,Ca,CE,42.0,SE,230.0,238,Ba10,Calvin,CaF,513985,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",81.3,275.0
