plot_id,solar_kwh_m2_yr_fp
WS2A-1,1461.5234451293948
WS2A-3,1357.6792068481445
WS2A-5,1334.7676239013672
WS2B-1,1305.436185948989
WS2B-2,1340.5100326538086
WS2B-4,1225.0852945963543
WS4A-10,1358.8571853637695
WS4A-11,1373.5397216796875
WS4A-13,1390.766891479492
WS4A-9,1371.8316116333008
WS4B-1,1399.638875325521
WS4C-1,1422.1809692382812
WS5-1,1343.546630859375
WS5-2,1157.3984700520834
WS5-3,1285.218465169271
WS5-4,1274.2538452148438
WS5-5,1375.054313659668
WS5-6,1051.8699684143066
