plot_id,watershed,treatment,usfs_subcomp,usfs_plot_num,xy_source,usfs_offset_m,plot_area_ac,plot_radius_m,x_utm17n,y_utm17n,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area
WS2A-1,WS2,Diameter-limit,WS2A,1,USFS,0.0,0.1,11.35,614042.88,4324131.02,11.35,1,71.31415323414764,404.7078195905045
WS2A-3,WS2,Diameter-limit,WS2A,3,USFS,0.0,0.1,11.35,613962.07,4323900.02,11.35,2,71.31415323414764,404.7078195905045
WS2A-5,WS2,Diameter-limit,WS2A,5,USFS,0.0,0.1,11.35,613946.51,4323706.52,11.35,3,71.31415323414764,404.7078195905045
WS2B-1,WS2,Diameter-limit,WS2B,1,USFS,0.0,0.1,11.35,614034.01,4323680.52,11.35,4,71.31415323414764,404.7078195905045
WS2B-2,WS2,Diameter-limit,WS2B,2,USFS,0.0,0.1,11.35,614019.01,4323778.52,11.35,5,71.31415323414764,404.7078195905045
WS2B-4,WS2,Diameter-limit,WS2B,4,USFS,0.0,0.1,11.35,614062.94,4323992.02,11.35,6,71.31415323414764,404.7078195905045
WS4A-10,WS4,Reference,WS4A,10,USFS,0.0,0.1,11.35,613017.38,4323765.52,11.35,7,71.31415323414764,404.7078195905045
WS4A-11,WS4,Reference,WS4A,11,USFS,0.0,0.1,11.35,613137.44,4323514.02,11.35,8,71.31415323414764,404.7078195905045
WS4A-13,WS4,Reference,WS4A,13,USFS,0.0,0.1,11.35,613423.32,4323715.02,11.35,9,71.31415323414764,404.7078195905045
WS4A-9,WS4,Reference,WS4A,9,USFS,0.0,0.1,11.35,613100.81,4323892.02,11.35,10,71.31415323414764,404.7078195905045
WS4B-1,WS4,Reference,WS4B,1,GPS,121.943,0.1,11.35,613308.5,4324249.02,11.35,11,71.31415323414764,404.7078195905045
WS4C-1,WS4,Reference,WS4C,1,GPS,108.379,0.1,11.35,613371.94,4324033.02,11.35,12,71.31415323414764,404.7078195905045
WS5-1,WS5,Single-tree selection,WS5A,1,USFS,0.0,0.1,11.35,613590.0,4322932.51,11.35,13,71.31415323414764,404.7078195905045
WS5-2,WS5,Single-tree selection,WS5A,2,USFS,0.0,0.1,11.35,613434.07,4322982.51,11.35,14,71.31415323414764,404.7078195905045
WS5-3,WS5,Single-tree selection,WS5A,3,USFS,0.0,0.1,11.35,613408.82,4323192.02,11.35,15,71.31415323414764,404.7078195905045
WS5-4,WS5,Single-tree selection,WS5A,4,USFS,0.0,0.1,11.35,613475.69,4323332.52,11.35,16,71.31415323414764,404.7078195905045
WS5-5,WS5,Single-tree selection,WS5A,5,USFS,0.0,0.1,11.35,613645.57,4323394.02,11.35,17,71.31415323414764,404.7078195905045
WS5-6,WS5,Single-tree selection,WS5,6,GPS,201.112,0.1,11.35,613758.15,4323042.85,11.35,18,71.31415323414764,404.7078195905045
