plot_id,watershed,treatment,usfs_subcomp,usfs_plot_num,xy_source,usfs_offset_m,plot_area_ac,plot_radius_m,x_utm17n,y_utm17n,subcomp_mapped,site_index_mapped,cutting_cycle_mapped,treatment_mapped,label_matches_map,SHAPE@X,SHAPE@Y
WS2A-1,WS2,Diameter-limit,WS2A,1,USFS,0.0,0.1,11.35,614042.88,4324131.02,WS2A,75,15yr,Diameter limit - 18 in,1,614042.8799999999,4324131.02
WS2A-3,WS2,Diameter-limit,WS2A,3,USFS,0.0,0.1,11.35,613962.07,4323900.02,WS2A,75,15yr,Diameter limit - 18 in,1,613962.0700000003,4323900.02
WS2A-5,WS2,Diameter-limit,WS2A,5,USFS,0.0,0.1,11.35,613946.51,4323706.52,WS2A,75,15yr,Diameter limit - 18 in,1,613946.5099999998,4323706.52
WS2B-1,WS2,Diameter-limit,WS2B,1,USFS,0.0,0.1,11.35,614034.01,4323680.52,WS2A,75,15yr,Diameter limit - 18 in,0,614034.0099999998,4323680.52
WS2B-2,WS2,Diameter-limit,WS2B,2,USFS,0.0,0.1,11.35,614019.01,4323778.52,WS2A,75,15yr,Diameter limit - 18 in,0,614019.0099999998,4323778.52
WS2B-4,WS2,Diameter-limit,WS2B,4,USFS,0.0,0.1,11.35,614062.94,4323992.02,WS2B,59,20yr,Diameter limit - 18 in,1,614062.9400000004,4323992.02
WS4A-10,WS4,Reference,WS4A,10,USFS,0.0,0.1,11.35,613017.38,4323765.52,WS4A,81,control,Control,1,613017.3799999999,4323765.52
WS4A-11,WS4,Reference,WS4A,11,USFS,0.0,0.1,11.35,613137.44,4323514.02,WS4A,81,control,Control,1,613137.4400000004,4323514.02
WS4A-13,WS4,Reference,WS4A,13,USFS,0.0,0.1,11.35,613423.32,4323715.02,WS4A,81,control,Control,1,613423.3200000003,4323715.02
WS4A-9,WS4,Reference,WS4A,9,USFS,0.0,0.1,11.35,613100.81,4323892.02,WS4A,81,control,Control,1,613100.8099999996,4323892.02
WS4B-1,WS4,Reference,WS4B,1,GPS,121.943,0.1,11.35,613308.5,4324249.02,WS4B,70,control,Control,1,613308.5,4324249.02
WS4C-1,WS4,Reference,WS4C,1,GPS,108.379,0.1,11.35,613371.94,4324033.02,WS4C,64,control,Control,1,613371.9400000004,4324033.02
WS5-1,WS5,Single-tree selection,WS5A,1,USFS,0.0,0.1,11.35,613590.0,4322932.51,WS5A,75,10yr,Single-tree selection,1,613590.0,4322932.51
WS5-2,WS5,Single-tree selection,WS5A,2,USFS,0.0,0.1,11.35,613434.07,4322982.51,WS5A,75,10yr,Single-tree selection,1,613434.0700000003,4322982.51
WS5-3,WS5,Single-tree selection,WS5A,3,USFS,0.0,0.1,11.35,613408.82,4323192.02,WS5A,75,10yr,Single-tree selection,1,613408.8200000003,4323192.02
WS5-4,WS5,Single-tree selection,WS5A,4,USFS,0.0,0.1,11.35,613475.69,4323332.52,WS5A,75,10yr,Single-tree selection,1,613475.6900000004,4323332.52
WS5-5,WS5,Single-tree selection,WS5A,5,USFS,0.0,0.1,11.35,613645.57,4323394.02,WS5A,75,10yr,Single-tree selection,1,613645.5700000003,4323394.02
WS5-6,WS5,Single-tree selection,WS5,6,GPS,201.112,0.1,11.35,613758.15,4323042.85,WS5B,64,15yr,Single-tree selection,0,613758.1500000004,4323042.85
