AREA,PERIMETER,COVER_TYPE,Shape_Length,Shape_Area
595634.0,6489.7001953125,chestnut oak - white oak - black locust,6489.696654168514,595633.78125
159269.0,2853.139892578125,yellow poplar important,2853.140369788783,159268.59375
100726.0,2421.820068359375,chestnut oak - red oak - black locust,2421.818294924342,100725.640625
340209.0,5961.14990234375,yellow poplar predominant,5961.1475586454,340208.75
41783.6015625,848.6929931640625,field,848.6933299284938,41783.578125
718296.0,10437.2001953125,northern hardwoods,10437.224862146142,718296.125
176055.0,3216.679931640625,chestnut oak - red oak - black locust,3216.6804625497434,176055.390625
3027620.0,39355.30078125,yellow poplar important,39355.31404665118,3027621.34375
369354.0,6471.33984375,yellow poplar important,6471.337625761421,369353.640625
20312.099609375,685.0579833984375,northern hardwoods,685.0581918588151,20312.078125
71366.703125,1217.239990234375,black locust - chestnut oak,1217.2363399272901,71366.65625
2989460.0,23195.0,northern hardwoods,23194.959803590118,2989462.03125
106141.0,1427.8599853515625,northern hardwoods,1427.858566698505,106141.09375
8207.8896484375,426.0450134277344,field,426.04499204127956,8207.890625
297101.0,4224.14013671875,northern hardwoods,4224.137860290856,297101.171875
5929.2001953125,315.0580139160156,field,315.05794015815553,5929.203125
270098.0,3201.050048828125,black locust - chestnut oak,3201.049707537232,270097.8125
253925.0,2472.340087890625,yellow poplar important,2472.3426817995337,253924.8125
70259.703125,1383.1800537109375,black locust - chestnut oak,1383.1754352613093,70259.734375
416141.0,3957.590087890625,chestnut oak - white oak - black locust,3957.586329997604,416141.140625
74668.6015625,1124.4200439453125,chestnut oak - red oak - black locust,1124.4210962072516,74668.578125
45255.69921875,1165.0,northern hardwoods,1164.9973635022816,45255.734375
257130.0,3529.590087890625,chestnut oak - red oak - black locust,3529.595044032268,257130.34375
19695.30078125,598.3820190429688,northern hardwoods,598.3815984654068,19695.265625
107477.0,1298.989990234375,yellow poplar predominant,1298.9871204405003,107477.15625
91402.8984375,1208.3599853515625,basswood - yellow poplar,1208.3603769064473,91402.921875
34564.30078125,1126.260009765625,chestnut oak - red oak - black locust,1126.2602839118088,34564.3125
75683.1015625,1160.219970703125,yellow poplar predominant,1160.2209887316703,75683.0625
162950.0,3236.06005859375,yellow poplar predominant,3236.061753552999,162950.09375
23422.5,813.4600219726562,chestnut oak - red oak - black locust,813.4603083503049,23422.546875
100101.0,2043.2900390625,chestnut oak - red oak - black locust,2043.293135420883,100101.46875
62594.5,1192.1800537109375,chestnut oak - white oak - black locust,1192.177933665794,62594.515625
19415.30078125,506.7569885253906,field,506.7571357785648,19415.328125
68187.0,1316.1099853515625,northern hardwoods,1316.1112901139431,68186.953125
54085.5,1087.75,yellow poplar important,1087.7505080300648,54085.5
175690.0,1768.31005859375,chestnut oak - red oak - black locust,1768.3148621156536,175689.890625
132434.0,1732.0999755859375,northern hardwoods,1732.0962603627106,132434.296875
79015.6015625,1147.010009765625,chestnut oak - red oak - white oak,1147.0112908714605,79015.625
220514.0,2236.530029296875,chestnut oak - red oak - black locust,2236.5345888132624,220513.765625
57836.80078125,1155.1500244140625,chestnut oak - white oak - black locust,1155.1463974596204,57836.828125
247260.0,3016.2900390625,chestnut oak - red oak - black locust,3016.289647782714,247260.15625
79465.1015625,1329.780029296875,chestnut oak - red oak - black locust,1329.7755928186564,79465.140625
389244.0,7780.8701171875,northern hardwoods,7780.865781442409,389243.953125
81135.296875,1161.8699951171875,chestnut oak - white oak - black locust,1161.8672799504218,81135.296875
80001.296875,1408.4100341796875,chestnut oak - red oak - white oak,1408.4052458625833,80001.328125
69326.3984375,971.3770141601562,chestnut oak - red oak - black locust,971.3773023352738,69326.359375
54645.6015625,1095.8800048828125,chestnut oak - red oak - black locust,1095.881930640888,54645.59375
28859.0,723.6729736328125,chestnut oak - white oak - black locust,723.6732730999287,28859.03125
150785.0,2130.510009765625,yellow poplar important,2130.5123768909702,150785.046875
320096.0,3447.530029296875,black cherry - red oak - black locust,3447.525329073632,320095.828125
147060.0,1586.6800537109375,basswood - yellow poplar,1586.6783773722848,147060.0
31022.30078125,689.698974609375,aspen - chestnut oak,689.6986327887171,31022.3125
53074.3984375,985.7550048828125,yellow poplar predominant,985.7546468519614,53074.359375
97003.703125,1506.0799560546875,chestnut oak - red oak - black locust,1506.0792079476491,97003.71875
114295.0,1631.760009765625,chestnut oak - red oak - black locust,1631.7615674922533,114295.453125
28040.69921875,803.0469970703125,field,803.0466392983153,28040.671875
278873.0,3234.840087890625,chestnut oak - red oak - black locust,3234.8354410609295,278873.03125
21644.30078125,561.3510131835938,field,561.3513596136988,21644.265625
39467.8984375,735.9290161132812,black cherry - red oak - black locust,735.9292826784883,39467.859375
69567.0,1466.199951171875,chestnut oak - red oak - black locust,1466.1965737881706,69566.953125
591318.0,3331.219970703125,black cherry - red oak - black locust,3331.216874318587,591318.28125
240875.0,4871.18017578125,northern hardwoods,4871.179892654809,240875.09375
108503.0,1661.6300048828125,chestnut oak - red oak - black locust,1661.634345830452,108503.453125
