Scomp_name,Plot_num,SHAPE@X,SHAPE@Y
WS5A,1,613590.0044999998,4322932.5143
WS5A,2,613434.0661000004,4322982.514599999
WS5A,3,613408.8159999996,4323192.015799999
WS5A,4,613475.6913999999,4323332.5166
WS5A,5,613645.5673000002,4323394.016899999
WS4A,11,613137.4393999996,4323514.0176
WS2B,1,614034.0071,4323680.5186
WS2A,5,613946.5066,4323706.5187
WS4A,13,613423.3159999996,4323715.0188
WS4A,10,613017.3761999998,4323765.519099999
WS2B,2,614019.0070000002,4323778.519099999
WS4A,9,613100.8141999999,4323892.0198
WS2A,3,613962.0691,4323900.0198
WS2B,4,614062.9446999999,4323992.020400001
WS4C,1,613371.9407000002,4324033.0206
WS2A,1,614042.8821,4324131.021199999
WS1,7,614670.8857000005,4324138.521199999
WS1,13,614482.6346000005,4324229.5218
WS1,3,614866.1368000004,4324247.0219
WS4B,1,613308.5028999997,4324249.0218
WS1,9,614675.8857000005,4324308.0222
WS1,4,614863.7618000004,4324312.0222
WS1,14,614479.5096000005,4324383.522600001
 WS5,6,613758.1491,4323042.8473000005
48-1,1,612282.5632999996,4321959.603800001
48-1,1,612141.7767000003,4321975.6428
48-1,1,612147.1231000004,4321804.5604
48-1,1,612266.5242999997,4321807.2335
48-1,1,612251.7105999999,4321704.8737
48-1,1,612200.1964999996,4321888.6536
