Name,SName,Comment,Symbol,Time,Latitude,Longitude,SHAPE@X,SHAPE@Y
D1,D1,", ff0000,3",137.0,0.0,39.064699,-79.68572,613704.1387,4324778.290100001
D10,D10, ,137.0,1308754599.0,39.06357,-79.685938,613687.0763999997,4324652.7016
D11,D11,", ff0000,3",137.0,0.0,39.059787,-79.687902,613523.2429999998,4324230.421
D12,D12,", ff0000,3",137.0,0.0,39.058638,-79.68728,613578.8986,4324103.668299999
D13,D13,", ff0000,3",137.0,0.0,39.057909,-79.686718,613628.6710000001,4324023.4649
D14,D14,", ff0000,3",137.0,0.0,39.058175,-79.685971,613692.8982999995,4324053.9092999995
D15,D15,", ff0000,3",137.0,0.0,39.055886,-79.685304,613754.2918999996,4323800.729
D16,D16,", ff0000,3",137.0,0.0,39.059033,-79.68393,613868.176,4324151.662900001
D17,D17,", ff0000,3",137.0,0.0,39.061839,-79.686015,613683.2015000004,4324460.4442
D18,D18, ,137.0,1308754599.0,39.060862,-79.686675,613627.7241000002,4324351.229599999
D19,D19, ,137.0,1308754599.0,39.061364,-79.684258,613835.9990999997,4324410.000600001
D2,D2,", ff0000,3",137.0,0.0,39.064932,-79.682721,613963.2687999997,4324807.865499999
D20,D20, ,137.0,1308754599.0,39.056567,-79.687418,613570.3009000001,4323873.6437
D3,D3,", ff0000,3",137.0,0.0,39.064535,-79.681214,614094.267,4324765.761600001
D4,D4,", ff0000,3",137.0,0.0,39.062506,-79.682721,613967.1533000004,4324538.671700001
D5,D5,", ff0000,3",137.0,0.0,39.06144,-79.681851,614044.1725000003,4324421.3959
D6,D6,", ff0000,3",137.0,0.0,39.061861,-79.684732,613794.1600000001,4324464.5918000005
D7,D7,", ff0000,3",137.0,0.0,39.062938,-79.68637,613650.7514000004,4324581.9903
D8,D8, ,137.0,0.0,39.063057,-79.682334,613999.7572999997,4324600.3006
D9,D9, ,137.0,1308754599.0,39.063078,-79.683933,613861.4055000003,4324600.6274
