Name,Lat,Long,SHAPE@X,SHAPE@Y
GP4A-1,39.05511634,-79.69219077,613159.6310999999,4323706.7217
GP4A-2,39.055674,-79.69009445,613340.1323999995,4323771.221100001
GP4A-3,39.05591635,-79.69161549,613208.1320000002,4323796.2215
GP4A-4,39.05377943,-79.69069284,613291.3823999995,4323560.2194
GP4A-5,39.05979806,-79.68943602,613390.5077999998,4324229.722999999
GP4B-1,39.05997988,-79.69038039,613308.5069000004,4324248.7235
GP4B-2,39.05894222,-79.69105617,613251.6942999996,4324132.7238
GP4B-3,39.05752649,-79.6929712,613088.2559000002,4323973.2247
GP4B-4,39.05713132,-79.6938915,613009.2558000004,4323928.225
GP4C-1,39.0580257,-79.68968333,613371.9446,4324032.721100001
GP4C-2,39.05707322,-79.68951963,613387.6326000001,4323927.2206999995
GP4C-3,39.05636973,-79.6886608,613463.0705000004,4323850.2202
GP4C-4,39.05542008,-79.68834899,613491.5711000003,4323745.218900001
GP10-1,39.0551732,-79.67925282,614279.0509000001,4323729.2149
GP10-2,39.05554816,-79.67974559,614235.8076,4323770.208000001
GP10-3,39.05687601,-79.67972105,614235.7911,4323917.601299999
GP10-4,39.05716807,-79.67813165,614372.8460999997,4323952.012
GP10-5,39.05831652,-79.68019399,614192.5482000001,4324076.8725000005
GP13-1,39.06257505,-79.67991425,614209.8901000004,4324549.828600001
GP13-2,39.0619102,-79.67823571,614356.1906000003,4324478.1548999995
GP13-3,39.06095141,-79.67944843,614252.8104999997,4324370.225
GP13-4,39.06150537,-79.68123258,614097.5500999996,4324429.4617
GP13-5,39.05989885,-79.68053226,614160.7304999996,4324252.051999999
GPBCA-1,39.04422463,-79.66420017,615599.3959999997,4322533.1896
GPBCA-2,39.04431743,-79.66790472,615278.6432999996,4322538.785700001
GPBCA-3,39.04516704,-79.66702284,615353.5813999996,4322634.1921999995
GPBCA-4,39.04450795,-79.67243435,614886.3288000003,4322554.197000001
GPBCA-5,39.04594006,-79.67119423,614991.3293000003,4322714.6974
3_CW_1,39.06040774,-79.68758134,613550.0044999998,4324299.699200001
3_CW_2,39.06040123,-79.68700358,613600.0044,4324299.6986
3_CW_3,39.05679767,-79.68707033,613600.0044,4323899.6983
3_CW_4,39.05679116,-79.6864926,613650.0042000003,4323899.697899999
3_CW_5,39.0590499,-79.68702861,613600.0045999996,4324149.698999999
3_CW_6,39.05904339,-79.68645086,613650.0045999996,4324149.6987
3_CW_7,39.06082561,-79.68468418,613800.0039999997,4324349.6965
3_CW_8,39.05903687,-79.68587311,613700.0044999998,4324149.6975
3_CW_9,39.06037517,-79.68469253,613800.0048000002,4324299.697000001
3_CW_10,39.06128257,-79.68525358,613750.0048000002,4324399.6965
3_CW_11,39.06083213,-79.68526194,613750.0044,4324349.697000001
3_CW_12,39.06081909,-79.68410641,613850.0044999998,4324349.6964
3_CW_13,39.05812946,-79.68531207,613750.0044999998,4324049.696599999
3_CW_14,39.0554268,-79.6853622,613750.0039999997,4323749.6974
3_CW_15,39.05991167,-79.68354538,613900.0044,4324249.6952
3_CW_16,39.05812294,-79.68473433,613800.0043000001,4324049.696
3_CW_17,39.05902383,-79.68471761,613800.0044999998,4324149.6962
3_CW_18,39.0599182,-79.68412314,613850.0040999996,4324249.6962
7_CW_1,39.06381419,-79.68601569,613680.0045999996,4324679.6982
7_CW_2,39.06126039,-79.68328917,613920.0045999996,4324399.695
7_CW_3,39.06162075,-79.68328248,613920.0042000003,4324439.695499999
7_CW_4,39.06274875,-79.68742241,613560.0044,4324559.699100001
7_CW_5,39.06125517,-79.68282696,613960.0043000001,4324399.695
7_CW_6,39.0634173,-79.68278677,613960.0047000004,4324639.695
7_CW_7,39.06416933,-79.68554678,613720.0042000003,4324719.6976
7_CW_8,39.06377243,-79.68231785,614000.0039999997,4324679.694800001
7_CW_9,39.06412232,-79.68138668,614080.0044,4324719.6932
7_CW_10,39.06411709,-79.68092445,614120.0042000003,4324719.693
7_CW_11,39.06414323,-79.68323561,613920.0044999998,4324719.695
7_CW_12,39.06414845,-79.68369784,613880.0048000002,4324719.6951
7_CW_13,39.06232578,-79.68188242,614040.0048000002,4324519.6941
7_CW_14,39.0616103,-79.68235804,614000.0048000002,4324439.694700001
7_CW_15,39.06197065,-79.68235134,614000.0049,4324479.6942
7_CW_16,39.06304649,-79.68186902,614040.0044,4324599.6941
7_CW_17,39.06341207,-79.68232455,614000.0039999997,4324639.6942
7_CW_18,39.06269136,-79.68233795,614000.0039999997,4324559.6942
