Comp_name,Lysim_num,Depth,POINT_X,POINT_Y,SHAPE@X,SHAPE@Y
WS3,1,AB,613416.928526,4324383.70165,613416.9285000004,4324383.7016
WS3,6,AB,613672.109668,4324444.53185,613672.1096999999,4324444.5318
WS3,7,AB,613630.826596,4324353.04147,613630.8266000003,4324353.0415
WS3,2,AB,613513.258879,4324291.96245,613513.2588999998,4324291.962400001
WS3,10,AB,613696.745864,4324058.02636,613696.7459000004,4324058.0264
WS3,13,AB,613732.251771,4323778.4684,613732.2517999997,4323778.4684
WS3,4,ABC,613517.844936,4324392.8776,613517.8448999999,4324392.877599999
WS3,5,ABC,613646.283265,4324475.44682,613646.2833000002,4324475.446799999
WS3,11,ABC,613816.007389,4324388.29602,613816.0073999995,4324388.296
WS3,3,ABC,613481.150477,4324158.93746,613481.1505000005,4324158.9375
WS3,8,ABC,613591.241586,4324122.2431,613591.2416000003,4324122.243100001
WS3,9,ABC,613614.178398,4324002.98026,613614.1783999996,4324002.9803
WS3,15,ABC,613855.84893,4324120.55137,613855.8488999996,4324120.5514
WS3,14,ABC,613808.533821,4323996.95154,613808.5338000003,4323996.9515
WS3,12,ABC,613715.347527,4323879.13181,613715.3475000001,4323879.1318
WS4,4,ABC,613397.223687,4324220.77579,613397.2237,4324220.775800001
WS4,5,ABC,613404.169359,4324068.00865,613404.1694,4324068.0086
WS4,6,ABC,613411.114154,4323998.56911,613411.1141999997,4323998.5691
WS4,7,ABC,613445.835527,4323899.03955,613445.8355,4323899.0396
WS4,9,ABC,613429.634995,4323681.46163,613429.6349999998,4323681.4616
WS4,10,ABC,613487.503681,4323540.26869,613487.5037000002,4323540.2687
WS4,12,ABC,613265.294141,4323491.65686,613265.2940999996,4323491.6569
WS4,14,ABC,613235.201383,4323662.94082,613235.2013999997,4323662.9408
WS4,15,ABC,613084.746972,4323632.84754,613084.7470000004,4323632.8475
WS4,1,AB,613010.675421,4323776.35483,613010.6754000001,4323776.354800001
WS4,2,AB,613172.702888,4323843.48281,613172.7028999999,4323843.482799999
WS4,3,AB,613246.770197,4324100.41094,613246.7702000001,4324100.4109000005
WS4,8,AB,613519.907373,4323725.44174,613519.9073999999,4323725.4417
WS4,11,AB,613392.601421,4323544.89626,613392.6014,4323544.896299999
WS4,13,AB,613242.146697,4323544.89351,613242.1467000004,4323544.8935
