Comp_name,Lysim_num,POINT_X,POINT_Y,Volume,pH,Cond,Cl,NO3,SO4,Ca,Mg,Na,K,NH4,SHAPE@X,SHAPE@Y
WS3,1,613416.928526,4324383.70165,1897.875,5.44,86.5,14.704463,342.84315,375.566775,601.981125,76.221113,8.80875,6.426975,21.1365,613416.9285000004,4324383.7016
WS3,6,613672.109668,4324444.53185,4002.681818,4.5,75.045455,13.554905,311.08318,287.48256,94.6104,22.917765,4.37175,48.80664,2.38392,613672.1096999999,4324444.5318
WS3,7,613630.826596,4324353.04147,3025.464286,4.472857,70.057143,13.451041,113.775155,492.402464,37.606455,12.75495,6.841364,22.487145,1.4616,613630.8266000003,4324353.0415
WS3,2,613513.258879,4324291.96245,3858.965517,4.317931,107.793103,15.478704,482.953239,417.98413,75.587652,16.815783,6.241304,37.736061,0.964174,613513.2588999998,4324291.962400001
WS3,10,613696.745864,4324058.02636,2530.647059,4.370588,134.205882,16.042087,531.461993,570.5374,121.789267,29.51468,10.962,59.55024,17.88864,613696.7459000004,4324058.0264
WS3,13,613732.251771,4323778.4684,1317.0,4.55,54.4,13.5408,50.6482,334.7856,66.866,48.5511,7.83,28.6496,4.9896,613732.2517999997,4323778.4684
WS3,4,613517.844936,4324392.8776,2433.8,4.801,81.45,10.3974,319.097486,226.194429,202.665286,43.731257,5.095714,60.661143,0.8712,613517.8448999999,4324392.877599999
WS3,5,613646.283265,4324475.44682,5417.52,4.4516,89.028,14.6692,349.92983,408.805226,78.364696,19.785378,5.314565,67.72027,1.976557,613646.2833000002,4324475.446799999
WS3,11,613816.007389,4324388.29602,6781.1,4.5845,45.105,29.768974,66.735753,206.731642,41.075579,15.591789,7.188947,87.4836,1.458947,613816.0073999995,4324388.296
WS3,9,613614.178398,4324002.98026,8568.193548,4.518387,80.183871,19.851481,232.289922,368.729911,97.489815,30.508256,5.896667,112.893067,12.032533,613614.1783999996,4324002.9803
WS3,15,613855.84893,4324120.55137,3423.941176,4.474118,77.341176,17.860456,245.589331,343.230712,84.95475,8.434725,6.41625,12.98185,6.06375,613855.8488999996,4324120.5514
WS3,14,613808.533821,4323996.95154,5147.074074,4.467037,62.02963,19.993837,118.864658,402.25975,37.113125,8.160425,6.579375,14.069,11.5731,613808.5338000003,4323996.9515
WS3,12,613715.347527,4323879.13181,5277.142857,4.448571,68.3,14.857267,246.923417,229.7834,44.6605,10.28625,6.0175,16.072767,1.2012,613715.3475000001,4323879.1318
WS4,4,613397.223687,4324220.77579,4781.0,4.74,43.8,11.70715,178.8817,138.5571,155.56325,25.715625,6.85125,9.4646,0.4158,613397.2237,4324220.775800001
WS4,5,613404.169359,4324068.00865,1045.25,5.184167,33.083333,17.34915,13.024975,143.08545,39.54575,15.840825,8.101875,17.298475,8.5932,613404.1694,4324068.0086
WS4,6,613411.114154,4323998.56911,3816.941176,4.580588,25.688235,18.543373,3.118467,122.85188,11.144333,2.57842,6.989,5.388853,0.03696,613411.1141999997,4323998.5691
WS4,7,613445.835527,4323899.03955,6610.068966,4.69,23.624138,14.491581,11.004244,115.574133,21.401556,6.369856,6.299444,3.041178,3.100533,613445.8355,4323899.0396
WS4,9,613429.634995,4323681.46163,8622.83871,4.83129,26.63871,10.583614,49.246559,118.15709,88.236966,25.935538,6.405,8.132676,0.802924,613429.6349999998,4323681.4616
WS4,10,613487.503681,4323540.26869,8331.774194,4.773226,20.196774,9.34821,30.563569,85.05329,31.247724,7.320972,5.19,1.455414,0.0,613487.5037000002,4323540.2687
WS4,12,613265.294141,4323491.65686,1403.4,4.780667,31.393333,10.694155,106.458,112.106236,54.980727,14.961818,5.259545,6.511273,0.0,613265.2940999996,4323491.6569
WS4,14,613235.201383,4323662.94082,4059.166667,4.550417,39.579167,10.464567,150.039724,104.833657,45.599095,12.852914,5.551429,9.038267,0.1056,613235.2013999997,4323662.9408
WS4,15,613084.746972,4323632.84754,4287.103448,4.745517,39.548276,10.88697,164.209374,114.556267,89.321,35.1104,7.298333,15.594326,0.0616,613084.7470000004,4323632.8475
WS4,1,613010.675421,4323776.35483,1699.333333,4.75,21.0,19.1828,59.1971,76.8258,41.916,16.458,3.915,14.3248,0.0,613010.6754000001,4323776.354800001
WS4,2,613172.702888,4323843.48281,5237.52,4.9052,28.436,11.754167,90.40865,95.239933,83.721111,22.264017,5.0025,26.645833,0.2772,613172.7028999999,4323843.482799999
WS4,3,613246.770197,4324100.41094,5909.033333,4.688333,27.59,14.63665,45.592065,114.013523,37.636115,16.458,5.939423,18.820977,0.469108,613246.7702000001,4324100.4109000005
WS4,8,613519.907373,4323725.44174,9015.774194,4.644839,25.958065,9.961048,3.754397,141.274469,9.790724,5.050903,5.7,14.871683,0.0,613519.9073999999,4323725.4417
WS4,11,613392.601421,4323544.89626,8671.580645,4.684839,27.154839,12.461038,68.001855,94.774076,33.519034,10.726076,5.13,5.733448,0.0,613392.6014,4323544.896299999
WS4,13,613242.146697,4323544.89351,1710.5,4.736667,46.05,12.106792,236.075992,90.54965,107.239636,39.574009,6.801818,13.348109,9.5172,613242.1467000004,4323544.8935
