Comp_name,Lysim_num,Depth,POINT_X,POINT_Y,Volume,pH,Cond,Cl,NO3,SO4,Ca,Mg,Na,K,NH4,SHAPE@X,SHAPE@Y
WS3,4,ABC,613517.844936,4324392.8776,1523.0,4.82,86.2,18.9007,369.8609,345.1956,532.433,73.2381,8.7,10.7436,4.4352,613517.8448999999,4324392.877599999
WS3,5,ABC,613646.283265,4324475.44682,3966.666667,4.465833,91.541667,12.27135,300.96967,379.15302,84.2811,20.81937,5.5245,40.26292,10.14552,613646.2833000002,4324475.446799999
WS3,11,ABC,613816.007389,4324388.29602,1524.666667,4.502222,93.544444,11.319262,355.081787,446.12055,50.27425,12.75495,7.775625,19.664625,39.9168,613816.0073999995,4324388.296
WS3,9,ABC,613614.178398,4324002.98026,5317.111111,4.713333,63.174074,14.657446,254.625492,233.3922,225.651958,85.067288,9.28,7.045158,0.6237,613614.1783999996,4324002.9803
WS3,15,ABC,613855.84893,4324120.55137,7869.266667,4.399333,65.866667,11.62655,145.365864,360.944443,54.996929,12.402279,7.457143,6.468086,0.6732,613855.8488999996,4324120.5514
WS3,14,ABC,613808.533821,4323996.95154,3927.428571,4.467143,56.378571,13.6493,97.512054,290.471031,74.773231,16.7745,7.294615,13.222892,1.620554,613808.5338000003,4323996.9515
WS3,12,ABC,613715.347527,4323879.13181,5070.954545,4.423182,81.390909,12.27135,258.104195,399.35883,102.51955,18.84441,10.179,10.9994,1.58004,613715.3475000001,4323879.1318
WS4,4,ABC,613397.223687,4324220.77579,11639.0,4.673333,48.433333,12.4124,217.1098,120.756,146.207,30.4473,6.38,6.991867,0.0,613397.2237,4324220.775800001
WS4,5,ABC,613404.169359,4324068.00865,5050.862069,4.585172,30.975862,17.560725,1.733975,171.891407,10.710679,6.99465,6.602679,10.524343,0.9306,613404.1694,4324068.0086
WS4,6,ABC,613411.114154,4323998.56911,6109.217391,4.768261,20.334783,13.0169,0.88331,102.761571,14.922476,28.919057,7.726429,4.750571,0.1056,613411.1141999997,4323998.5691
WS4,7,ABC,613445.835527,4323899.03955,8512.5,4.625,25.089286,10.633,0.521123,130.765615,13.664923,10.91925,9.268846,6.680315,0.0,613445.8355,4323899.0396
WS4,9,ABC,613429.634995,4323681.46163,11954.0,4.940645,29.841935,10.729203,36.604347,173.68044,88.289733,64.76223,7.7865,9.66924,0.05544,613429.6349999998,4323681.4616
WS4,10,ABC,613487.503681,4323540.26869,5279.259259,4.582222,42.040741,11.67894,182.585148,109.305,60.35904,17.313816,7.0992,7.684232,1.929312,613487.5037000002,4323540.2687
WS4,12,ABC,613265.294141,4323491.65686,8036.464286,4.549643,73.353571,25.39985,36.863254,509.185131,77.920769,19.08495,7.294615,226.264938,0.191908,613265.2940999996,4323491.6569
WS4,14,ABC,613235.201383,4323662.94082,1274.0,4.72,27.1,11.8482,43.551,109.0968,34.431,6.5832,4.785,18.4176,0.0,613235.2013999997,4323662.9408
WS4,15,ABC,613084.746972,4323632.84754,9602.769231,4.967692,32.496154,13.129404,124.106908,104.6552,109.40575,54.3114,8.95375,9.240775,0.1155,613084.7470000004,4323632.8475
