Comp_name,Lysim_num,POINT_X,POINT_Y,Volume,pH,Cond,Cl,NO3,SO4,Ca,Mg,Na,K,NH4,SHAPE@X,SHAPE@Y
WS4,4,613397.223687,4324220.77579,4781.0,4.74,43.8,11.70715,178.8817,138.5571,155.56325,25.715625,6.85125,9.4646,0.4158,613397.2237,4324220.775800001
WS4,5,613404.169359,4324068.00865,1045.25,5.184167,33.083333,17.34915,13.024975,143.08545,39.54575,15.840825,8.101875,17.298475,8.5932,613404.1694,4324068.0086
WS4,6,613411.114154,4323998.56911,3816.941176,4.580588,25.688235,18.543373,3.118467,122.85188,11.144333,2.57842,6.989,5.388853,0.03696,613411.1141999997,4323998.5691
WS4,7,613445.835527,4323899.03955,6610.068966,4.69,23.624138,14.491581,11.004244,115.574133,21.401556,6.369856,6.299444,3.041178,3.100533,613445.8355,4323899.0396
WS4,9,613429.634995,4323681.46163,8622.83871,4.83129,26.63871,10.583614,49.246559,118.15709,88.236966,25.935538,6.405,8.132676,0.802924,613429.6349999998,4323681.4616
WS4,10,613487.503681,4323540.26869,8331.774194,4.773226,20.196774,9.34821,30.563569,85.05329,31.247724,7.320972,5.19,1.455414,0.0,613487.5037000002,4323540.2687
WS4,12,613265.294141,4323491.65686,1403.4,4.780667,31.393333,10.694155,106.458,112.106236,54.980727,14.961818,5.259545,6.511273,0.0,613265.2940999996,4323491.6569
WS4,14,613235.201383,4323662.94082,4059.166667,4.550417,39.579167,10.464567,150.039724,104.833657,45.599095,12.852914,5.551429,9.038267,0.1056,613235.2013999997,4323662.9408
WS4,15,613084.746972,4323632.84754,4287.103448,4.745517,39.548276,10.88697,164.209374,114.556267,89.321,35.1104,7.298333,15.594326,0.0616,613084.7470000004,4323632.8475
WS4,1,613010.675421,4323776.35483,1699.333333,4.75,21.0,19.1828,59.1971,76.8258,41.916,16.458,3.915,14.3248,0.0,613010.6754000001,4323776.354800001
WS4,2,613172.702888,4323843.48281,5237.52,4.9052,28.436,11.754167,90.40865,95.239933,83.721111,22.264017,5.0025,26.645833,0.2772,613172.7028999999,4323843.482799999
WS4,3,613246.770197,4324100.41094,5909.033333,4.688333,27.59,14.63665,45.592065,114.013523,37.636115,16.458,5.939423,18.820977,0.469108,613246.7702000001,4324100.4109000005
WS4,8,613519.907373,4323725.44174,9015.774194,4.644839,25.958065,9.961048,3.754397,141.274469,9.790724,5.050903,5.7,14.871683,0.0,613519.9073999999,4323725.4417
WS4,11,613392.601421,4323544.89626,8671.580645,4.684839,27.154839,12.461038,68.001855,94.774076,33.519034,10.726076,5.13,5.733448,0.0,613392.6014,4323544.896299999
WS4,13,613242.146697,4323544.89351,1710.5,4.736667,46.05,12.106792,236.075992,90.54965,107.239636,39.574009,6.801818,13.348109,9.5172,613242.1467000004,4323544.8935
