AREA,PERIMETER,PLASS1,CLASS_LEVE,CLASS_CODE,CLASS_REFE,CLASS_SHOR,CLASS_LONG,CLASS_LO_1,CLASS_SET_,CLASS_STAT,CLASS_GEOG,PARENT_CLA,Shape_Length,Shape_Area
846352.51563,8350.39401,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,226.72476851268922,2447.1586877324116
279109.48438,2821.44755,230.0,PVPA,230.0,DeMeo et al 093002,ACSA-QURU,Sugar maple-northern red oak plant association,Acer saccharum-Quercus rubra,Mon ECS,Draft,Monongahela NF,23.0,987.2135823016149,52285.451195628506
293902.75,3370.05206,470.0,PVPA,470.0,DeMeo et al 093002,QUPR-QURU,Chestnut oak-northern red oak plant association,Quercus prinus-Quercus rubra,Mon ECS,Draft,Monongahela NF,47.0,748.2948877665756,30764.23335169682
341158.90625,3308.14869,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,2258.715585204746,65096.96364948986
103726.35938,2119.10669,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,1268.66012688955,26708.465837133583
186918.1875,2183.04852,230.0,PVPA,230.0,DeMeo et al 093002,ACSA-QURU,Sugar maple-northern red oak plant association,Acer saccharum-Quercus rubra,Mon ECS,Draft,Monongahela NF,23.0,2118.7542404551923,176226.30056795818
291425.17188,6391.21881,470.0,PVPA,470.0,DeMeo et al 093002,QUPR-QURU,Chestnut oak-northern red oak plant association,Quercus prinus-Quercus rubra,Mon ECS,Draft,Monongahela NF,47.0,6208.00832362644,178813.24731236696
279835.20313,3334.34723,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,3334.467916158797,279849.725068841
56735.90625,1157.72473,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,1157.7831745636715,56738.895450745775
291242.95313,2963.26542,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,2963.3577705053613,291258.2642011217
179333.92188,2546.26852,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,2546.3626103826714,179343.21987067218
238062.57813,2382.65497,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,2382.695996760192,238074.9286987721
76560.70313,1313.74794,300.0,PVPA,300.0,DeMeo et al 093002,FAGR,American beech plant association,Fagus grandifolia,Mon ECS,Draft,Monongahela NF,30.0,1313.803621865284,76564.62488904572
1212703.53125,9586.76353,239.0, ,0.0, , , , , , , ,0.0,7435.279289758932,1024854.0927243691
2322972.35938,11751.6549,238.0, ,0.0, , , , , , , ,0.0,1261.7760529533775,12447.77495351276
696765.8125,20802.53236,212.0, ,0.0, , , , , , , ,0.0,20352.876349520095,675963.6332296699
418601.40625,4512.1407,239.0, ,0.0, , , , , , , ,0.0,4039.469297084005,374306.5010300659
259171.15625,2140.96603,239.0, ,0.0, , , , , , , ,0.0,2093.3770759539784,239177.01775115574
224220.10938,2962.59314,239.0, ,0.0, , , , , , , ,0.0,2962.727908121134,224231.68388204373
483747.6875,3734.88654,238.0, ,0.0, , , , , , , ,0.0,3734.93461917384,483772.9187004395
173053.34375,1977.84806,239.0, ,0.0, , , , , , , ,0.0,1977.870427875808,173062.41098787345
339792.78125,4367.95715,239.0, ,0.0, , , , , , , ,0.0,4368.08976855423,339810.3950532733
704481.04688,7759.96169,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,7760.180527730231,704518.1483795253
54674.84375,1115.43462,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,1115.476659283132,54677.63419720475
187164.0,2121.85239,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,2121.9190255774306,187173.63810921865
121578.78125,1559.14823,240.0,PVPA,240.0,DeMeo et al 093002,ACSA-FAGR,Sugar maple-American beech plant association,Acer saccharum-Fagus grandifolia,Mon ECS,Draft,Monongahela NF,24.0,1559.2092732536998,121585.03024012019
1292782.09375,7412.74449,230.0,PVPA,230.0,DeMeo et al 093002,ACSA-QURU,Sugar maple-northern red oak plant association,Acer saccharum-Quercus rubra,Mon ECS,Draft,Monongahela NF,23.0,1049.530273331408,45080.13048055121
