Std_gauge,Rec_gauge,Ppt_chem,Status,Other_var,SHAPE@X,SHAPE@Y
11,,,Inactive,,614695.7361000003,4323998.961999999
14,A,,Active,,615003.0022,4324346.382200001
12,,,Inactive,,614404.1825000001,4324119.4243
22,,,Inactive,,614498.4572999999,4325369.4388
21,,,Active,,614168.4954000004,4325346.743000001
18,D,,Active,,614377.9950000001,4324843.9438000005
19,,,Inactive,,614191.1912000002,4324760.143999999
20,,,Active,,613747.7503000004,4324824.739700001
7,,,Active,,613508.5714999996,4324295.7531
10,,,Inactive,,613855.9918,4323747.5624
5,C,Bulk; wet,Active,Air temp; Rel humidity,613175.1179,4324011.1828000005
3,,,Inactive,,613436.9924999997,4323524.0962000005
15,B,Bulk,Active,Air temp; Rel humidity,613756.4793999996,4323469.975400001
1,,,Inactive,,613609.8296999997,4323099.8594
