OBJECTID_1,AREA,PERIMETER,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Shape_Leng,cty_name,mnf_code,descriptio,Shape_Length,Shape_Area
27093,458712.866665,7985.56429875,WV602,2.0,CaF,513985,7985.56418057,NRand_Tuck,CaF09,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",1042.1719957969474,21110.037729448824
27214,6186320.80248,68910.7361183,WV602,2.0,CaF,513985,68910.7360952,NRand_Tuck,CaF09,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",57333.67088547316,4434924.12683476
27228,1239627.58896,8013.81109106,WV602,2.0,DaF,514000,8013.81085008,NRand_Tuck,DaF09,"DEKALB CHANNERY LOAM, 35 TO 65 PERCENT SLOPES",606.5807875601508,2388.3133671456862
27301,77917.5821133,2210.53666285,WV602,2.0,CaC,513979,2210.53666584,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",638.6867955407959,16156.43478825311
27302,2030379.05173,18594.7046807,WV602,2.0,DmF,514005,18594.7047832,NRand_Tuck,DmF09,"DEKALB VERY COBBLY LOAM, 35 TO 70 PERCENT SLOPES, RUBBLY",15260.781208713155,1046172.6524635141
27326,295332.110187,8495.36515194,WV602,2.0,Fu,513957,8495.36534804,NRand_Tuck,Fu09,FLUVAQUENTS-UDIFLUVENTS COMPLEX,7918.997320649361,279085.5165499092
27342,296655.24407,4369.25092235,WV602,2.0,DaD,513998,4369.25101689,NRand_Tuck,DaD09,"DEKALB CHANNERY LOAM, 15 TO 25 PERCENT SLOPES",3165.7182091506625,215538.41097199664
27351,1770542.34319,18297.0013356,WV602,2.0,CaF,513985,18297.0012065,NRand_Tuck,CaF09,"CALVIN CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",14305.77285145152,1529327.9742307253
27355,18297.1956525,713.164001743,WV602,2.0,DkC,514002,713.163974316,NRand_Tuck,DkC09,"DEKALB LOAM, 8 TO 15 PERCENT SLOPES",184.79544076990823,1678.4920727285964
27387,53826.4361393,1535.53971087,WV602,2.0,CaD,513981,1535.53971647,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",1234.5300538993065,39012.2275236997
