SoilSeries,Acres,Shape_Length,Shape_Area
Belmont,432.304243472,18368.935586056436,1749473.2032097247
Calvin,2372.28135484,59026.11634027259,9600282.03034048
Cateache,442.786045255,18030.955125242188,1791891.5360534424
Cookport,13.7718141534,2021.802838461008,55732.55282952168
Dekalb,981.674810998,58944.44727543861,3972697.0193873844
Ernest,28.4581794563,3877.738111008158,115166.16656860303
Fluvaquent-Udifluvent complex,104.8210742,14702.551441834323,424195.83721476025
Gilpin,50.753014386,4945.095245785354,205390.16124688965
Meckesville,115.116017317,9629.98674469877,465857.9954971271
Rubble land,3.00700033704,662.1176633324814,12168.899372054948
Water,1.15319922407,396.8824704847511,4666.831686217235
