Length,Class,Perennial,Subdrain,Shape_Length
126.858869817,1, ,Lower Elklick Run,126.8588698204335
153.583228449,4,Yes,Lower Elklick Run,153.5832284501057
444.863121834,2, ,Lower Elklick Run,444.8631218333723
285.317694202,4,Yes,Lower Elklick Run,285.3176942034491
880.018061617,1, ,Lower Elklick Run,880.0180616115223
408.223674153,1, ,John B Hollow,408.2236741531393
130.262383335,1, ,John B Hollow,130.26238333518776
6.10327780993,1, ,Lower Elklick Run,6.103277807866851
254.77059692,1, ,Lower Elklick Run,254.77059692067743
203.273385001,1, ,John B Hollow,203.27338500035893
526.953252808,4,Yes,Lower Elklick Run,526.9532528053114
180.425463164,2, ,John B Hollow,180.42546316705887
17.850507695,2, ,John B Hollow,17.850507695861204
217.049542198,1, ,John B Hollow,217.04954220072318
306.914894656,2,Yes,John B Hollow,306.9148946552102
214.240045173,2, ,John B Hollow,214.2400451715882
29.1185690116,3,Yes,John B Hollow,29.118569010704547
238.109923323,1, ,John B Hollow,238.10992332016713
213.216217191,1, ,Lower Elklick Run,213.2162171915647
274.193331506,3,Yes,John B Hollow,274.193331505142
683.416514963,1, ,John B Hollow,683.416514963795
315.68493726,4,Yes,Lower Elklick Run,315.68493726178343
328.704039315,3,Yes,John B Hollow,328.7040393138709
278.24780362,2, ,John B Hollow,278.24780361858154
342.323074853,3,Yes,John B Hollow,342.3230748535942
275.018432337,3,Yes,John B Hollow,275.0184323375368
125.013392158,1, ,John B Hollow,125.01339215951013
490.458642297,1, ,John B Hollow,490.458642292591
458.517622965,4,Yes,Lower Elklick Run,458.5176229666554
1116.31321318,2, ,Lower Elklick Run,1116.3132131820535
511.741928822,2,Yes,John B Hollow,511.7419288247931
91.877928312,1, ,John B Hollow,91.87792831113131
233.634770448,1, ,Wilson Hollow,233.63477044515125
82.3329038709,1, ,Lower Elklick Run,82.33290387437158
415.735944726,1, ,Wilson Hollow,415.73594472376567
366.806544011,1, ,Wilson Hollow,366.80654401200826
267.340670307,2, ,Lower Elklick Run,267.3406703050313
43.4506670305,1, ,Wilson Hollow,43.45066702915753
5.26930972811,1, ,Lower Elklick Run,5.269309727089498
331.165886419,1, ,Lower Elklick Run,331.16588642158285
11.8257201171,1, ,Lower Elklick Run,11.825720115494024
335.959892901,1, ,Lower Elklick Run,335.95989290080155
280.451768966,1, ,Tippy Toe Run,280.4517689669306
197.286308001,1, ,Tippy Toe Run,197.2863080021881
246.767756768,1, ,Tippy Toe Run,246.76775677048497
551.01370075,2, ,Wilson Hollow,551.0137007509131
324.387273635,2, ,Wilson Hollow,324.387273636501
42.5233434955,3, ,Wilson Hollow,42.52334349373836
7.58725288029,3, ,Wilson Hollow,7.587252879006999
15.9160970335,3,Yes,Wilson Hollow,15.916097034799234
349.477917982,2, ,Wilson Hollow,349.47791798228707
78.7355153434,3, ,Wilson Hollow,78.73551534358641
450.625209135,1, ,Lower Elklick Run,450.6252091403542
780.671613674,4,Yes,Lower Elklick Run,780.67161367241
299.567213743,1, ,Wilson Hollow,299.5672137434379
193.411486042,3,Yes,Wilson Hollow,193.41148604058495
461.019531272,1, ,Wilson Hollow,461.01953127616497
40.2739419784,4,Yes,Lower Elklick Run,40.27394197836053
302.402290117,1, ,Wilson Hollow,302.40229011563457
125.247367732,3,Yes,Wilson Hollow,125.24736773384095
168.114384218,2, ,Wilson Hollow,168.1143842182288
163.681674932,2, ,Wilson Hollow,163.68167493128968
4.76354975131,2, ,Hickman Slide,4.763549753072807
164.203356036,1, ,Wilson Hollow,164.20335603925
586.42093574,2,Yes,Hickman Slide,586.4209357370881
167.18254241,1, ,Wilson Hollow,167.18254241128068
410.911056533,4,Yes,Lower Elklick Run,410.91105653251395
195.576867216,2, ,Wilson Hollow,195.57686721443153
276.174612348,1, ,Hickman Slide,276.1746123457451
207.669845141,1, ,Wilson Hollow,207.6698451385137
64.4912184418,4,Yes,Lower Elklick Run,64.49121844023274
442.312188342,3,Yes,Wilson Hollow,442.31218833980444
204.076720749,2, ,Lower Elklick Run,204.07672074773274
60.3552835102,4,Yes,Lower Elklick Run,60.35528351293444
150.908034739,1, ,Camp Hollow,150.90803473697397
145.660477219,1, ,Camp Hollow,145.66047721809176
114.741106903,1, ,Wilson Hollow,114.74110690646633
124.990715223,1, ,Wilson Hollow,124.99071522244462
132.151064472,1, ,Camp Hollow,132.15106447018826
188.692194901,1, ,Camp Hollow,188.69219489820242
238.039166483,2, ,Lower Elklick Run,238.039166482794
277.895790243,1, ,Lower Elklick Run,277.8957902441453
385.899370016,1, ,Hickman Slide,385.89937001458213
212.949581144,1, ,Hickman Slide,212.94958114312766
169.386063029,2, ,Camp Hollow,169.3860630312559
158.004160196,2, ,Camp Hollow,158.00416019825823
194.292668215,2, ,Lower Elklick Run,194.29266821271847
378.75688768,1, ,Hickman Slide,378.75688768058245
144.177295791,1, ,Lower Elklick Run,144.17729579196336
198.674889337,3, ,Camp Hollow,198.67488933389308
180.756446795,1, ,Camp Hollow,180.7564467958298
397.80145409,4,Yes,Lower Elklick Run,397.80145408800973
156.385325912,1, ,Lower Elklick Run,156.38532591166242
249.562769603,1, ,Camp Hollow,249.56276960618573
204.418655483,1, ,Hickman Slide,204.41865548201932
104.765872113,1, ,Camp Hollow,104.7658721130775
451.606545747,1, ,Camp Hollow,451.6065457441355
500.826716055,1, ,Bear Run,500.8267160529883
148.804060531,1, ,Camp Hollow,148.8040605330564
295.88305636,4,Yes,Lower Elklick Run,295.8830563609112
153.121056675,1, ,Camp Hollow,153.12105667791835
186.756790908,2, ,Camp Hollow,186.756790910491
94.4997875758,1, ,Camp Hollow,94.49978757455054
26.8670450687,2, ,Camp Hollow,26.867045064880966
34.6800529019,1, ,Camp Hollow,34.68005290336918
377.951607554,1, ,Lower Elklick Run,377.95160755235986
385.798583869,1, ,Camp Hollow,385.7985838705658
94.7868206716,1, ,Camp Hollow,94.78682067546526
49.113123807,1, ,Camp Hollow,49.11312380502771
290.332547975,2,Yes,Bear Run,290.3325479760277
