AREA,PERIMETER,Comp_name,Subcomp,Scomp_name,Survey_ac,Descr_link,Study_desc,Establish,Site_index,Rotation,Treatment,Study_num,Shape_Length,Shape_Area
75179.9218749,1525.7085777,WS1,B1,WS1B1,16.22,ws1.htm,Large areas - original,1951,64, ,Commercial clearcut >5,1103-2 Inactive,1525.7085776963959,75179.921875
51153.90625,1447.92811289,WS4,B,WS4B,13.0900001526,ws4.htm,Large areas - 1969 rev./curren,1951,70,control,Control,1103-2,1447.9281128853509,51153.90625
287226.921875,2842.98789402,WS4,A,WS4A,70.09,ws4.htm,Large areas - 1969 rev./curren,1951,81,control,Control,1103-2,2842.987894019674,287226.921875
197615.5625,2515.4839156,WS1,A,WS1A,51.86,ws1.htm,Large areas - original,1951,75, ,Commercial clearcut >5,1103-2 Inactive,2515.4839156004928,197615.5625
120542.53125,1591.42372573,WS2,A,WS2A,26.79,ws2a.htm,Large areas - 1969 rev./curren,1951,75,15yr,Diameter limit - 18 in,1103-2,1591.4237257337404,120542.53125
35688.3906252,1460.84054733,WS2,B,WS2B,11.5,ws2b.htm,Large areas - 1969 rev./curren,1951,59,20yr,Diameter limit - 18 in,1103-2,1460.8405473309267,35688.390625
51691.140625,1428.94191308,WS4,C,WS4C,12.5500001907,ws4.htm,Large areas - 1969 rev./curren,1951,64,control,Control,1103-2,1428.9419130841543,51691.140625
25631.2187499,663.216171799,WS1,B2,WS1B2,6.36000013351,ws1.htm,Large areas - original,1951,64, ,Commercial clearcut >5,1103-2 Inactive,663.2161717984608,25631.21875
322988.703125,3348.96085608,WS5,A,WS5A,78.21,ws5a.htm,Large areas - 1969 rev./curren,1951,75,10yr,Single-tree selection,1103-2,3348.9608560814218,322988.703125
52377.1875001,1434.4595168,WS5,B,WS5B,11.75,ws5b.htm,Large areas - 1969 rev./curren,1951,64,15yr,Single-tree selection,1103-2,1434.459516795815,52377.1875
67295.640625,1136.30452487,48,1,48_1,16.6000003815,c48_1.htm,Prescribed fire + gap + herbiv,1997,0, ,Fence+fire+gap,4353-13,1136.3045248690119,67295.640625
