Scomp_name,Plot_num,SHAPE@X,SHAPE@Y
WS5A,1,613590.0044999998,4322932.5143
WS5A,2,613434.0661000004,4322982.514599999
WS5A,3,613408.8159999996,4323192.015799999
WS5A,4,613475.6913999999,4323332.5166
WS5A,5,613645.5673000002,4323394.016899999
WS4A,11,613137.4393999996,4323514.0176
WS4A,4,613291.3777999999,4323560.517899999
WS4A,12,613366.0032000002,4323576.517999999
WS4A,14,613509.9414999997,4323600.518100001
WS2B,1,614034.0071,4323680.5186
WS2A,5,613946.5066,4323706.5187
WS4A,1,613159.6270000003,4323707.0187
WS4A,13,613423.3159999996,4323715.0188
WS4A,10,613017.3761999998,4323765.519099999
WS4A,2,613340.1281000003,4323771.519099999
WS2B,2,614019.0070000002,4323778.519099999
WS4A,3,613208.1272999998,4323796.519200001
WS2A,4,613970.6316999998,4323809.519300001
WS1,5,614682.7608000003,4323839.0195
WS4A,8,613270.0652000001,4323861.0196
WS2B,3,614024.5695000002,4323883.0198
WS4A,9,613100.8141999999,4323892.0198
WS2A,3,613962.0691,4323900.0198
WS1,6,614679.0107000005,4323913.5199
WS2B,4,614062.9446999999,4323992.020400001
WS1,10,614485.6346000005,4324000.020400001
WS4A,7,613239.0650000004,4324008.020500001
WS2A,2,613971.8816999998,4324011.520500001
WS1,16,614755.1986999996,4324036.0206
WS1,11,614486.1346000005,4324072.5209
WS1,1,614866.5118000004,4324081.0209
WS4A,6,613318.8778999997,4324127.5211
WS2A,1,614042.8821,4324131.021199999
WS1,7,614670.8857000005,4324138.521199999
WS1,12,614482.6971000005,4324150.521299999
WS1,2,614863.0118000004,4324153.021299999
WS1,8,614675.6982000005,4324226.5217
WS1,13,614482.6346000005,4324229.5218
WS1,3,614866.1368000004,4324247.0219
WS1,9,614675.8857000005,4324308.0222
WS1,4,614863.7618000004,4324312.0222
WS1,15,614396.3841000004,4324317.022299999
WS1,14,614479.5096000005,4324383.522600001
