Easting,Northing,Ws_name,Gauge_type,SHAPE@X,SHAPE@Y
613745.072387,4323430.61582,WS5,90 deg V-notch weir,613745.0724,4323430.615800001
613614.819012,4323581.41949,WS4,90 deg V-notch weir,613614.8190000001,4323581.419500001
613992.837048,4323581.51618,WS2,90 deg V-notch weir,613992.8370000003,4323581.5162
613697.146059,4323612.6036,WS3,90 deg V-notch weir,613697.1460999995,4323612.603599999
614198.463008,4323624.39621,WS10,2-foot H flume,614198.4630000005,4323624.396199999
614978.3125,4324292.0,WS1,90 deg V-notch weir,614978.3125,4324292.0
614290.816013,4324582.78196,WS13,2-foot H flume,614290.8159999996,4324582.782
614194.224591,4324709.37508,WS7,90 deg V-notch weir,614194.2246000003,4324709.3751
614485.794322,4324950.65196,WS6,90 deg V-notch weir,614485.7943000002,4324950.652000001
615098.901961,4324338.11874,WS14,2:1 broad crested weir,615098.9019999998,4324338.1186999995
