Comp_name,Leaf_trap,Meanmass,SHAPE@X,SHAPE@Y
WS4,16,4.50172428,612993.6272999998,4323837.3969
WS4,17,3.82640487,612983.3022999996,4323744.074899999
WS4,22,4.11515774,613111.5703999996,4323810.790200001
WS4,15,4.10671721,613100.8482999997,4323688.478800001
WS4,14,4.23540874,613142.5454000002,4323843.353599999
WS4,18,3.85420073,613140.5597999999,4323625.7346
WS4,12,3.55712791,613242.6183000002,4323626.528899999
WS4,11,4.19027844,613250.9578,4323823.895
WS4,10,4.0307814,613210.4519999996,4323969.6362
WS4,21,3.22498107,613293.4490999999,4323817.9383000005
WS4,20,4.43940907,613082.2681,4323563.124299999
WS4,19,4.01655308,613080.8536,4323497.704500001
WS4,25,3.75455909,613326.2662000004,4323623.239800001
WS4,6,4.00715757,613377.5411999999,4323643.0425
WS4,3,3.86295476,613453.5696,4323641.6280000005
WS4,4,5.46671297,613466.2999,4323734.6302000005
WS4,24,3.78003984,613366.9326,4323731.801200001
WS4,7,4.34003752,613396.7038000003,4323828.241699999
WS4,5,4.01715115,613442.3444999997,4323920.184599999
WS4,2,5.02632962,613527.0113000004,4323703.2259
WS4,1,3.76478901,613513.1206999999,4323512.063999999
WS4,23,4.110296,613378.1829000004,4324094.8100000005
WS4,13,5.14726069,613157.9167999998,4324052.476600001
WS4,8,4.43430616,613424.4851000002,4324196.0133
WS4,9,4.59213922,613379.5058000004,4324242.3155000005
