Comp_name,Leaf_trap,Meanmass,Leaf_tra_1,Meanmass90,SHAPE@X,SHAPE@Y
WS4,16,4.50172428,16,4.17599948,612993.6272999998,4323837.3969
WS4,17,3.82640487,17,4.08353952,612983.3022999996,4323744.074899999
WS4,22,4.11515774,22,3.90675869,613111.5703999996,4323810.790200001
WS4,15,4.10671721,15,3.72574554,613100.8482999997,4323688.478800001
WS4,14,4.23540874,14,4.10828233,613142.5454000002,4323843.353599999
WS4,18,3.85420073,18,3.59031124,613140.5597999999,4323625.7346
WS4,12,3.55712791,12,3.40376351,613242.6183000002,4323626.528899999
WS4,11,4.19027844,11,3.89015497,613250.9578,4323823.895
WS4,10,4.0307814,10,3.18140383,613210.4519999996,4323969.6362
WS4,21,3.22498107,21,3.01992447,613293.4490999999,4323817.9383000005
WS4,20,4.43940907,20,4.14637323,613082.2681,4323563.124299999
WS4,19,4.01655308,19,3.91587446,613080.8536,4323497.704500001
WS4,25,3.75455909,25,4.72392239,613326.2662000004,4323623.239800001
WS4,6,4.00715757,6,3.8712723,613377.5411999999,4323643.0425
WS4,3,3.86295476,3,3.18205496,613453.5696,4323641.6280000005
WS4,4,5.46671297,4,5.58568824,613466.2999,4323734.6302000005
WS4,24,3.78003984,24,3.70653731,613366.9326,4323731.801200001
WS4,7,4.34003752,7,3.87876026,613396.7038000003,4323828.241699999
WS4,5,4.01715115,5,3.56296393,613442.3444999997,4323920.184599999
WS4,2,5.02632962,2,4.07833051,613527.0113000004,4323703.2259
WS4,1,3.76478901,1,3.30023441,613513.1206999999,4323512.063999999
WS4,23,4.110296,23,4.01419456,613378.1829000004,4324094.8100000005
WS4,13,5.14726069,13,5.02018492,613157.9167999998,4324052.476600001
WS4,8,4.43430616,8,4.10046881,613424.4851000002,4324196.0133
WS4,9,4.59213922,9,4.38533663,613379.5058000004,4324242.3155000005
