Plot,Easting,Northing,NNP_Sum,ffdep,alex0,hex0,phw0,phc0,n0,c0,cton0,w340,cl0,si0,sa0,na0,k0,mg0,ca0,bs0,cec0,alex1,hex1,phw1,phc1,n1,c1,cton1,ws41,cl1,si1,sa1,na1,k1,mg1,ca1,bs1,cec1,SHAPE@X,SHAPE@Y
412,613524,4323618,1.232766586,2.0,29.17468695,19.01555092,3.92,3.74,2.905762803,45.31257699,15.59403849,0.486036839,0.272776573,0.118763557,0.60845987,0.151779953,6.234339254,4.459170278,15.74243892,0.35555565,74.77796627,35.37615067,8.274739387,4.47,4.07,1.28634999,23.34993133,18.15208265,0.224434036,0.28319714,0.118232891,0.598569969,0.980372538,2.856664444,2.23700141,5.832153839,0.214305571,55.55708228,613524.0,4323618.0
421,613443,4323503,0.683584034,3.0,49.51318604,27.07383004,3.71,3.56,2.672403267,45.04864045,16.85697702,0.4275635,0.427637948,0.380687318,0.191674734,1.118116495,2.387571027,2.153374253,5.481102037,0.126986458,87.72717989,52.27131758,2.559351128,4.08,3.73,1.341466,12.15281,9.059349995,0.256208441,0.434947768,0.405508072,0.15954416,0.358542928,1.946483003,1.400456208,3.490876885,0.11601973,62.02702774,613443.0,4323503.0
423,613430,4323698,0.741252499,2.0,65.75999246,25.14989454,3.86,3.55,3.299570169,52.92410256,16.03969603,0.41292517,0.353282828,0.28510101,0.361616162,0.614899475,2.497287726,2.829943065,5.385109271,0.110793798,102.2371265,47.66841948,13.38596218,4.17,3.81,1.496730405,22.03402567,14.72143921,0.24666073,0.39756447,0.322588348,0.279847182,0.204374076,3.064216905,0.90121455,1.809409365,0.089197286,67.03359656,613430.0,4323698.0
425,613421,4323902,-0.02216802,4.33,60.17318373,33.28214545,3.48,3.18,3.260981348,70.31813415,21.56348861,0.466904277,0.311282932,0.276838488,0.41187858,0.169233414,2.663451763,2.517945151,3.882983176,0.089918284,102.6889427,41.03952478,9.141836481,4.45,3.98,1.452892184,29.79111749,20.5046994,0.221226498,0.373612513,0.204591322,0.421796165,0.228656735,1.662807934,0.707007522,1.860344518,0.081603261,54.64017797,613421.0,4323902.0
426,613411,4324000,-0.037427998,4.67,66.95121179,21.902251,3.8,3.39,3.286970755,70.06477393,21.31591035,0.436773979,0.40605686,0.165018541,0.428924598,0.184691308,2.085539121,2.264475285,3.921785356,0.086902632,97.30995386,48.34503307,8.779532809,4.46,4.0,1.29293303,23.97787126,18.54533119,0.245344741,0.382339236,0.272833178,0.344827586,0.184264076,1.635253972,0.861301643,1.236692785,0.064177246,61.04207835,613411.0,4324000.0
431,613349,4323513,0.747507881,2.67,54.44457898,23.88956017,4.05,3.85,2.709348952,45.11854692,16.65291099,0.419125127,0.451556225,0.330572289,0.217871486,0.197963045,2.350952996,2.223858149,5.125270224,0.112181791,88.23218357,54.37962737,9.834679667,4.22,3.9,1.37273571,19.56102389,14.24966491,0.256217467,0.478602384,0.25595883,0.265438787,0.08178588,1.260969598,0.962851991,1.717381086,0.058955862,68.23729559,613349.0,4323513.0
434,613310,4323779,0.553554892,1.33,33.13704913,15.05099379,4.21,3.92,2.628091166,32.9473423,12.53660555,0.345273632,0.373554154,0.151156677,0.475289169,0.0,2.22402582,4.379666921,10.50520078,0.262016787,65.29693644,32.14557478,13.98969516,4.48,3.84,1.496142444,18.90155939,12.63352929,0.20889515,0.416122004,0.110021786,0.473856209,0.117032099,1.29712155,2.58849777,4.580368759,0.15685834,54.71829012,613310.0,4323779.0
435,613316,4323912,0.557939641,3.33,71.42714147,34.81165098,3.68,3.39,4.646967478,88.51839221,19.04863604,0.52613828,0.332977588,0.39167556,0.275346852,0.038750615,1.144950399,0.446608038,1.059763362,0.02469568,108.9288649,56.85710884,12.43239887,4.36,3.87,1.17309805,21.44756243,18.28283871,0.314129244,0.415465898,0.26560999,0.318924111,0.061847931,1.394273907,1.031111472,1.436007571,0.053586854,73.21274859,613316.0,4323912.0
437,613304,4324107,0.593128438,1.33,43.4068545,23.81898214,3.81,3.38,3.020436735,58.07026946,19.22578573,0.326834862,0.211873081,0.269191402,0.518935517,0.223764257,1.596965974,1.779806652,4.223511756,0.104251307,75.04988528,28.86972242,4.322532797,4.59,4.05,0.810725119,14.19799569,17.51271219,0.166002099,0.218203883,0.293446602,0.488349515,0.02670641,0.729075616,0.507208424,0.986370471,0.063466658,35.44161614,613304.0,4324107.0
442,613235,4323612,0.583571611,3.0,40.55525141,18.49790552,4.02,3.76,3.202248474,52.84180715,16.50147001,0.364095169,0.291623844,0.245889003,0.462487153,0.137433979,3.096866201,1.52773505,3.770658163,0.126249701,67.58585032,38.04683968,4.443793963,4.28,4.03,1.255175809,25.01134055,19.92656357,0.228272251,0.31122449,0.229105928,0.459669582,0.0,1.191296663,0.529925975,1.186119075,0.06404122,45.39797536,613235.0,4323612.0
445,613209,4323903,1.039400859,4.67,48.87951713,14.43222313,3.82,3.69,1.886247368,34.04601319,18.04960143,0.438062467,0.404324324,0.337297297,0.258378378,0.583808174,4.268678882,3.001112458,4.953472128,0.168251071,76.11881189,40.32907911,8.938902766,4.58,4.14,1.846011148,30.56675878,16.5582742,0.270692469,0.449647533,0.276435045,0.273917422,0.0,1.618627638,0.724150015,1.903922142,0.079355789,53.51468167,613209.0,4323903.0
448,613184,4324206,2.043310235,2.67,28.54244578,14.48372544,4.25,4.1,6.883035879,87.39721823,12.69748114,0.526249209,0.719435737,0.054858934,0.225705329,1.178795549,9.541516946,4.71086583,20.639039,0.456028625,79.09638855,44.75683449,10.52077552,4.27,3.93,1.887266795,23.32336983,12.35827913,0.315576261,0.547675522,0.309060721,0.143263757,0.048276825,2.005566191,0.973692936,2.535024643,0.091429076,60.8401706,613184.0,4324206.0
451,613145,4323498,0.993068967,2.67,68.60121495,24.70876983,3.96,3.77,4.679971838,73.80636936,15.77068664,0.475483871,0.476763718,0.289193729,0.234042553,0.7474063,6.032765397,2.174527565,4.596510053,0.126811322,106.8611941,44.29342713,12.32972998,4.51,4.04,1.995547021,28.79024428,14.42724425,0.257758306,0.425728155,0.295631068,0.278640777,0.095600035,1.963936583,0.850299199,3.131414759,0.09640641,62.66440768,613145.0,4323498.0
