Id,Biomass,POINT_X,POINT_Y,SHAPE@X,SHAPE@Y
0,335,613311.07589,4324345.07198,613311.0758999996,4324345.072000001
0,227,613351.617877,4324310.77678,613351.6179,4324310.776799999
0,393,613423.38625,4324293.2481,613423.3863000004,4324293.2480999995
0,402,613291.425049,4324283.65693,613291.4249999998,4324283.6569
0,457,613315.237596,4324254.55271,613315.2375999996,4324254.5527
0,322,613352.610067,4324214.5344,613352.6101000002,4324214.534399999
0,266,613379.729913,4324244.30009,613379.7298999997,4324244.300100001
0,299,613391.966916,4324262.49023,613391.9669000003,4324262.4902
0,286,613181.953476,4324187.41455,613181.9534999998,4324187.4146
0,374,613204.112374,4324211.2271,613204.1124,4324211.2271
0,337,613226.271273,4324226.7714,613226.2713000001,4324226.771400001
0,294,613259.344255,4324218.50316,613259.3443,4324218.5032
0,222,613309.945919,4324177.16193,613309.9458999997,4324177.161900001
0,192,613255.706227,4324156.98741,613255.7061999999,4324156.987400001
0,288,613206.758213,4324129.2061,613206.7582,4324129.2061
0,352,613246.445792,4324110.02377,613246.4457999999,4324110.023800001
0,392,613300.024024,4324129.53683,613300.0240000002,4324129.536800001
0,391,613284.148992,4324089.84926,613284.1490000002,4324089.849300001
0,130,613321.190733,4324063.7216,613321.1907000002,4324063.7216
0,359,613382.706481,4324091.17217,613382.7065000003,4324091.1722
0,338,613367.823639,4324125.89881,613367.8235999998,4324125.898800001
0,286,613396.927864,4324135.48997,613396.9278999995,4324135.49
0,351,613425.370629,4324192.04477,613425.3706,4324192.0448
0,164,613398.978389,4324032.89758,613398.9784000004,4324032.897600001
0,384,613169.187304,4324061.47264,613169.1873000003,4324061.4726
0,429,613223.162412,4324074.17266,613223.1623999998,4324074.172700001
0,403,613267.215625,4324042.81947,613267.2155999998,4324042.819499999
0,250,613203.318622,4324015.03817,613203.3185999999,4324015.0382
0,401,613218.796778,4323973.76309,613218.7967999997,4323973.7631
0,328,613268.803128,4323986.46311,613268.8031000001,4323986.463099999
0,318,613321.984485,4323940.42552,613321.9845000003,4323940.4255
0,228,613320.793857,4324002.33814,613320.7938999999,4324002.338099999
0,329,613397.787761,4323978.92247,613397.7878,4323978.922499999
0,247,613432.712831,4323945.5849,613432.7127999999,4323945.584899999
0,325,613448.587863,4323910.26296,613448.5878999997,4323910.263
0,177,613377.547096,4323897.95981,613377.5471000001,4323897.959799999
0,244,613459.700385,4323863.03474,613459.7004000004,4323863.034700001
0,351,613415.250296,4323869.38475,613415.2503000004,4323869.3848
0,232,613402.153395,4323824.14091,613402.1534000002,4323824.140900001
0,204,613358.100182,4323811.83776,613358.1002000002,4323811.8378
0,263,613320.793857,4323884.46603,613320.7938999999,4323884.466
0,228,613232.290555,4323921.37548,613232.2906,4323921.375499999
0,320,613170.774807,4323894.38793,613170.7747999998,4323894.3879
0,409,613162.837292,4323959.87243,613162.8372999998,4323959.872400001
0,285,613112.03719,4323921.77236,613112.0372000001,4323921.772399999
0,238,613114.021569,4323993.60688,613114.0215999996,4323993.606899999
