layer,geom,n_total,n_near_WS245,crs,fields
WS4Biomass,Point,112.0,112.0,NAD_1983_UTM_Zone_17N,"Id, Biomass, POINT_X, POINT_Y"
road_skid,Polyline,784.0,107.0,NAD_1983_UTM_Zone_17N,"Length_m, Comp_name"
WS3_Soils_2011,Point,100.0,41.0,NAD_1983_UTM_Zone_17N,"Watershed, Easting__m, Northing__, Moisture_, Moisture_1, BD_65C__g_, BD_110C_g_, Initial_NO, Net_Nitrif, Aerial_Nit, Initial_NH, Net_Minera, Aerial_Min, Percent_Ni, pH_water, pH_Calcium, F_C, F_N, C_N_ratio, C_Mass__g_, N_Mass_g_m, Al_meq_100, Ca_meq_100, Fe_meq_100, K_meq_100g, Mg_meq_100, Mn_meq_100, Na_meq_100, P_mgP_100g"
leaf_traps,Point,75.0,40.0,NAD_1983_UTM_Zone_17N,"Comp_name, Leaf_trap, Fine_Root"
streams,Polyline,382.0,35.0,NAD_1983_UTM_Zone_17N,"Length, Class, Perennial, Subdrain"
USGS_contours_ft,Polyline,345.0,34.0,NAD_1983_UTM_Zone_17N,Elev_ft
soil_map_units_NRCS1971,Polygon,282.0,32.0,NAD_1983_UTM_Zone_17N,"AREA, PERIMETER, SOILMAPUNI, SOILMAPU_1, SYMBOL, NAME, GENERAL_SO, LABEL"
soil_map_units_NRCS2008,Polygon,248.0,30.0,NAD_1983_UTM_Zone_17N,"OBJECTID, AREA, PERIMETER, AREASYMBOL, SPATIALVER, MUSYM, MUKEY, Shape_Leng, Shape_Area, cty_name, mnf_code, descriptio"
growth_plots,Point,43.0,27.0,North_American_1983_UTM_Zone_17N,"Scomp_name, Plot_num, Plot_type, Size_ac, C_gm2, N_gm2"
WS4_leaf_mass,Point,25.0,25.0,NAD_1983_UTM_Zone_17N,"Comp_name, Leaf_trap, Meanmass"
WS4_leaf_mass2,Point,25.0,25.0,NAD_1983_UTM_Zone_17N,"Comp_name, Leaf_trap, Meanmass, Leaf_tra_1, Meanmass90"
Ten_Four_Project_Plots,Point,43.0,23.0,GCS_Assumed_Geographic_1,"Name, SName, Comment, Symbol, Latitude, Longitude"
lysimeters,Point,30.0,21.0,NAD_1983_UTM_Zone_17N,"Comp_name, Lysim_num, Depth, POINT_X, POINT_Y"
mean_lysimeter_chem_A_horizon,Point,28.0,20.0,NAD_1983_UTM_Zone_17N,"Comp_name, Lysim_num, POINT_X, POINT_Y, Volume, pH, Cond, Cl, NO3, SO4, Ca, Mg, Na, K, NH4"
cover_type_1932,Polygon,63.0,19.0,NAD_1983_UTM_Zone_17N,"AREA, PERIMETER, COVER_TYPE"
mean_lysimeter_chem_B_horizon,Point,27.0,19.0,NAD_1983_UTM_Zone_17N,"Comp_name, Lysim_num, Depth, POINT_X, POINT_Y, Volume, pH, Cond, Cl, NO3, SO4, Ca, Mg, Na, K, NH4"
LTREB_Damage_Plots,Point,64.0,17.0,GCS_North_American_1983,"Name, Lat, Long"
WS4_Soils_1997,Point,16.0,16.0,NAD_1983_UTM_Zone_17N,"Plot, Easting, Northing, NNP_Sum, ffdep, alex0, hex0, phw0, phc0, n0, c0, cton0, w340, cl0, si0, sa0, na0, k0, mg0, ca0, bs0, cec0, alex1, hex1, phw1, phc1, n1, c1, cton1, ws41, cl1, si1, sa1, na1, k1, mg1, ca1, bs1, cec1"
ecological_land_type_phase,Polygon,126.0,16.0,NAD_1983_UTM_Zone_17N,"AREA, PERIMETER, ELTCODE, LTACODE, NOTES, SUBSECTION, ELT, PLASS1, PLASS2, SOIL, SLOPE, LNDFM, ASPECT, ELTP, ELT_NAME, SUBSECTI_1, LTA_NAME"
mean_WS4_lysimeter_chem_A_horizon,Point,15.0,15.0,NAD_1983_UTM_Zone_17N,"Comp_name, Lysim_num, POINT_X, POINT_Y, Volume, pH, Cond, Cl, NO3, SO4, Ca, Mg, Na, K, NH4"
WS3_leaf_mass,Point,25.0,15.0,NAD_1983_UTM_Zone_17N,"Comp_name, Leaf_trap, Meanmass"
WS3_Roots_1991,Point,25.0,15.0,NAD_1983_UTM_Zone_17N,"WATERSHED, PLOT, Northing, Easting, FINE__A, COARSE_A, TOTAL_A, ROCK_VOL_A, FINE__B, COARSE_B, TOTAL_B, ROCK_VOL_B, FINE__C, COARSE_C, TOTAL_C, ROCK_VOL_C"
potential_natural_vegetation,Polygon,81.0,14.0,NAD_1983_UTM_Zone_17N,"AREA, PERIMETER, PLASS1, CLASS_LEVE, CLASS_CODE, CLASS_REFE, CLASS_SHOR, CLASS_LONG, CLASS_LO_1, CLASS_SET_, CLASS_STAT, CLASS_GEOG, PARENT_CLA"
surficial_geology,Polygon,263.0,14.0,NAD_1983_UTM_Zone_17N,"AREA, PERIMETER, SURF_GEO_T, A1, A2, A3, A4, A5, SURF_GEO_G"
