sample_id,watershed,soil_subcomp,soil_plot,subplot_letter,subplot,depth_code,depth_top_cm,depth_bottom_cm,depth,horizon,soil_dw_g,BD_gcm3,core_vol_cm3,core_area_m2,volsoil_area_cm3m2,wtsoil_area_gm2,fine_root_g,fine_root_gm2,soil_C_perc,soil_C_gm2,soil_N_perc,soil_N_gm2,soil_CN,treatment,bd_note
37,WS2,WS2a,7,A,7A,0-20,0.0,20.0,0 to 20,Mineral,390.96,1.063260746,392.69908169872417,0.001963495408493621,200000.0,212652.1492,1.04,565.6799549007571,4.52,9611.87714384,0.22,467.83472824000006,20.545454545454543,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
38,WS2,WS2a,7,A,7A,20-40,20.0,40.0,20 to 40,Mineral,446.91,1.199117524,392.69908169872417,0.001963495408493621,200000.0,239823.5048,0.891,478.1337244116265,0.91,2182.39389368,0.09,215.84115432,10.111111111111112,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
39,WS2,WS2a,7,B,7B,0-20,0.0,20.0,0 to 20,Mineral,390.96,1.063260746,392.69908169872417,0.001963495408493621,200000.0,212652.1492,0.4296,233.6693352166974,2.28,4848.46900176,0.11,233.91736412000003,20.727272727272727,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
40,WS2,WS2a,7,B,7B,20-40,20.0,40.0,20 to 40,Mineral,446.91,1.199117524,392.69908169872417,0.001963495408493621,200000.0,239823.5048,0.2017,108.23745478543778,0.46,1103.1881220799999,0.06,143.89410288,7.666666666666667,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
41,WS2,WS2a,7,C,7C,0-20,0.0,20.0,0 to 20,Mineral,390.96,1.063260746,392.69908169872417,0.001963495408493621,200000.0,212652.1492,0.1965,106.88087609422959,3.27,6953.72527884,0.17,361.50865364000003,19.235294117647058,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
42,WS2,WS2a,7,C,7C,20-40,20.0,40.0,20 to 40,Mineral,446.91,1.199117524,392.69908169872417,0.001963495408493621,200000.0,239823.5048,0.1619,86.87974184314514,0.9,2158.4115432000003,0.08,191.85880384,11.25,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
43,WS2,WS2a,8,A,8A,0-20,0.0,20.0,0 to 20,Mineral,276.4,0.741617067,392.69908169872417,0.001963495408493621,200000.0,148323.4134,0.6508,349.23617019073805,2.44,3619.0912869599997,0.15,222.4851201,16.266666666666666,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
44,WS2,WS2a,8,A,8A,20-40,20.0,40.0,20 to 40,Mineral,308.71,1.092009207,392.69908169872417,0.001963495408493621,200000.0,218401.8414,0.426,301.3805333043957,1.56,3407.0687258400003,0.11,240.24202554000001,14.181818181818182,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
45,WS2,WS2a,8,B,8B,0-20,0.0,20.0,0 to 20,Mineral,276.4,0.741617067,392.69908169872417,0.001963495408493621,200000.0,148323.4134,0.3209,172.20326830701885,3.25,4820.5109354999995,0.17,252.14980278000002,19.11764705882353,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
46,WS2,WS2a,8,B,8B,20-40,20.0,40.0,20 to 40,Mineral,308.71,1.092009207,392.69908169872417,0.001963495408493621,200000.0,218401.8414,0.2657,187.97372699290597,0.84,1834.57546776,0.07,152.88128898000002,11.999999999999998,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
