plot_id,mukey,musym,muname,brockdepmin,drclassdcd,hydgrpdcd,aws0100wta,sandtotal_r_0_20,silttotal_r_0_20,claytotal_r_0_20,om_r_0_20,dbthirdbar_r_0_20,awc_r_0_20,ph1to1h2o_r_0_20,cec7_r_0_20,ksat_r_0_20,fragvol_r_0_20,sandtotal_r_20_40,silttotal_r_20_40,claytotal_r_20_40,om_r_20_40,dbthirdbar_r_20_40,awc_r_20_40,ph1to1h2o_r_20_40,cec7_r_20_40,ksat_r_20_40,fragvol_r_20_40
WS2A-1,513981,CaD,"Calvin channery silt loam, 15 to 25 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS2A-3,513981,CaD,"Calvin channery silt loam, 15 to 25 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS2A-5,513985,CaF,"Calvin channery silt loam, 35 to 65 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS2B-1,513985,CaF,"Calvin channery silt loam, 35 to 65 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS2B-2,513985,CaF,"Calvin channery silt loam, 35 to 65 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS2B-4,513985,CaF,"Calvin channery silt loam, 35 to 65 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS4A-10,513997,DaC,"Dekalb channery loam, 8 to 15 percent slopes",86.0,Well drained,A,7.44,44.3,40.7,15.0,3.0,1.35,0.1,5.1,10.2,92.0,34.0,45.760000000000005,42.239999999999995,12.0,1.464,1.35,0.088,4.6,7.38,92.0,42.6
WS4A-11,513979,CaC,"Calvin channery silt loam, 8 to 15 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS4A-13,513983,CaE,"Calvin channery silt loam, 25 to 35 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS4A-9,513979,CaC,"Calvin channery silt loam, 8 to 15 percent slopes",119.0,Well drained,A,11.29,26.755000000000003,53.99499999999999,19.25,4.380999999999999,1.37,0.1265,5.3,14.7,28.0,22.75,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
WS4B-1,514003,DmC,"Dekalb very cobbly loam, 3 to 15 percent slopes rubbly",86.0,Well drained,A,7.44,44.3,40.7,15.0,3.0,1.35,0.1,5.1,10.2,92.0,41.0,45.760000000000005,42.239999999999995,12.0,1.464,1.35,0.088,4.6,7.38,92.0,37.8
