tree_uid,plot_id,plot_label_raw,watershed,tag_number,common_name,genus,species,dbh_in,dbh_cm,crown_class,origin,ba_m2,jenkins_group,agb_kg_jenkins,agb_kg_legacy_cm_assumed,myc_type,qc_note
T0001,WS5-6,WS5-6,WS5,,American Basswood,Tilia,americana,3.2,8.128,Overtopped,Seed,0.005189,mixed hardwood,15.237,1.50403649,ECM,
T0002,WS5-6,WS5-6,WS5,95.0,American Beech,Fagus,grandifolia,11.5,29.21,Co-dominant,Seed,0.067012,hard maple/oak/hickory/beech,476.602,46.77032656,ECM,
T0003,WS5-6,WS5-6,WS5,609.0,American Beech,Fagus,grandifolia,2.7,6.858,Overtopped,Seed,0.003694,hard maple/oak/hickory/beech,13.866,1.288078839,ECM,
T0004,WS5-6,WS5-6,WS5,84.0,American Beech,Fagus,grandifolia,4.3,10.922,Overtopped,Stem-sprout,0.009369,hard maple/oak/hickory/beech,43.181,4.082542192,ECM,
T0005,WS5-6,WS5-6,WS5,610.0,American Beech,Fagus,grandifolia,1.8,4.572,Overtopped,Seed,0.001642,hard maple/oak/hickory/beech,5.154,0.471452277,ECM,
T0006,WS5-6,WS5-6,WS5,93.0,American Beech,Fagus,grandifolia,5.4,13.716,Intermediate,Seed,0.014776,hard maple/oak/hickory/beech,75.295,7.180458431,ECM,
T0007,WS5-6,WS5-6,WS5,507.0,American Beech,Fagus,grandifolia,7.3,18.542,Intermediate,Stem-sprout,0.027002,hard maple/oak/hickory/beech,157.168,15.1602525,ECM,
T0008,WS5-6,WS5-6,WS5,86.0,American Beech,Fagus,grandifolia,5.0,12.7,Intermediate,Seed,0.012668,hard maple/oak/hickory/beech,62.399,5.933343982,ECM,
T0009,WS5-6,WS5-6,WS5,,American Beech,Fagus,grandifolia,4.7,11.938,Intermediate,Seed,0.011193,hard maple/oak/hickory/beech,53.652,5.089643588,ECM,
T0010,WS5-6,WS5-6,WS5,508.0,American Beech,Fagus,grandifolia,5.3,13.462,Overtopped,Seed,0.014233,hard maple/oak/hickory/beech,71.937,6.855341579,ECM,
T0011,WS5-6,WS5-6,WS5,79.0,American Beech,Fagus,grandifolia,4.0,10.16,Overtopped,Seed,0.008107,hard maple/oak/hickory/beech,36.193,3.412507789,ECM,
T0012,WS5-6,WS5-6,WS5,505.0,American Beech,Fagus,grandifolia,3.3,8.382,Overtopped,Seed,0.005518,hard maple/oak/hickory/beech,22.63,2.11823968,ECM,
T0013,WS5-6,WS5-6,WS5,613.0,American Beech,Fagus,grandifolia,2.7,6.858,Overtopped,Seed,0.003694,hard maple/oak/hickory/beech,13.866,1.288078839,ECM,
T0014,WS5-6,WS5-6,WS5,608.0,American Beech,Fagus,grandifolia,2.5,6.35,Overtopped,Seed,0.003167,hard maple/oak/hickory/beech,11.491,1.064363077,ECM,
T0015,WS5-6,WS5-6,WS5,,American Beech,Fagus,grandifolia,2.5,6.35,Overtopped,Seed,0.003167,hard maple/oak/hickory/beech,11.491,1.064363077,ECM,
T0016,WS5-6,WS5-6,WS5,614.0,American Beech,Fagus,grandifolia,2.3,5.842,Overtopped,Seed,0.00268,hard maple/oak/hickory/beech,9.375,0.865615597,ECM,
T0017,WS5-6,WS5-6,WS5,,American Beech,Fagus,grandifolia,2.2,5.588,Overtopped,Seed,0.002452,hard maple/oak/hickory/beech,8.411,0.775301084,ECM,
T0018,WS5-6,WS5-6,WS5,,American Beech,Fagus,grandifolia,2.2,5.588,Overtopped,Stem-sprout,0.002452,hard maple/oak/hickory/beech,8.411,0.775301084,ECM,
