watershed,class,area_ha,pct_of_watershed
WS2,chestnut oak - red oak - black locust,3.53,22.6
WS2,chestnut oak - red oak - white oak,3.04,19.5
WS2,chestnut oak - white oak - black locust,3.91,25.0
WS2,northern hardwoods,5.14,32.9
WS4,black cherry - red oak - black locust,3.6,9.2
WS4,chestnut oak - red oak - black locust,17.43,44.7
WS4,northern hardwoods,11.23,28.8
WS4,yellow poplar important,6.22,15.9
WS5,basswood - yellow poplar,1.74,4.6
WS5,black cherry - red oak - black locust,7.99,21.3
WS5,chestnut oak - red oak - black locust,3.93,10.5
WS5,northern hardwoods,15.31,40.8
WS5,yellow poplar important,8.57,22.8
