watershed,class,area_ha,pct_of_watershed
WS2,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",0.33,2.1
WS2,"Veneer: cobble to boulder diamict, silty loam matrix",3.95,25.3
WS2,"Veneer: cobble-boulder diamict, silty-loam matrix",11.35,72.6
WS4,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",0.62,1.6
WS4,"Veneer: cobble to boulder diamict, silty loam matrix",17.03,43.7
WS4,"Veneer: cobble-boulder diamict, silty-loam matrix",21.29,54.6
WS5,"Apron, cobble-boulder diamict with silty loam matrix",0.07,0.2
WS5,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",0.83,2.2
WS5,"Veneer: cobble to boulder diamict, silty loam matrix",13.71,36.5
WS5,"Veneer: cobble-boulder diamict, silty-loam matrix",22.93,61.1
