variable,REF,DLC,STS,F,P_ANOVA,P_Welch,P_KW,P_Levene,eta2,P_DLCvsREF,P_STSvsREF
Aboveground C (Mg C/ha),177.4 ± 20.7,91.03 ± 6.25,92.19 ± 17.5,9.52,0.002,0.015,0.011,0.029,0.56,0.003,0.004
Aboveground biomass (Mg/ha),369.5 ± 43.1,189.6 ± 13,192.1 ± 36.4,9.52,0.002,0.015,0.011,0.029,0.56,0.003,0.004
Basal area (m2/ha),41.19 ± 4.16,26.75 ± 1.47,26.58 ± 4.58,5.22,0.019,0.039,0.040,0.245,0.41,0.026,0.024
Stems/ha,613.6 ± 63,951.4 ± 98.6,1293 ± 95.6,15.17,<0.001,<0.001,0.003,0.704,0.67,0.028,<0.001
QMD (cm),29.56 ± 2.13,19.27 ± 1.19,16.03 ± 1.48,18.36,<0.001,0.002,0.002,0.595,0.71,<0.001,<0.001
Largest tree DBH (cm),83.85 ± 3.93,43.83 ± 1.14,55.63 ± 4.48,34.46,<0.001,<0.001,0.002,0.110,0.82,<0.001,<0.001
AGB share in trees >=50cm,0.7149 ± 0.0492,0 ± 0,0.3976 ± 0.107,27.74,<0.001,nan,0.001,0.011,0.79,<0.001,0.009
Stems <12.7cm /ha,341.8 ± 70,580.7 ± 97.5,1009 ± 119,12.04,<0.001,0.003,0.004,0.575,0.62,0.178,<0.001
Stems >=27.9cm /ha,148.3 ± 20.2,164.7 ± 22.7,119.4 ± 28.1,0.92,0.420,0.503,0.480,0.869,0.11,0.844,0.612
Species richness,6.167 ± 1.01,7.167 ± 1.22,9.167 ± 0.703,2.32,0.132,0.096,0.073,0.597,0.24,0.709,0.091
Shannon H,1.339 ± 0.167,1.188 ± 0.205,1.721 ± 0.0804,2.97,0.082,0.057,0.073,0.420,0.28,0.732,0.190
